sgRNA	Gene	NE_GFP_low
GUK1_8022	GUK1	240
TRAPPC13_50576	TRAPPC13	960
GABRR1_6800	GABRR1	1687
MRGPRE_57799	MRGPRE	645
LOC100505841_75852	LOC100505841	114
CXorf23_66791	CXorf23	161
TGFB2_19088	TGFB2	588
PAX8_20991	PAX8	1567
AQP12B_74317	AQP12B	2681
F11R_37407	F11R	1198
NPS_73605	NPS	1247
PHF21B_56887	PHF21B	1895
RCAN1_5081	RCAN1	275
DPT_5001	DPT	930
RMI1_50589	RMI1	241
FOXC1_6384	FOXC1	2205
CSTA_4148	CSTA	415
Non-Targeting Control_76886	Non-Targeting Control	4457
Non-Targeting Control_76595	Non-Targeting Control	8090
SARNP_53485	SARNP	1453
SRA1_26725	SRA1	2109
RIC3_49380	RIC3	576
P2RY12_48111	P2RY12	1106
NUDT19_71873	NUDT19	482
IVNS1ABP_28709	IVNS1ABP	531
PEX11B_23013	PEX11B	764
CHRNA1_3218	CHRNA1	885
MT1HL1_74026	MT1HL1	1471
SLC22A18_13111	SLC22A18	1999
FXYD4_39632	FXYD4	189
CA10_44626	CA10	1312
PFKFB3_13746	PFKFB3	615
SLC35F1_66017	SLC35F1	925
GLP2R_24534	GLP2R	1270
TMEM161B_62777	TMEM161B	989
CRNN_37184	CRNN	736
NXPE4_40687	NXPE4	266
STEAP1B_66731	STEAP1B	3055
SLA2_53056	SLA2	1171
ASGR1_1246	ASGR1	1182
BGN_1712	BGN	811
KRTAP1-3_51965	KRTAP1-3	684
HBA2_8189	HBA2	843
CUX1_4288	CUX1	1509
GNS_7406	GNS	826
TOP2B_19445	TOP2B	1639
NDUFA1_12265	NDUFA1	492
ZNF280C_42782	ZNF280C	969
ZMYM1_50076	ZMYM1	917
SUGP2_27158	SUGP2	76
EGFLAM_60174	EGFLAM	651
TBX19_23847	TBX19	575
PLCXD3_69690	PLCXD3	434
UXS1_50783	UXS1	605
HLA-A_8378	HLA-A	977
PIGX_41161	PIGX	561
GREB1_25614	GREB1	915
PLD5_64659	PLD5	427
TMEM14C_38934	TMEM14C	482
NDUFB4_12328	NDUFB4	543
OR52E8_71603	OR52E8	1199
ST14_18331	ST14	768
Non-Targeting Control_77410	Non-Targeting Control	4466
BTBD19_62185	BTBD19	2124
C9orf153_71477	C9orf153	1040
ABCG8_47587	ABCG8	513
DIRAS3_23787	DIRAS3	2527
EDF1_22781	EDF1	697
HS3ST5_66007	HS3ST5	1396
MRVI1_27793	MRVI1	514
VSTM2L_59552	VSTM2L	1180
Non-Targeting Control_76746	Non-Targeting Control	5499
CELA2B_37606	CELA2B	840
TBC1D24_45530	TBC1D24	556
WBSCR28_60369	WBSCR28	557
GRIK2_7740	GRIK2	2107
FAM114A1_56309	FAM114A1	2605
Non-Targeting Control_77375	Non-Targeting Control	3756
C1orf177_63714	C1orf177	391
CCZ1B_65934	CCZ1B	691
MATN1_11154	MATN1	757
HTR3D_64786	HTR3D	520
MTCH2_33589	MTCH2	1378
UCHL1_19903	UCHL1	895
Non-Targeting Control_77292	Non-Targeting Control	3439
SOD3_17943	SOD3	1224
CDKL2_23572	CDKL2	869
E2F2_5206	E2F2	474
CYSLTR2_44994	CYSLTR2	735
TROAP_26775	TROAP	755
NLRP14_68708	NLRP14	453
ZNF692_42940	ZNF692	1158
SMARCA5_22023	SMARCA5	667
ZNF843_67543	ZNF843	378
BCR_1679	BCR	180
OR2A25_72003	OR2A25	265
Non-Targeting Control_77349	Non-Targeting Control	5032
C1QTNF7_57349	C1QTNF7	532
HRH3_30617	HRH3	266
NEUROD1_12469	NEUROD1	2408
SDR16C5_64353	SDR16C5	1768
PCDHGA9_43917	PCDHGA9	608
HTATIP2_28464	HTATIP2	975
ANGEL2_55624	ANGEL2	561
TOE1_57081	TOE1	648
ANKRD31_66690	ANKRD31	915
GLB1L2_55251	GLB1L2	790
PNISR_34194	PNISR	329
TPRA1_59974	TPRA1	492
GFRA4_47356	GFRA4	277
C11orf86_66477	C11orf86	1453
VIPR1_20168	VIPR1	339
Non-Targeting Control_77308	Non-Targeting Control	4599
ACOX3_21558	ACOX3	1404
EIF4E1B_66294	EIF4E1B	724
TBL3_28645	TBL3	623
MAP4K3_22079	MAP4K3	944
DECR1_4674	DECR1	1158
ISM2_61439	ISM2	1825
FOXR2_60733	FOXR2	841
CCDC18_69508	CCDC18	506
NSUN6_65684	NSUN6	1026
PRDM11_44764	PRDM11	311
UGT1A10_40262	UGT1A10	598
MC4R_11208	MC4R	604
HDAC4_25879	HDAC4	663
Non-Targeting Control_77187	Non-Targeting Control	7893
KCTD12_57433	KCTD12	1056
AGFG1_8830	AGFG1	418
LIN28B_71392	LIN28B	1133
CD209_37120	CD209	795
KRT83_10413	KRT83	443
Non-Targeting Control_77145	Non-Targeting Control	2855
USH1C_26945	USH1C	2008
CCL24_17035	CCL24	1785
TLR6_27790	TLR6	2187
KRTAP13-1_60780	KRTAP13-1	565
TMEM81_71174	TMEM81	367
Non-Targeting Control_76798	Non-Targeting Control	4590
MSANTD3_55782	MSANTD3	909
OR2A5_72074	OR2A5	574
RAC3_15715	RAC3	836
VWA3B_64712	VWA3B	977
LIF_10633	LIF	130
ACO2_151	ACO2	1242
GSTA5_65763	GSTA5	930
HDAC5_26734	HDAC5	4883
SH3PXD2A_25464	SH3PXD2A	624
COLEC11_48633	COLEC11	2656
Non-Targeting Control_76866	Non-Targeting Control	7197
PROK2_46991	PROK2	568
ITPRIP_54957	ITPRIP	1119
SSH3_41145	SSH3	2847
METTL11B_62144	METTL11B	455
ADAMTS5_30106	ADAMTS5	619
MAGEF1_47396	MAGEF1	953
ANP32C_33033	ANP32C	438
CYC1_4318	CYC1	512
TAF7L_39960	TAF7L	670
EBPL_53935	EBPL	2241
PLAC8_38481	PLAC8	1650
IBSP_9087	IBSP	3024
SLC31A2_3690	SLC31A2	557
KMT2E_43699	KMT2E	875
TBC1D20_59584	TBC1D20	531
SEC11C_55603	SEC11C	326
ORM2_13123	ORM2	815
Non-Targeting Control_77438	Non-Targeting Control	3687
KRTAP9-8_52665	KRTAP9-8	3575
PRKAA1_14762	PRKAA1	1331
WNK4_48505	WNK4	373
DET1_41476	DET1	3604
PIP_14014	PIP	592
B4GALT7_30714	B4GALT7	745
B3GAT3_34790	B3GAT3	1107
DCAF8L2_69819	DCAF8L2	1605
VTN_20201	VTN	1312
AKR1B1_655	AKR1B1	2495
GPR156_63859	GPR156	848
SSX4_18315	SSX4	761
SORBS3_27253	SORBS3	998
RPS6KC1_35299	RPS6KC1	1170
BCL2L15_72983	BCL2L15	1017
LEP_10576	LEP	1301
IFI16_9176	IFI16	1320
ATP10D_45272	ATP10D	213
DNAJC4_8991	DNAJC4	1236
NUAK1_26325	NUAK1	1645
Non-Targeting Control_76963	Non-Targeting Control	3869
C9orf91_65062	C9orf91	614
C19orf67_74090	C19orf67	428
NGFRAP1_35408	NGFRAP1	1670
FAM219B_45227	FAM219B	2284
PRAC1_53558	PRAC1	555
SYCE1_56513	SYCE1	1566
L3MBTL3_53650	L3MBTL3	832
UBB_19814	UBB	929
CD80_2631	CD80	1306
JRK_22487	JRK	1484
CDH17_2889	CDH17	1332
TNFSF4_19763	TNFSF4	705
GNA14_25413	GNA14	1889
GMFB_7284	GMFB	688
SNX16_47331	SNX16	2319
ZNF605_75725	ZNF605	1061
SMIM19_57364	SMIM19	1593
OR52M1_58202	OR52M1	2364
NFKBIL1_12560	NFKBIL1	1128
PGA3_73848	PGA3	2946
GNGT2_7386	GNGT2	846
CDK5R2_23470	CDK5R2	2581
RNF6_16213	RNF6	837
ATP6V1C2_66189	ATP6V1C2	869
Non-Targeting Control_76497	Non-Targeting Control	6552
LEKR1_71317	LEKR1	1031
MYO1D_12098	MYO1D	2364
ZCCHC12_64121	ZCCHC12	420
Non-Targeting Control_77147	Non-Targeting Control	2893
GAST_6635	GAST	531
Non-Targeting Control_77337	Non-Targeting Control	4563
LDHC_10564	LDHC	1231
OR4K17_71784	OR4K17	920
IKZF4_47673	IKZF4	394
TGFBR1_19102	TGFBR1	913
SAMD9L_65199	SAMD9L	308
LYVE1_29461	LYVE1	558
RNF4_16205	RNF4	1210
ABL1_68	ABL1	2094
ZNF684_59352	ZNF684	737
ZSCAN5A_49011	ZSCAN5A	1816
NUDT3_30338	NUDT3	2624
Non-Targeting Control_77074	Non-Targeting Control	3174
HSFY1_55062	HSFY1	1046
RNPEPL1_45099	RNPEPL1	998
SLC29A4_66080	SLC29A4	700
ZNF22_20520	ZNF22	223
CCDC136_47947	CCDC136	289
TXNDC16_45794	TXNDC16	1062
Non-Targeting Control_77434	Non-Targeting Control	2981
CRTC2_64678	CRTC2	254
PDK3_13609	PDK3	814
TJP1_19223	TJP1	1186
CTNNA2_4207	CTNNA2	163
TMEM63C_45154	TMEM63C	3929
CTNND1_4220	CTNND1	946
TEAD4_18952	TEAD4	170
LRFN1_46051	LRFN1	1270
CDH15_2881	CDH15	808
MAN2A2_11073	MAN2A2	315
USP18_30667	USP18	1394
MPLKIP_60450	MPLKIP	538
CD99L2_52364	CD99L2	1069
AP4S1_30291	AP4S1	413
SOX2_17974	SOX2	5648
TM4SF1_10917	TM4SF1	2909
IER5L_71482	IER5L	1036
MED9_41536	MED9	1141
CLIC1_3384	CLIC1	683
AACS_48543	AACS	569
HNRNPF_8596	HNRNPF	244
PLEKHA1_46771	PLEKHA1	1409
C15orf43_61458	C15orf43	249
LLGL1_10697	LLGL1	590
DCDC5_75908	DCDC5	1575
CLEC7A_47835	CLEC7A	2776
PPRC1_31675	PPRC1	623
BTAF1_23673	BTAF1	3424
UPK1A_29945	UPK1A	1061
SH3KBP1_37046	SH3KBP1	2327
TMEM184A_65018	TMEM184A	1001
PRDM5_30143	PRDM5	2358
CCDC182_76346	CCDC182	1759
GTF2A1_7923	GTF2A1	1256
ZNF552_50039	ZNF552	1488
FRMD6_58538	FRMD6	1171
TMEM57_41977	TMEM57	941
DCDC2_38833	DCDC2	2188
TRIM64C_74127	TRIM64C	2335
BPHL_1856	BPHL	630
CKS2_3314	CKS2	690
PKHD1L1_56417	PKHD1L1	900
Non-Targeting Control_76592	Non-Targeting Control	6073
GRID2IP_72069	GRID2IP	439
AGO2_35721	AGO2	1791
NDUFAF4_36395	NDUFAF4	571
TBRG4_24270	TBRG4	883
DRP2_5057	DRP2	2313
QRFPR_52934	QRFPR	1165
TTLL9_63775	TTLL9	2132
CLIP1_16665	CLIP1	2193
ASPA_1274	ASPA	2670
Non-Targeting Control_76516	Non-Targeting Control	3362
TGM6_69567	TGM6	1075
CCDC62_53959	CCDC62	3119
PRSS23_30112	PRSS23	678
FOXP3_37465	FOXP3	2661
GRK7_59998	GRK7	921
SLC33A1_24155	SLC33A1	646
NTN3_12901	NTN3	1265
ITFG3_52735	ITFG3	1484
C10orf142_75298	C10orf142	2418
ZNF800_64038	ZNF800	1085
Non-Targeting Control_76537	Non-Targeting Control	4034
CYTH2_24353	CYTH2	574
WHAMM_58638	WHAMM	805
BANF1_23070	BANF1	3530
GSTM3_7899	GSTM3	1474
AZU1_1545	AZU1	667
GPX3_7669	GPX3	1363
RUFY1_50973	RUFY1	784
CCND2_2491	CCND2	2370
Non-Targeting Control_76501	Non-Targeting Control	4164
TRIM44_40529	TRIM44	490
MN1_11650	MN1	347
LOC101928436_76366	LOC101928436	1101
APOBEC3B_25281	APOBEC3B	3210
C2orf47_49275	C2orf47	423
OTOG_69273	OTOG	855
FAM156B_74505	FAM156B	628
BPIFA2_60877	BPIFA2	853
OR1L8_60633	OR1L8	2658
SHROOM3_46040	SHROOM3	827
OR4P4_51535	OR4P4	1229
LLGL2_10690	LLGL2	577
SMG9_43848	SMG9	512
ZNF706_37881	ZNF706	403
ARHGAP8_33567	ARHGAP8	208
CTBS_4174	CTBS	499
CTNNBIP1_44815	CTNNBIP1	1167
CD2_2549	CD2	406
PGLS_33730	PGLS	395
NSRP1_52886	NSRP1	981
UCHL3_19905	UCHL3	393
Non-Targeting Control_76560	Non-Targeting Control	3747
PLA2G2C_71914	PLA2G2C	306
BGN_1711	BGN	1300
TMEM38A_48794	TMEM38A	724
INSM2_54023	INSM2	1860
PSD3_32580	PSD3	2437
Non-Targeting Control_76622	Non-Targeting Control	4681
C3orf56_68099	C3orf56	1820
SV2B_26355	SV2B	899
VGLL1_38775	VGLL1	3082
PTPN5_54309	PTPN5	529
EBAG9_24067	EBAG9	266
ADCYAP1_310	ADCYAP1	507
OR2T12_59281	OR2T12	161
CAMK2D_2261	CAMK2D	956
ZFR_39258	ZFR	1761
HELQ_57017	HELQ	131
Non-Targeting Control_76672	Non-Targeting Control	5037
FBP2_22977	FBP2	1867
AKR1B15_73093	AKR1B15	678
AFF1_11553	AFF1	1973
ORM1_13117	ORM1	378
DIRC1_57637	DIRC1	2403
HIF1AN_42959	HIF1AN	812
ARAF_1058	ARAF	921
Non-Targeting Control_76776	Non-Targeting Control	4166
FSHB_6594	FSHB	3388
EAPP_43534	EAPP	577
BECN1_22662	BECN1	214
MAGEA10_11030	MAGEA10	3242
TTC21B_50005	TTC21B	927
TMEM14B_51972	TMEM14B	4112
PCDHGB2_43899	PCDHGB2	375
TEX101_52303	TEX101	2099
HLA-DQA1_8420	HLA-DQA1	1885
SPTSSB_63852	SPTSSB	340
PRG4_27391	PRG4	830
Non-Targeting Control_77006	Non-Targeting Control	4303
TTC7B_61449	TTC7B	1509
Non-Targeting Control_77083	Non-Targeting Control	4421
GRM4_7798	GRM4	898
STK36_35687	STK36	3598
COG8_53539	COG8	375
Non-Targeting Control_76766	Non-Targeting Control	7411
CCDC185_63753	CCDC185	1306
MORF4L1_29586	MORF4L1	2468
PNO1_44520	PNO1	149
CNGA1_3492	CNGA1	1517
ADAMDEC1_35972	ADAMDEC1	161
LAIR1_10450	LAIR1	2295
Non-Targeting Control_77331	Non-Targeting Control	3767
BATF2_57628	BATF2	1953
MED14OS_76248	MED14OS	2156
GPHN_27492	GPHN	1091
CSRP3_21228	CSRP3	4367
Non-Targeting Control_76505	Non-Targeting Control	4087
OR2T8_69520	OR2T8	3187
RPA4_36833	RPA4	574
SH3BP5L_51432	SH3BP5L	733
UBD_28416	UBD	1541
RERG_54708	RERG	773
BASP1_27990	BASP1	1255
C19orf70_58994	C19orf70	252
INSL5_26768	INSL5	145
MUC15_61211	MUC15	488
TIFA_56299	TIFA	1737
PLXNA3_42660	PLXNA3	1927
KCNK15_46972	KCNK15	811
TK2_19230	TK2	1443
CA2_2097	CA2	751
NME2_12662	NME2	1041
ADIPOR2_49363	ADIPOR2	973
ARL6IP1_32070	ARL6IP1	448
C2orf69_65163	C2orf69	68
WDYHV1_41544	WDYHV1	883
Non-Targeting Control_77213	Non-Targeting Control	4683
IFRD2_21019	IFRD2	1042
KRTAP19-5_68657	KRTAP19-5	1918
SEMA4B_28321	SEMA4B	856
ANKRD33_69322	ANKRD33	534
UNK_54961	UNK	979
CNOT10_34046	CNOT10	770
CHAT_3115	CHAT	454
ANAPC7_38752	ANAPC7	580
ZNF705B_75432	ZNF705B	4162
MAB21L1_10939	MAB21L1	707
ARHGDIB_1145	ARHGDIB	3962
GPATCH2L_42985	GPATCH2L	662
PRSS55_65040	PRSS55	457
Non-Targeting Control_76758	Non-Targeting Control	3953
ARF5_1091	ARF5	644
Non-Targeting Control_77351	Non-Targeting Control	3963
SIGIRR_46762	SIGIRR	2089
PPIB_14531	PPIB	1075
TNFRSF14_22909	TNFRSF14	916
FRA10AC1_58093	FRA10AC1	1690
KIZ_43594	KIZ	368
Non-Targeting Control_76871	Non-Targeting Control	5385
USHBP1_52589	USHBP1	1788
CUL1_21985	CUL1	2778
SLC27A4_29802	SLC27A4	1751
MAN2A1_11083	MAN2A1	1208
YY2_72672	YY2	2174
GDAP1L1_48660	GDAP1L1	2294
SRGAP2B_74180	SRGAP2B	1513
PDILT_65144	PDILT	1500
UNC45B_61698	UNC45B	408
CCBE1_61772	CCBE1	757
CBX6_32875	CBX6	1657
Non-Targeting Control_77210	Non-Targeting Control	4394
AANAT_30	AANAT	1716
Non-Targeting Control_76732	Non-Targeting Control	3463
NEU3_29272	NEU3	1009
Non-Targeting Control_77150	Non-Targeting Control	4455
C9orf163_63102	C9orf163	2578
IGDCC4_46339	IGDCC4	1969
PDLIM5_28662	PDLIM5	2144
SSPO_31870	SSPO	2382
C11orf24_39662	C11orf24	2554
11-Mar_73054	11-Mar	883
ANXA7_848	ANXA7	841
MRI1_53199	MRI1	467
OR5W2_71638	OR5W2	1275
MYBPC3_11985	MYBPC3	1516
Non-Targeting Control_77206	Non-Targeting Control	4101
TSPAN6_19311	TSPAN6	735
Non-Targeting Control_76936	Non-Targeting Control	2971
EMC8_27770	EMC8	3535
CCDC66_68110	CCDC66	1697
CLEC12B_70869	CLEC12B	1590
PCNP_44948	PCNP	117
RNF139_30557	RNF139	2176
FAM210B_57665	FAM210B	3541
CDC23_22711	CDC23	1214
OR4K14_58519	OR4K14	1607
S100G_2212	S100G	2323
ADAM32_65051	ADAM32	830
CACNA1B_2142	CACNA1B	573
ZNF232_20879	ZNF232	470
SLC8B1_50631	SLC8B1	658
Non-Targeting Control_76809	Non-Targeting Control	3417
ACAN_494	ACAN	269
CTSO_4272	CTSO	1678
MAPKAPK3_21022	MAPKAPK3	575
TMEM217_65807	TMEM217	318
KRTAP5-9_10304	KRTAP5-9	2993
FAM71F2_69764	FAM71F2	1810
LMO2_10717	LMO2	2472
NAGLU_12179	NAGLU	1056
OR5T2_65268	OR5T2	394
TRIM31_30035	TRIM31	789
IRAK2_9690	IRAK2	2225
C2orf66_72332	C2orf66	482
CDKN3_2955	CDKN3	1128
TAF6L_28725	TAF6L	4501
SSTR4_18296	SSTR4	1745
GALK1_6832	GALK1	937
STK19_23218	STK19	586
ZNF383_63634	ZNF383	2542
C9orf78_39445	C9orf78	1170
ATG16L1_41434	ATG16L1	2980
RAB4A_15657	RAB4A	1822
TRNT1_37781	TRNT1	578
FRG2_73331	FRG2	61
KCNA7_9966	KCNA7	1109
OR52A5_71553	OR52A5	462
HNRNPF_8594	HNRNPF	909
FAM216A_36741	FAM216A	147
CDC34_2824	CDC34	817
PHF6_53385	PHF6	2787
COL11A2_3639	COL11A2	452
ADRA2A_410	ADRA2A	2269
WWC1_32345	WWC1	1810
SORD_17954	SORD	1459
SNTG2_39838	SNTG2	463
HGD_8315	HGD	154
BNIP3L_1833	BNIP3L	786
C12orf74_68816	C12orf74	684
ANKRD54_59669	ANKRD54	384
TSSC4_26930	TSSC4	1173
DNASE1L3_4909	DNASE1L3	1484
TRIM36_42599	TRIM36	774
KRTAP3-1_52647	KRTAP3-1	1913
TEX13B_44066	TEX13B	1431
PIEZO2_47085	PIEZO2	883
SOCS7_37128	SOCS7	453
GPR160_35372	GPR160	193
KCNMB2_27487	KCNMB2	721
GLB1L3_56894	GLB1L3	1164
EFCAB7_53643	EFCAB7	1854
KAZN_32246	KAZN	2543
TP53BP1_19460	TP53BP1	674
MDFIC_36942	MDFIC	1842
UBXN6_51226	UBXN6	1383
UBQLN2_36951	UBQLN2	1718
TRPV3_63536	TRPV3	279
TET2_40572	TET2	875
DNAL1_52207	DNAL1	543
MAFG_10990	MAFG	1499
FA2H_49015	FA2H	885
PNP_12754	PNP	582
TATDN2_26009	TATDN2	260
Non-Targeting Control_76591	Non-Targeting Control	4402
ALG10_54486	ALG10	1399
GAL3ST4_49641	GAL3ST4	509
EQTN_40293	EQTN	2241
ZGRF1_42406	ZGRF1	141
C6orf89_65820	C6orf89	336
Non-Targeting Control_77262	Non-Targeting Control	6135
FAM19A2_68820	FAM19A2	622
PJA2_26242	PJA2	1395
Non-Targeting Control_76644	Non-Targeting Control	5433
OR10C1_73248	OR10C1	1084
C5orf46_71360	C5orf46	2594
IFT88_21294	IFT88	789
C12orf50_63338	C12orf50	2877
DOCK4_25779	DOCK4	1035
ZNF528_53590	ZNF528	1061
ASB3_37909	ASB3	718
UCHL1_19904	UCHL1	3037
PRR3_51293	PRR3	278
LRRC56_57487	LRRC56	1375
STAT4_18354	STAT4	668
JMY_60195	JMY	1541
C20orf24_43800	C20orf24	1109
IGBP1_9287	IGBP1	155
Non-Targeting Control_77289	Non-Targeting Control	6924
UBQLN3_37254	UBQLN3	645
MFSD9_54203	MFSD9	652
TSPAN19_61336	TSPAN19	836
EDEM1_25642	EDEM1	485
CCDC178_70338	CCDC178	175
TBR1_28964	TBR1	168
TMEM37_60957	TMEM37	1110
MCOLN1_45260	MCOLN1	1338
Non-Targeting Control_77370	Non-Targeting Control	3415
KIFC3_10175	KIFC3	329
FLAD1_51075	FLAD1	675
PODXL_14325	PODXL	636
NAGPA_38037	NAGPA	414
USP50_70236	USP50	700
H2BFM_68453	H2BFM	1162
SSR4_18270	SSR4	1328
SCYL3_45120	SCYL3	233
C3orf30_62661	C3orf30	1472
FGF20_34940	FGF20	2172
C16orf92_61574	C16orf92	547
TGDS_32930	TGDS	222
HIST1H2BI_21682	HIST1H2BI	1605
HLA-DPB1_8415	HLA-DPB1	757
AMFR_726	AMFR	1250
SLC25A41_67860	SLC25A41	840
DDX43_42579	DDX43	542
WISP3_23155	WISP3	1869
ANKRD26_31000	ANKRD26	2111
Non-Targeting Control_77350	Non-Targeting Control	4232
Non-Targeting Control_77367	Non-Targeting Control	6246
SLC22A20_72845	SLC22A20	1723
TNFRSF25_22776	TNFRSF25	559
FLT3_6473	FLT3	1625
Non-Targeting Control_77233	Non-Targeting Control	6721
ZNF730_75217	ZNF730	1199
GSTZ1_7916	GSTZ1	2250
CNKSR3_62853	CNKSR3	690
DNAJC12_44271	DNAJC12	2950
SZT2_32492	SZT2	451
RBPMS_29901	RBPMS	2281
FOXA1_8542	FOXA1	1078
TLCD1_57707	TLCD1	283
PHLPP1_32189	PHLPP1	1933
Non-Targeting Control_76673	Non-Targeting Control	4306
GALR2_23054	GALR2	532
TNFRSF10B_22998	TNFRSF10B	527
TRMT2A_35455	TRMT2A	739
LITAF_25069	LITAF	1030
SLC16A13_64853	SLC16A13	953
CLDN5_19350	CLDN5	219
MCIDAS_69699	MCIDAS	1367
ALX3_704	ALX3	1231
DOCK2_4961	DOCK2	430
STAG2_29019	STAG2	1084
KRTAP19-7_68665	KRTAP19-7	4478
CHIA_35716	CHIA	1783
PDGFRB_13588	PDGFRB	104
INAFM2_75830	INAFM2	2044
C20orf144_59630	C20orf144	1787
ATP6V0D2_66185	ATP6V0D2	427
AQP3_1026	AQP3	972
ESPNL_69015	ESPNL	1242
Non-Targeting Control_77403	Non-Targeting Control	2241
C11orf24_39660	C11orf24	3970
LOC100129924_75244	LOC100129924	818
OR8G2_35043	OR8G2	844
GRM6_7805	GRM6	614
ADCK2_55683	ADCK2	1117
NAT6_33613	NAT6	964
SWI5_70550	SWI5	787
NKAIN2_62886	NKAIN2	1728
ADSS_447	ADSS	403
VAMP2_18548	VAMP2	198
UBE2Q2_56382	UBE2Q2	738
PDGFRL_13579	PDGFRL	395
PNOC_14249	PNOC	1081
CFC1_43827	CFC1	376
DYNC1LI1_37949	DYNC1LI1	701
HAS2_8180	HAS2	1278
RAB39B_57756	RAB39B	1003
CDKN1A_2925	CDKN1A	1226
RNF4_16208	RNF4	657
FEM1C_44616	FEM1C	1118
RAB40AL_67147	RAB40AL	1018
MATN3_11164	MATN3	1949
GPR152_71712	GPR152	844
PDLIM5_28664	PDLIM5	646
KCTD7_62941	KCTD7	883
ALOX15B_681	ALOX15B	923
PRRG3_48823	PRRG3	1585
ZNF75D_20599	ZNF75D	940
GAS8_6901	GAS8	1499
PCDHGB6_43889	PCDHGB6	1725
LSM3_35910	LSM3	1449
FAM3A_46842	FAM3A	1355
C7orf66_62945	C7orf66	3737
ZNF560_61850	ZNF560	2218
DNMBP_32290	DNMBP	620
GBE1_6937	GBE1	1697
GNPDA2_60093	GNPDA2	465
STAT2_18346	STAT2	1265
HSBP1_8865	HSBP1	2071
TAGLN2_21858	TAGLN2	277
SMAD2_10959	SMAD2	2294
AGGF1_41591	AGGF1	99
DYNLT3_18916	DYNLT3	1524
GALNT4_22703	GALNT4	3757
Non-Targeting Control_77140	Non-Targeting Control	2663
OR2G2_51585	OR2G2	1158
ATP1B4_32819	ATP1B4	2710
COQ10A_56423	COQ10A	284
C21orf62_44141	C21orf62	230
KCNJ14_10070	KCNJ14	764
DSP_5104	DSP	1051
LYRM5_61313	LYRM5	2322
RGMB_68266	RGMB	247
DDO_22205	DDO	1511
WFDC11_66960	WFDC11	1429
KDM2A_31396	KDM2A	193
OR2T11_59304	OR2T11	1695
CHID1_48604	CHID1	441
PTPN18_35023	PTPN18	1139
Non-Targeting Control_77433	Non-Targeting Control	3431
IGSF8_56471	IGSF8	1482
PCDHGB7_43883	PCDHGB7	751
LSR_39109	LSR	2010
HDHD1_21440	HDHD1	1869
MPP1_11710	MPP1	749
SAP130_49350	SAP130	426
SOCS1_22570	SOCS1	630
SPATA31D4_71467	SPATA31D4	2269
B3GNTL1_61636	B3GNTL1	1006
ARL3_1169	ARL3	1186
C1orf52_62029	C1orf52	594
AES_473	AES	360
CIART_62037	CIART	341
KIAA1161_45518	KIAA1161	341
VAV3_28121	VAV3	1827
FLRT1_33558	FLRT1	519
EMID1_59665	EMID1	515
OR52E6_71600	OR52E6	1360
FASLG_1011	FASLG	271
KRTAP3-2_52652	KRTAP3-2	2903
PCDHB6_43984	PCDHB6	729
CTNNBL1_44172	CTNNBL1	253
CIC_31890	CIC	2080
Non-Targeting Control_77395	Non-Targeting Control	5040
TMCO2_59348	TMCO2	547
RANBP3L_64983	RANBP3L	986
TRIM32_31330	TRIM32	2524
ZNF705B_75434	ZNF705B	2693
OLAH_42260	OLAH	2873
SERPINB4_16857	SERPINB4	651
CSF3_4031	CSF3	3159
RGS11_22967	RGS11	729
MMP10_11612	MMP10	740
TRAK2_48609	TRAK2	804
CDC25B_2810	CDC25B	1581
GOLGA8B_72906	GOLGA8B	415
KCNK17_55140	KCNK17	1582
CXCL16_46511	CXCL16	548
Non-Targeting Control_77409	Non-Targeting Control	4325
KLF10_19184	KLF10	2309
BMP3_1779	BMP3	662
ICA1_9092	ICA1	460
CHRNA1_3217	CHRNA1	814
OR4C45_72602	OR4C45	1286
FAM49A_51668	FAM49A	1018
PKN3_36846	PKN3	1100
CEMIP_45292	CEMIP	372
C14orf1_30320	C14orf1	111
ARPC4-TTLL3_76003	ARPC4-TTLL3	268
BEX2_54089	BEX2	1424
CEP290_50865	CEP290	1178
TRIM41_55677	TRIM41	548
SMARCA5_22021	SMARCA5	1253
IFT43_56845	IFT43	567
IER3_23246	IER3	314
MYO6_12115	MYO6	2180
EVC2_60105	EVC2	1093
LOC389895_71526	LOC389895	2407
KCTD5_39936	KCTD5	1695
CASKIN1_45723	CASKIN1	1196
EDA2R_46857	EDA2R	1495
C6orf118_63987	C6orf118	1182
PODN_59358	PODN	476
UBTD2_56144	UBTD2	1162
CYTH1_24360	CYTH1	1254
KIR2DS4_10189	KIR2DS4	1463
ZNF214_20830	ZNF214	1545
ACAN_495	ACAN	269
PLD1_14139	PLD1	484
DNPH1_28602	DNPH1	246
CLDN25_73942	CLDN25	243
INTS2_45672	INTS2	375
PLEKHA5_40032	PLEKHA5	2220
HOXC10_8733	HOXC10	1591
OR6Q1_65452	OR6Q1	1968
TMEM164_53077	TMEM164	1077
ALG5_36682	ALG5	305
HIST1H4D_21737	HIST1H4D	641
PPAN-P2RY11_74463	PPAN-P2RY11	878
CDNF_73169	CDNF	2120
ICAM4_9107	ICAM4	2650
MPV17_11726	MPV17	793
ATP2C2_26416	ATP2C2	431
HSBP1L1_72938	HSBP1L1	848
KDM7A_51439	KDM7A	1400
OR52N4_71588	OR52N4	799
CTLA4_4199	CTLA4	688
ATP6V1B1_1453	ATP6V1B1	1363
