sgRNA	Gene	Clip2_8_IN8_treatment_BC23_IGO_09496_15_S15
S100A14_45409	S100A14	11
OR4N2_71772	OR4N2	38
TADA1_57882	TADA1	57
SAXO1_63145	SAXO1	8
OPN3_33274	OPN3	13
C2orf80_71258	C2orf80	17
GPR6_7511	GPR6	17
ATXN2_16845	ATXN2	58
ALDH1A3_620	ALDH1A3	42
P3H2_41957	P3H2	21
NPFFR1_47386	NPFFR1	27
RCE1_26646	RCE1	14
MSANTD2_49628	MSANTD2	57
PGRMC2_28037	PGRMC2	16
ASAP2_23201	ASAP2	23
UGT1A7_40269	UGT1A7	20
TCF20_18866	TCF20	35
HMGB2_8482	HMGB2	98
LPL_10768	LPL	44
SMIM11_39747	SMIM11	45
RAB33A_24608	RAB33A	112
SYCP3_37231	SYCP3	39
TAS2R19_67007	TAS2R19	24
PARP4_393	PARP4	30
TMEM106C_48734	TMEM106C	32
S100A2_16720	S100A2	35
NAT8_23632	NAT8	31
OIT3_64141	OIT3	23
TMEM203_56697	TMEM203	44
SLC37A2_65400	SLC37A2	47
MYBL2_11980	MYBL2	24
MEGF11_53671	MEGF11	31
PUM1_25655	PUM1	15
MRFAP1L1_57372	MRFAP1L1	50
FAM89A_70437	FAM89A	46
MLLT4_11564	MLLT4	39
VWA2_69247	VWA2	17
ZSCAN20_20539	ZSCAN20	20
OAS1_12958	OAS1	35
MAGI1_24235	MAGI1	26
KPNA7_72568	KPNA7	21
SPATA33_58692	SPATA33	19
IGBP1_9288	IGBP1	4
SLC25A37_38465	SLC25A37	52
SLC18A2_17667	SLC18A2	41
OR10S1_65419	OR10S1	13
MED14OS_76247	MED14OS	39
NCAN_4101	NCAN	28
TREML1_69118	TREML1	27
ATXN1_16841	ATXN1	12
GPNMB_28142	GPNMB	21
ARFGAP3_34952	ARFGAP3	86
ACCSL_71623	ACCSL	62
TMEM126A_53182	TMEM126A	7
RNFT1_37933	RNFT1	25
FBN1_6109	FBN1	45
PRRT2_56796	PRRT2	49
FASTK_29556	FASTK	60
OR4M2_71808	OR4M2	24
FGB_6227	FGB	27
PRR15_65956	PRR15	42
SERPINA3_19	SERPINA3	43
SLC6A9_17545	SLC6A9	64
CHKA_3172	CHKA	22
GPRC5C_43666	GPRC5C	34
ATAD2B_39949	ATAD2B	25
CYP3A5_4404	CYP3A5	33
HDGF_8274	HDGF	39
ZNF559_53749	ZNF559	21
MADCAM1_21357	MADCAM1	31
VRTN_42037	VRTN	3
LRFN1_46053	LRFN1	15
TGFBRAP1_24697	TGFBRAP1	17
YEATS2_43037	YEATS2	6
OR2H1_35276	OR2H1	38
ROBO4_40182	ROBO4	26
DCTN3_30619	DCTN3	21
TSC1_19630	TSC1	14
ZNF501_57511	ZNF501	20
OST4_75175	OST4	78
CNBD1_64043	CNBD1	19
TMPRSS3_47897	TMPRSS3	57
TRPC1_19600	TRPC1	27
CSF1R_4015	CSF1R	36
GAS2L3_67363	GAS2L3	73
PTGES_25142	PTGES	42
KRT27_69412	KRT27	30
C4orf27_41172	C4orf27	12
PPP1R7_14595	PPP1R7	2
PLSCR4_44937	PLSCR4	15
KRTAP19-1_68620	KRTAP19-1	12
GIPC3_59118	GIPC3	26
ZMYND10_38602	ZMYND10	52
RPAP1_34350	RPAP1	13
DCAF8L1_60714	DCAF8L1	51
OCA2_12986	OCA2	15
SPACA5B_74843	SPACA5B	39
ZNF780B_63648	ZNF780B	54
DZIP1_31068	DZIP1	29
CDYL_24800	CDYL	68
TYRP1_19804	TYRP1	90
GDF2_7025	GDF2	18
CLTB_3430	CLTB	5
TM4SF5_23641	TM4SF5	31
CDH4_2842	CDH4	37
OR14I1_72534	OR14I1	33
F11R_37408	F11R	65
CEP68_31977	CEP68	28
ZBTB48_8373	ZBTB48	63
FAM26D_65743	FAM26D	80
HCRTR1_8250	HCRTR1	39
WBP2_33168	WBP2	17
CORO1C_33292	CORO1C	27
HIGD2A_64332	HIGD2A	30
OCEL1_49440	OCEL1	58
TRABD2B_71122	TRABD2B	15
AFTPH_40640	AFTPH	18
PAGE3_60758	PAGE3	69
JAKMIP3_67166	JAKMIP3	30
ITM2C_51804	ITM2C	22
CDH7_2854	CDH7	14
TMPRSS5_51467	TMPRSS5	27
VGLL2_66109	VGLL2	30
RRAS2_30865	RRAS2	1
MAP7D1_43077	MAP7D1	48
PAX9_13356	PAX9	54
ELOVL7_50549	ELOVL7	21
IDO2_64065	IDO2	27
ZNF334_43116	ZNF334	5
SLC41A1_66474	SLC41A1	29
PABPC1L2A_69194	PABPC1L2A	19
NOD1_27931	NOD1	15
NHLRC2_70254	NHLRC2	8
SLC7A2_17566	SLC7A2	28
RNF125_41077	RNF125	45
RING1_16156	RING1	16
TAP1_18698	TAP1	38
ZNF711_20462	ZNF711	24
CTF1_4188	CTF1	32
CCDC74A_55532	CCDC74A	65
POLR2J2_66231	POLR2J2	34
NR2F1_19025	NR2F1	30
SLC17A5_35069	SLC17A5	50
MYO1E_12103	MYO1E	49
DACT3_61885	DACT3	48
CBX4_22233	CBX4	12
PEX5L_39020	PEX5L	16
CDH23_47298	CDH23	24
RXFP4_68940	RXFP4	25
C2orf88_53332	C2orf88	19
ACTG1_195	ACTG1	16
SLC6A14_30613	SLC6A14	51
ZFAND3_47026	ZFAND3	59
AARSD1_51303	AARSD1	12
HAUS4_41034	HAUS4	32
RHCG_38807	RHCG	113
NUDT14_66735	NUDT14	26
SERPINH1_2439	SERPINH1	28
C8orf76_54524	C8orf76	35
JCHAIN_9346	JCHAIN	118
ISPD_75007	ISPD	40
ALPPL2_699	ALPPL2	98
NOTCH4_12738	NOTCH4	15
DHRS4L2_68537	DHRS4L2	65
ACSS3_49389	ACSS3	35
CCDC105_59153	CCDC105	37
ENO2_5594	ENO2	41
C1QTNF7_57350	C1QTNF7	27
ZNF41_20567	ZNF41	42
MELK_26130	MELK	26
FCGR3B_6165	FCGR3B	16
HIF3A_47662	HIF3A	3
VAT1_28281	VAT1	33
ARHGEF5_21149	ARHGEF5	43
ARSD_1208	ARSD	11
CAPNS2_53367	CAPNS2	23
SH3KBP1_37043	SH3KBP1	42
MLF2_21258	MLF2	11
NENF_36837	NENF	34
BOC_55930	BOC	18
LUZP2_68759	LUZP2	23
SLC16A6_23919	SLC16A6	45
USP29_46162	USP29	53
TAF7_18659	TAF7	35
CBLN1_2435	CBLN1	12
CHRFAM7A_55144	CHRFAM7A	15
STAG1_27594	STAG1	20
SPDEF_33757	SPDEF	5
FAM13C_65636	FAM13C	36
OR5V1_51877	OR5V1	27
LECT1_29988	LECT1	96
DLG2_4806	DLG2	49
RNF219_49353	RNF219	100
LRRC24_73110	LRRC24	27
EPHX3_50158	EPHX3	25
ZNF275_29284	ZNF275	55
TAAR8_52231	TAAR8	33
PNMA3_36858	PNMA3	71
NXNL1_57585	NXNL1	41
MAOB_11098	MAOB	45
Non-Targeting Control_76694	Non-Targeting Control	62
RGS21_72809	RGS21	42
GPR35_7607	GPR35	36
MTURN_65949	MTURN	47
ICE1_32628	ICE1	1
LGALS8_10615	LGALS8	81
SCUBE1_51044	SCUBE1	15
IFNK_44418	IFNK	63
SLFN13_61691	SLFN13	76
ITM2B_24852	ITM2B	37
DNAJB8_63855	DNAJB8	6
APMAP_45091	APMAP	61
IGLL5_75771	IGLL5	38
FAM186A_58316	FAM186A	31
PLD1_14139	PLD1	8
TSHZ3_46033	TSHZ3	31
HIST1H2BK_54757	HIST1H2BK	21
PTCHD4_73250	PTCHD4	23
TICRR_55444	TICRR	5
ZBED6CL_57049	ZBED6CL	49
DTHD1_72359	DTHD1	46
GPR180_63384	GPR180	34
FAM3C_28110	FAM3C	61
ELAVL3_5495	ELAVL3	33
SORT1_16716	SORT1	62
STX3_18441	STX3	22
SLC47A2_61661	SLC47A2	53
TTC22_41277	TTC22	39
OR9G1_71673	OR9G1	59
DCAF11_51187	DCAF11	52
TRHDE_36891	TRHDE	56
EFNB2_5357	EFNB2	57
BCL10_23401	BCL10	44
BCL2L2-PABPN1_76099	BCL2L2-PABPN1	37
APBA3_25173	APBA3	44
PER2_23235	PER2	26
ST6GALNAC1_43446	ST6GALNAC1	6
SFMBT2_46307	SFMBT2	33
FATE1_55214	FATE1	23
CRELD1_48625	CRELD1	18
ETS1_5837	ETS1	47
VDAC1_20115	VDAC1	19
PTPN1_15413	PTPN1	24
ZNF77_46576	ZNF77	46
SLC32A1_60871	SLC32A1	26
RASSF9_24116	RASSF9	38
CDX1_2984	CDX1	38
SNTG1_39834	SNTG1	56
SLC38A3_29779	SLC38A3	12
PRND_33358	PRND	6
ZC3HAV1L_56103	ZC3HAV1L	56
AURKC_18428	AURKC	17
PTER_24464	PTER	36
CCDC126_55599	CCDC126	56
ATG4D_54657	ATG4D	59
CHCHD7_49001	CHCHD7	13
ARL4C_27075	ARL4C	19
NKAIN2_62888	NKAIN2	29
GAL3ST2_47338	GAL3ST2	34
C17orf59_40563	C17orf59	32
PACSIN1_37002	PACSIN1	14
FAM114A1_56310	FAM114A1	23
CEACAM21_55375	CEACAM21	29
AHRR_45615	AHRR	3
TMOD2_36595	TMOD2	16
SPSB2_54120	SPSB2	28
BNIPL_62167	BNIPL	15
BRD4_32909	BRD4	29
CLIP1_16666	CLIP1	65
LOC388813_71198	LOC388813	30
RAB2B_54519	RAB2B	3
RHOT1_42211	RHOT1	11
KBTBD4_43107	KBTBD4	66
SAMD7_69618	SAMD7	13
HIST1H2AK_21621	HIST1H2AK	6
EIF4E2_24934	EIF4E2	27
ACBD7_72746	ACBD7	40
RPGR_16274	RPGR	27
CD96_27423	CD96	27
BRINP2_46393	BRINP2	31
C6orf223_65788	C6orf223	25
ZNF567_63629	ZNF567	24
PDLIM3_35960	PDLIM3	14
PIBF1_28170	PIBF1	43
KYNU_23474	KYNU	20
TEX19_72229	TEX19	15
HSH2D_54557	HSH2D	25
EXPH5_31684	EXPH5	35
H1F0_8081	H1F0	27
CBX6_32878	CBX6	19
KRTAP19-3_68651	KRTAP19-3	62
TPGS2_34152	TPGS2	8
KRTAP4-8_74594	KRTAP4-8	73
ZNF219_38163	ZNF219	28
SCCPDH_37787	SCCPDH	7
UNC93B1_51821	UNC93B1	11
KIF4A_33593	KIF4A	9
TSGA10_51234	TSGA10	43
HM13_51621	HM13	95
STAR_18340	STAR	53
LOXL3_54059	LOXL3	14
TMEM204_49526	TMEM204	6
SHE_59205	SHE	77
RWDD4_64957	RWDD4	5
KRT23_34270	KRT23	49
DAZ3_44904	DAZ3	23
UBQLNL_61205	UBQLNL	50
SYNDIG1L_74125	SYNDIG1L	43
CD44_2705	CD44	42
STARD7_44546	STARD7	12
TRAK1_31189	TRAK1	2
HSD3B2_8875	HSD3B2	44
IFIT1_9196	IFIT1	100
RGS6_25412	RGS6	19
WFDC12_59558	WFDC12	67
METAP1D_66389	METAP1D	101
PLA2G4E_58648	PLA2G4E	5
ZBTB24_26150	ZBTB24	37
ORAI3_56450	ORAI3	80
LCN12_68413	LCN12	50
EFR3B_31353	EFR3B	23
LELP1_62112	LELP1	37
CAV3_2394	CAV3	61
CCDC132_42783	CCDC132	37
DUSP3_5151	DUSP3	32
DNAH17_22499	DNAH17	13
CCDC127_60201	CCDC127	14
CES5A_65732	CES5A	46
S1PR1_5268	S1PR1	15
ATG14_31033	ATG14	50
CDK19_31723	CDK19	46
BCAR3_21875	BCAR3	45
BCL10_23403	BCL10	26
TTC32_59815	TTC32	7
ZNF75D_20597	ZNF75D	29
FNIP1_56762	FNIP1	29
BPIFA1_38404	BPIFA1	26
SLC16A13_64856	SLC16A13	70
RAP2A_15818	RAP2A	6
ZNF696_50421	ZNF696	36
ALDH1A2_23208	ALDH1A2	29
CCDC13_62647	CCDC13	112
R3HCC1L_35945	R3HCC1L	52
LEPROT_40474	LEPROT	46
CES3_32936	CES3	8
MAP3K12_20911	MAP3K12	29
TSPAN32_26927	TSPAN32	19
NKPD1_67780	NKPD1	23
G6PC3_56277	G6PC3	35
GPRIN3_68176	GPRIN3	21
LAX1_40940	LAX1	13
FUT5_6659	FUT5	5
DVL2_5185	DVL2	49
OR2A1_69750	OR2A1	7
SSX2B_74492	SSX2B	8
KIF1A_1512	KIF1A	33
CCDC87_42022	CCDC87	32
FA2H_49017	FA2H	33
RSPO1_67949	RSPO1	32
GYPB_8040	GYPB	31
SLC12A4_17626	SLC12A4	32
CDKN1A_2928	CDKN1A	27
NPEPPS_25085	NPEPPS	27
SLC12A9_44807	SLC12A9	37
TINAG_35912	TINAG	111
TSPAN7_19298	TSPAN7	7
COMMD3-BMI1_76145	COMMD3-BMI1	21
DDX24_44919	DDX24	23
LRP2BP_43438	LRP2BP	17
CLSTN3_25830	CLSTN3	22
SPCS2_25982	SPCS2	7
IGFLR1_49717	IGFLR1	7
TP53I3_25154	TP53I3	41
WDFY3_31430	WDFY3	38
OR4D9_71699	OR4D9	15
PPAPDC1A_64370	PPAPDC1A	65
VCL_20107	VCL	23
SRD5A3_49494	SRD5A3	21
INTS6_35097	INTS6	13
ZNF70_20589	ZNF70	2
TMEM229B_63395	TMEM229B	19
OR13G1_73222	OR13G1	15
MRPL45_53440	MRPL45	87
NME8_38471	NME8	25
PTPRF_15483	PTPRF	52
GCGR_6973	GCGR	40
NDUFAF5_48965	NDUFAF5	19
FOXC1_6382	FOXC1	8
PLA1A_38606	PLA1A	48
KLHL2_30671	KLHL2	30
SLN_17728	SLN	27
SPNS2_58881	SPNS2	25
IFNGR2_9273	IFNGR2	18
RAB2B_54522	RAB2B	14
MMP1_11587	MMP1	19
TRIM2_32449	TRIM2	35
NBPF7_69548	NBPF7	59
MSANTD2_49630	MSANTD2	18
PRPS1_15010	PRPS1	42
KRTAP16-1_75849	KRTAP16-1	21
EEF2_5326	EEF2	65
TCEAL4_50362	TCEAL4	120
ITIH6_69806	ITIH6	47
PROK2_46991	PROK2	23
CDCA7L_42631	CDCA7L	19
DEFB119_66157	DEFB119	62
SQLE_18153	SQLE	20
IQUB_62936	IQUB	31
UHMK1_59441	UHMK1	14
ECM2_5140	ECM2	19
MBOAT1_62869	MBOAT1	24
SNCB_17837	SNCB	56
ZDHHC24_66464	ZDHHC24	15
RGL4_67083	RGL4	26
MN1_11650	MN1	42
ATP6V1H_39132	ATP6V1H	1
DAB1_4468	DAB1	131
ZNF652_30939	ZNF652	68
CT62_64479	CT62	9
PER3_23231	PER3	35
ZNF521_34102	ZNF521	30
CTAGE5_11447	CTAGE5	12
GRSF1_7842	GRSF1	6
IQSEC3_72862	IQSEC3	54
RECQL4_24722	RECQL4	34
USP33_31521	USP33	20
CHMP7_56006	CHMP7	6
XRRA1_61204	XRRA1	62
GAL3ST4_49642	GAL3ST4	28
PRPS1_15009	PRPS1	65
PKIG_30249	PKIG	49
GRIK5_7749	GRIK5	42
XPNPEP3_47165	XPNPEP3	7
FAM101A_61306	FAM101A	13
UBE2U_62051	UBE2U	54
SLC22A5_17713	SLC22A5	22
APOBEC3D_60836	APOBEC3D	44
CCDC180_75813	CCDC180	23
NOMO1_32769	NOMO1	42
OR8J1_65278	OR8J1	26
LY6G5C_51290	LY6G5C	21
NUP43_69993	NUP43	2
CPA2_3768	CPA2	31
GPR141_70162	GPR141	20
LOC101928841_76383	LOC101928841	25
TSACC_59478	TSACC	61
ATL3_34091	ATL3	20
ARHGEF25_57508	ARHGEF25	48
MAP2K2_14925	MAP2K2	16
SPPL2A_54374	SPPL2A	22
GCSAM_66866	GCSAM	50
SFTA3_66373	SFTA3	60
ZBTB40_26448	ZBTB40	18
VGLL2_66111	VGLL2	11
ZNF575_67762	ZNF575	4
TOR1A_5198	TOR1A	44
SGSH_17264	SGSH	5
SLC22A23_47034	SLC22A23	22
BIN2_38712	BIN2	34
PRDM12_46765	PRDM12	11
SHROOM3_46040	SHROOM3	57
C14orf132_44734	C14orf132	62
GNA14_25416	GNA14	7
MSTN_7030	MSTN	49
CAPZA3_56591	CAPZA3	38
MTHFD2L_73042	MTHFD2L	25
RNF185_55852	RNF185	22
NXF2B_74644	NXF2B	49
HSPB11_39271	HSPB11	13
MCIDAS_69698	MCIDAS	36
SFT2D1_56993	SFT2D1	35
MYLIP_36529	MYLIP	14
COL17A1_3660	COL17A1	20
ZIC1_20442	ZIC1	14
PLOD2_14196	PLOD2	67
PRR13_39966	PRR13	59
LDHA_10554	LDHA	8
PGAP1_50664	PGAP1	55
OR10AD1_58359	OR10AD1	13
IL33_55663	IL33	34
CYP4Z1_64621	CYP4Z1	48
OR6M1_71736	OR6M1	50
ABHD16A_21085	ABHD16A	11
SETD9_60148	SETD9	38
BHLHE23_59542	BHLHE23	35
EDEM2_43211	EDEM2	12
CDKL3_38294	CDKL3	35
PURB_15548	PURB	2
KLRG1_27401	KLRG1	7
SERPINA11_66766	SERPINA11	14
C10orf55_72761	C10orf55	23
LPPR2_47940	LPPR2	9
CCS_26615	CCS	23
RTTN_34072	RTTN	56
OTOS_62367	OTOS	32
TROVE2_18243	TROVE2	41
ATG12_23993	ATG12	8
FMO2_6491	FMO2	32
B4GALT4_22722	B4GALT4	28
ZNF510_31054	ZNF510	27
TRAPPC6A_48916	TRAPPC6A	46
DCANP1_61088	DCANP1	16
KIF2B_53918	KIF2B	6
RNASE2_16178	RNASE2	15
PFKFB1_13737	PFKFB1	82
RCBTB2_3112	RCBTB2	49
CAPN15_17946	CAPN15	17
KRT3_10315	KRT3	11
IGLON5_72578	IGLON5	18
PTGIR_15349	PTGIR	90
RTTN_34073	RTTN	45
ACMSD_59758	ACMSD	75
TAS2R20_67009	TAS2R20	45
DMTN_5638	DMTN	33
KDM6B_31830	KDM6B	7
PTS_15532	PTS	14
UPK1A_29945	UPK1A	63
TBX2_18765	TBX2	44
10-Sep_62428	10-Sep	22
FABP5_6013	FABP5	29
MTPN_60433	MTPN	19
RECQL4_24723	RECQL4	5
LELP1_62110	LELP1	25
DKK1_31306	DKK1	32
DPCR1_60368	DPCR1	64
CXorf65_63233	CXorf65	67
INHA_9599	INHA	15
MTSS1_25979	MTSS1	14
OR5J2_67142	OR5J2	44
DUT_5178	DUT	49
C6orf99_75338	C6orf99	23
IRAK2_9691	IRAK2	77
SYNGR3_24005	SYNGR3	16
MAGOH_11060	MAGOH	3
PNOC_14249	PNOC	42
SCGB1D1_28791	SCGB1D1	36
NUDT17_64646	NUDT17	38
CASR_2380	CASR	54
MECOM_5873	MECOM	17
HTR7_9064	HTR7	22
CASC4_56957	CASC4	90
ZNF597_61589	ZNF597	83
EPOR_5712	EPOR	27
MSX1_11798	MSX1	25
FAM219B_45230	FAM219B	19
KLF2_27859	KLF2	26
GLRX2_37566	GLRX2	23
CLPX_29304	CLPX	20
DTNB_5121	DTNB	44
GPX7_7681	GPX7	71
GALNTL6_73230	GALNTL6	30
TBL1X_18757	TBL1X	33
CCDC66_68110	CCDC66	74
SLC35F1_66019	SLC35F1	10
BLCAP_29496	BLCAP	19
BRS3_1885	BRS3	36
ACAD8_35445	ACAD8	60
C12orf4_44981	C12orf4	43
ITGB5_9819	ITGB5	41
TMOD3_36593	TMOD3	37
NIF3L1_46908	NIF3L1	34
OXCT1_13161	OXCT1	13
PREX1_45916	PREX1	48
OR10T2_59514	OR10T2	46
ENKUR_65344	ENKUR	38
CAMK2N2_56654	CAMK2N2	17
ACTR6_47797	ACTR6	10
ZNF488_58071	ZNF488	21
GOLGB1_7428	GOLGB1	38
MAGEA8_11024	MAGEA8	11
LRRC10B_71705	LRRC10B	33
EIF3A_22598	EIF3A	6
SEC31B_34189	SEC31B	18
C1orf115_49877	C1orf115	32
CBY3_74071	CBY3	60
NMRK1_41215	NMRK1	30
SFTPD_17233	SFTPD	41
RBAK_46381	RBAK	51
HACD1_24160	HACD1	44
LOC100289561_75721	LOC100289561	43
RALGAPA1_66369	RALGAPA1	47
CTNNB1_4215	CTNNB1	27
SPIN2A_39993	SPIN2A	33
SPPL3_58431	SPPL3	50
NTHL1_12886	NTHL1	14
RGL1_31984	RGL1	42
SIK1_62259	SIK1	13
TATDN2_26012	TATDN2	37
CR1L_3837	CR1L	30
TNRC18_53881	TNRC18	28
CACNA1A_2137	CACNA1A	4
MRPS30_29425	MRPS30	9
FTH1P18_73144	FTH1P18	170
NT5C3B_57406	NT5C3B	28
ARHGAP35_7782	ARHGAP35	102
TPST2_22003	TPST2	21
TRIM24_23038	TRIM24	24
AGRN_70563	AGRN	22
AMPD1_737	AMPD1	49
DNAJC15_36485	DNAJC15	2
AHNAK_48750	AHNAK	40
OPLAH_35318	OPLAH	7
ZC3HAV1_44413	ZC3HAV1	55
SNN_21549	SNN	20
CELA2B_37604	CELA2B	9
DAGLB_65929	DAGLB	42
CD248_45054	CD248	22
NIM1K_63952	NIM1K	60
AGTPBP1_32348	AGTPBP1	56
HKR1_67886	HKR1	51
RPH3A_31149	RPH3A	31
FGF3_6243	FGF3	24
SHISA7_75011	SHISA7	55
LCP2_10546	LCP2	103
AKT1S1_53526	AKT1S1	20
POU6F1_14482	POU6F1	34
OXER1_63820	OXER1	14
ODF3L1_63457	ODF3L1	7
WEE2_73450	WEE2	54
ZCCHC10_40662	ZCCHC10	161
EMC6_52135	EMC6	15
DUSP6_5162	DUSP6	53
TOX3_36019	TOX3	76
GAPVD1_34625	GAPVD1	18
C9orf156_38964	C9orf156	43
FOXE3_6404	FOXE3	61
MBTPS2_38583	MBTPS2	4
ACSL3_6048	ACSL3	40
KIAA0196_26348	KIAA0196	56
PDCL2_60120	PDCL2	31
CDC20B_63936	CDC20B	27
ZNF460_29184	ZNF460	35
MYO5C_43760	MYO5C	42
TNP2_19422	TNP2	24
GRIP2_51438	GRIP2	18
SLC37A4_6707	SLC37A4	120
FAM35A_40175	FAM35A	22
ABCA12_34680	ABCA12	31
SYN3_21429	SYN3	110
CLK1_3390	CLK1	26
NAPRT_56437	NAPRT	39
VCP_20112	VCP	5
MTFMT_58607	MTFMT	7
PLA2G2A_14073	PLA2G2A	44
KLF14_60417	KLF14	144
UNC5C_22504	UNC5C	15
BRINP3_68961	BRINP3	25
CYSRT1_70567	CYSRT1	35
LRRC3B_57652	LRRC3B	34
ZKSCAN8_20792	ZKSCAN8	22
HAUS2_41698	HAUS2	41
AHNAK_48747	AHNAK	37
WLS_50495	WLS	41
DCANP1_61085	DCANP1	71
BAG6_21074	BAG6	23
TAAR6_68562	TAAR6	32
ZNF367_64363	ZNF367	16
CCDC60_63369	CCDC60	92
PSG1_15102	PSG1	24
PRELID1_35737	PRELID1	6
GRM2_7790	GRM2	48
SLC12A8_53811	SLC12A8	44
NRSN2_50627	NRSN2	19
MAT1A_11142	MAT1A	1
NR1D1_25250	NR1D1	17
PLXNB2_33429	PLXNB2	49
SLC40A1_37057	SLC40A1	12
GPR171_36762	GPR171	39
LYZL6_45135	LYZL6	20
TRAPPC5_59003	TRAPPC5	11
ZNF395_43678	ZNF395	15
TNIK_31566	TNIK	60
ME2_11303	ME2	26
RNF150_45601	RNF150	23
GORAB_56219	GORAB	22
CDH18_2895	CDH18	16
TLE6_50033	TLE6	6
H3F3B_8133	H3F3B	25
KIAA1210_45593	KIAA1210	71
IBTK_34295	IBTK	26
C8orf58_73508	C8orf58	7
AKNAD1_66449	AKNAD1	24
SLITRK1_57225	SLITRK1	38
C8orf86_71434	C8orf86	61
CCDC169_74733	CCDC169	81
HIST1H4L_21771	HIST1H4L	81
ARL2BP_33199	ARL2BP	15
AKR1B15_73094	AKR1B15	32
CT47A11_66599	CT47A11	6
LPAR3_33191	LPAR3	67
EXOC3L4_56020	EXOC3L4	67
PIAS4_39089	PIAS4	27
VN1R5_68532	VN1R5	11
GPR137C_67412	GPR137C	50
OR52N2_71594	OR52N2	33
SMIM5_73739	SMIM5	5
BUD13_54217	BUD13	11
HAAO_32952	HAAO	15
USP18_30670	USP18	16
ATOX1_1325	ATOX1	63
TMIGD3_45445	TMIGD3	11
CNR2_3532	CNR2	30
CCDC24_62182	CCDC24	9
PBX3_13365	PBX3	15
HAGHL_53270	HAGHL	70
DYRK4_23010	DYRK4	47
TRAPPC8_31090	TRAPPC8	16
CTAG2_37144	CTAG2	60
FGB_6226	FGB	28
SERPINB3_16855	SERPINB3	30
OR52A1_33094	OR52A1	46
CPSF4L_73724	CPSF4L	10
KCNJ15_10073	KCNJ15	16
ARR3_1183	ARR3	65
ZNF618_57393	ZNF618	8
NALCN_66951	NALCN	32
PAX7_13345	PAX7	25
MAN2A1_11082	MAN2A1	58
POLA1_14331	POLA1	1
CLDND1_44322	CLDND1	50
DDA1_48712	DDA1	31
CDK11B_2784	CDK11B	21
LRRC74A_61436	LRRC74A	37
OR4E2_35253	OR4E2	42
PMM2_14262	PMM2	18
P2RY4_13201	P2RY4	73
ACSM2B_69923	ACSM2B	46
MSL3_29617	MSL3	14
RBM15B_36713	RBM15B	43
ACYP2_252	ACYP2	28
BTC_1904	BTC	33
REEP5_21059	REEP5	35
LRRC74A_61434	LRRC74A	17
NCLN_44603	NCLN	30
AK3_37345	AK3	21
CHD2_3126	CHD2	33
FADD_22926	FADD	18
POTEB_76260	POTEB	90
ODF3B_73024	ODF3B	44
RAET1G_70045	RAET1G	35
FZD2_6690	FZD2	26
FKBP14_41381	FKBP14	13
MAP1LC3B_51849	MAP1LC3B	12
SMAD1_10953	SMAD1	13
HSD17B4_8897	HSD17B4	34
UROC1_59982	UROC1	26
ZNF7_20468	ZNF7	93
NPHP4_67056	NPHP4	6
DEF8_40757	DEF8	7
RBM28_41663	RBM28	13
LYZ_10910	LYZ	19
ADAMTSL5_68926	ADAMTSL5	16
LMO3_43654	LMO3	23
ZNF106_47702	ZNF106	91
STAT4_18354	STAT4	49
MEDAG_54531	MEDAG	72
C12orf43_48227	C12orf43	23
AZIN2_57008	AZIN2	58
CD99_11478	CD99	31
ING2_9596	ING2	69
PRB2_74273	PRB2	31
ATXN3_11510	ATXN3	22
ARHGEF33_75557	ARHGEF33	35
ESRRB_5813	ESRRB	33
EVI5_20956	EVI5	18
ZSWIM5_46100	ZSWIM5	63
SERPINA7_18754	SERPINA7	34
ATP6AP1_1487	ATP6AP1	17
ANO4_58417	ANO4	78
FZD1_21591	FZD1	26
RBFOX3_61637	RBFOX3	33
NPSR1_70733	NPSR1	33
HLA-E_8452	HLA-E	23
FAM19A1_72707	FAM19A1	71
PCMTD2_42083	PCMTD2	26
NYNRIN_45721	NYNRIN	117
TATDN1_52702	TATDN1	74
ALDH6A1_11647	ALDH6A1	5
ARFGAP3_34953	ARFGAP3	31
PRUNE2_63181	PRUNE2	3
PLSCR2_44889	PLSCR2	5
FAM71F1_54046	FAM71F1	41
AHCYL1_29112	AHCYL1	68
EVPLL_73974	EVPLL	30
COL4A2_3565	COL4A2	33
MILR1_67600	MILR1	53
TNIP3_50394	TNIP3	33
NIM1K_63949	NIM1K	8
FBXO30_52897	FBXO30	20
OR4N5_71787	OR4N5	24
SRFBP1_62781	SRFBP1	28
ZSCAN16_51191	ZSCAN16	65
EDN2_5281	EDN2	33
SLC38A10_58772	SLC38A10	55
ALDH8A1_47828	ALDH8A1	19
CAMK2N1_42519	CAMK2N1	50
NECAB1_47487	NECAB1	60
QSOX1_15412	QSOX1	28
KRTAP17-1_52667	KRTAP17-1	19
FAM162A_35015	FAM162A	13
KIRREL_42054	KIRREL	58
LRRN2_28107	LRRN2	20
C16orf52_75040	C16orf52	26
PAQR3_62683	PAQR3	13
TBL3_28645	TBL3	43
SLC26A4_13634	SLC26A4	55
ACRBP_53730	ACRBP	52
NPHP4_67053	NPHP4	81
NT5C3B_57405	NT5C3B	43
ZNF131_20659	ZNF131	32
CD3E_2558	CD3E	27
TRIM52_54281	TRIM52	9
IDUA_9165	IDUA	61
LAYN_61246	LAYN	27
FAM186B_52842	FAM186B	12
NR5A2_6608	NR5A2	35
PTCH2_22540	PTCH2	13
