sgRNA	Gene	Clip2_7_E8_control_BC21_IGO_09496_13_S13
TCF19_18862	TCF19	158
Non-Targeting Control_76668	Non-Targeting Control	268
VNN2_23263	VNN2	69
RCC2_43743	RCC2	43
NEUROD2_12476	NEUROD2	158
SOX11_17999	SOX11	115
CLIC1_3381	CLIC1	36
CXorf57_41523	CXorf57	119
C11orf98_76401	C11orf98	17
PTPRZ1_15527	PTPRZ1	43
ZSCAN21_20564	ZSCAN21	120
ABHD3_64316	ABHD3	30
FBXO21_31460	FBXO21	38
ORMDL1_56686	ORMDL1	165
PECAM1_13648	PECAM1	131
RAI14_34499	RAI14	36
Non-Targeting Control_76509	Non-Targeting Control	418
CERK_48041	CERK	79
ANKDD1B_74782	ANKDD1B	29
TYW1B_73084	TYW1B	38
LOC102723859_76411	LOC102723859	221
ALOX15_679	ALOX15	57
KIF1A_1510	KIF1A	58
SNX27_51777	SNX27	253
NCEH1_45817	NCEH1	31
GPR180_63383	GPR180	68
CDC42BPB_25270	CDC42BPB	5
PROZ_23214	PROZ	83
ABCG2_24812	ABCG2	37
Non-Targeting Control_77038	Non-Targeting Control	156
BDKRB2_1695	BDKRB2	72
ASB15_61112	ASB15	71
C10orf90_58053	C10orf90	49
PPP1R11_18923	PPP1R11	11
RNF219_49352	RNF219	44
ABCG8_47588	ABCG8	50
CHST13_63872	CHST13	138
MSRA_11786	MSRA	107
Non-Targeting Control_76896	Non-Targeting Control	100
SYNJ1_23240	SYNJ1	97
HAS1_8175	HAS1	155
SCN3B_43421	SCN3B	31
PTPN5_54307	PTPN5	36
SCUBE3_66050	SCUBE3	20
SYTL4_56712	SYTL4	28
BACH1_1559	BACH1	101
PRR21_73874	PRR21	131
KCNJ14_10070	KCNJ14	26
NR1I2_23210	NR1I2	219
RFX2_16067	RFX2	38
C17orf82_71021	C17orf82	37
PSME2_15292	PSME2	163
FAM120B_53684	FAM120B	23
MX1_11953	MX1	41
CHDH_42415	CHDH	86
NOL3_23561	NOL3	138
NEK4_18399	NEK4	50
CD99L2_52366	CD99L2	45
ACVRL1_239	ACVRL1	43
CEBPB_3007	CEBPB	80
SLC15A5_74820	SLC15A5	12
Non-Targeting Control_77341	Non-Targeting Control	205
Non-Targeting Control_76484	Non-Targeting Control	373
GFOD1_39925	GFOD1	51
ID2_9124	ID2	46
PRR30_69022	PRR30	96
LYG2_66494	LYG2	85
Non-Targeting Control_76451	Non-Targeting Control	385
C5orf47_60161	C5orf47	64
ANKS6_65086	ANKS6	75
