sgRNA	Gene	Clip2_7_E8_control_BC22_IGO_09496_14_S14
OR51A2_72509	OR51A2	92
DLEC1_26507	DLEC1	11
PRKCQ_14858	PRKCQ	37
HSPB11_39272	HSPB11	160
MAGEA9_11027	MAGEA9	84
OSBPL10_57320	OSBPL10	55
EIF4H_20226	EIF4H	25
ARMC3_65345	ARMC3	21
CNTN1_3541	CNTN1	24
ZCCHC6_49581	ZCCHC6	8
PITHD1_44962	PITHD1	78
TMEM97_36093	TMEM97	25
LANCL3_69809	LANCL3	37
BTBD7_43165	BTBD7	13
ATG4C_54545	ATG4C	36
FFAR1_7623	FFAR1	39
TRPV5_44223	TRPV5	53
ZNF197_27233	ZNF197	60
HSF1_8903	HSF1	58
NIPAL2_50029	NIPAL2	54
FBXL4_34813	FBXL4	37
TMEM27_45399	TMEM27	72
OR1S2_65466	OR1S2	101
GDF15_25080	GDF15	57
AATK_25399	AATK	25
HRASLS2_41210	HRASLS2	42
TJAP1_56575	TJAP1	87
ZNF821_42671	ZNF821	35
ZNF670_56526	ZNF670	63
C9orf9_30087	C9orf9	63
ADAM19_22809	ADAM19	64
MFSD9_54203	MFSD9	77
CLDN16_28914	CLDN16	11
CACNB4_2187	CACNB4	77
BCAS1_22243	BCAS1	22
NAALADL1_26697	NAALADL1	19
ZNF627_64554	ZNF627	18
CCDC71L_64014	CCDC71L	7
C16orf62_44861	C16orf62	30
TMEM17_64752	TMEM17	37
PGM2_42165	PGM2	35
COL9A3_3628	COL9A3	28
GIMAP7_64023	GIMAP7	134
BCL11B_48245	BCL11B	16
C18orf32_73464	C18orf32	21
C2orf54_50356	C2orf54	6
NEU1_12463	NEU1	28
DTD1_56306	DTD1	27
RSPH10B2_74586	RSPH10B2	39
SEC16B_55182	SEC16B	30
DCX_4595	DCX	68
NFATC2_12493	NFATC2	33
SPSB2_54120	SPSB2	30
GATSL3_74223	GATSL3	50
ARMC6_56522	ARMC6	74
PRG3_27939	PRG3	41
KCNJ8_10048	KCNJ8	62
KLRC4-KLRK1_76086	KLRC4-KLRK1	26
NFATC3_12503	NFATC3	78
CLEC3A_27146	CLEC3A	15
APOL5_51412	APOL5	26
EMILIN2_52782	EMILIN2	53
ZNF534_61801	ZNF534	26
SHISA7_75008	SHISA7	35
ZNF610_63570	ZNF610	21
U2AF1L4_64582	U2AF1L4	1
SOWAHD_69822	SOWAHD	32
THEMIS2_24943	THEMIS2	70
FAHD2A_37526	FAHD2A	105
GRIA1_7708	GRIA1	56
KLRC1_10225	KLRC1	56
CREB3L4_62012	CREB3L4	27
MUC20_64807	MUC20	19
GLT6D1_70218	GLT6D1	39
C11orf97_73745	C11orf97	84
FGFBP3_61162	FGFBP3	33
PLBD1_50265	PLBD1	70
NFKBIA_12548	NFKBIA	22
NCK2_21938	NCK2	73
SLC5A7_46880	SLC5A7	23
OR10K2_71928	OR10K2	36
RBM46_63922	RBM46	36
PCSK9_66645	PCSK9	12
SLC2A4_17469	SLC2A4	98
FABP6_6020	FABP6	68
FARP2_26200	FARP2	21
NASP_12209	NASP	44
CHMP1B_45079	CHMP1B	5
KCNB1_9976	KCNB1	40
CBX4_22234	CBX4	64
IDH3G_9156	IDH3G	99
LPIN1_31970	LPIN1	93
TNFRSF11A_22988	TNFRSF11A	43
RANBP3L_64983	RANBP3L	17
WDR88_59077	WDR88	25
OXA1L_13157	OXA1L	24
TXNDC12_37654	TXNDC12	13
ZNF416_42948	ZNF416	13
LRRC14B_71344	LRRC14B	86
C7orf61_72571	C7orf61	35
HBG1_8211	HBG1	91
SAGE1_42586	SAGE1	118
RAVER1_58968	RAVER1	69
SLC38A11_62478	SLC38A11	9
CHIC2_35094	CHIC2	51
NPAP1_33507	NPAP1	6
GHRH_7118	GHRH	35
GLB1L2_55251	GLB1L2	48
CST7_22214	CST7	12
AKAP7_24914	AKAP7	55
LYRM4_45070	LYRM4	11
CD40_2699	CD40	22
ZNF705G_75415	ZNF705G	45
HSPH1_29231	HSPH1	24
C17orf77_61648	C17orf77	68
CCR4_3450	CCR4	66
PGAP2_36010	PGAP2	90
ARL8B_41927	ARL8B	18
CREBBP_3866	CREBBP	28
AGBL4_54324	AGBL4	27
SLC14A2_21354	SLC14A2	6
GMIP_38380	GMIP	23
OCLN_75915	OCLN	20
ABCC12_56725	ABCC12	65
TMPRSS13_52769	TMPRSS13	38
LRP10_34365	LRP10	100
OR4M1_73193	OR4M1	39
GAST_6636	GAST	14
NUGGC_71431	NUGGC	1
TMEM158_34053	TMEM158	39
FAM193B_40187	FAM193B	59
TEX26_58445	TEX26	17
FAM206A_41082	FAM206A	46
NFE2L3_25335	NFE2L3	19
NUAK1_26327	NUAK1	81
SPCS3_46956	SPCS3	113
C6orf222_71377	C6orf222	29
MMRN2_50017	MMRN2	27
OTOP3_69887	OTOP3	24
CXXC1_37103	CXXC1	49
HRH4_46781	HRH4	6
SRA1_26726	SRA1	26
TYW1_42094	TYW1	112
HAVCR1_35307	HAVCR1	59
CAV3_2393	CAV3	57
FTMT_56659	FTMT	26
YIPF6_68458	YIPF6	65
MAP1LC3B_51850	MAP1LC3B	54
TERT_18991	TERT	23
ZNF440_59025	ZNF440	31
CSH2_4042	CSH2	3
OR8K1_71657	OR8K1	27
AGPS_22256	AGPS	17
ACAA1_86	ACAA1	45
VAMP4_22645	VAMP4	41
TNRC6C_46228	TNRC6C	35
SORT1_16714	SORT1	26
IMPA1_9562	IMPA1	55
WEE2_73451	WEE2	119
CERS1_28962	CERS1	36
HOXC6_8723	HOXC6	95
TMEM210_75854	TMEM210	34
SP140L_56499	SP140L	41
DNAL1_52210	DNAL1	44
HS3ST5_66008	HS3ST5	19
UBQLN3_37254	UBQLN3	19
C19orf48_54196	C19orf48	61
C9orf135_60576	C9orf135	22
ERO1L_37028	ERO1L	25
GPRC6A_66012	GPRC6A	31
CYP2F1_4390	CYP2F1	21
S100A13_16764	S100A13	6
FBXW8_34863	FBXW8	18
MUC12_26906	MUC12	24
CUX1_4286	CUX1	141
SOSTDC1_34111	SOSTDC1	46
ACADS_107	ACADS	34
TYMSOS_73446	TYMSOS	37
GABRQ_43644	GABRQ	72
C1orf106_43303	C1orf106	28
OR2F2_60403	OR2F2	35
TADA2A_18626	TADA2A	10
CYLC1_4324	CYLC1	66
SDC4_17071	SDC4	31
GCSAML_62081	GCSAML	31
EGFL7_38003	EGFL7	117
OR8I2_58274	OR8I2	10
C6orf99_75339	C6orf99	54
SLC25A18_52438	SLC25A18	53
BMP7_1796	BMP7	35
HUNK_37066	HUNK	27
FAM19A5_33791	FAM19A5	49
DOCK8_51884	DOCK8	14
STARD9_45703	STARD9	31
FAM196A_73729	FAM196A	40
SKP2_17414	SKP2	61
NIT1_12624	NIT1	66
EFCAB5_70328	EFCAB5	113
MBD6_57188	MBD6	12
SMAP1_47016	SMAP1	110
PHEX_13850	PHEX	70
FGF17_23097	FGF17	47
SOWAHA_60281	SOWAHA	47
ZBED5_46553	ZBED5	16
C9orf62_63085	C9orf62	47
MYBPC1_11976	MYBPC1	34
FKBP15_32406	FKBP15	82
AURKC_18426	AURKC	11
TNFAIP8L3_70931	TNFAIP8L3	31
ZSCAN1_67740	ZSCAN1	33
NDP_12264	NDP	64
NTSR1_12921	NTSR1	77
C11orf45_65387	C11orf45	69
EIF2AK2_14947	EIF2AK2	22
SESN1_35860	SESN1	29
UBE2H_19868	UBE2H	14
ANKRD11_36551	ANKRD11	30
CCDC169-SOHLH2_76024	CCDC169-SOHLH2	101
TMEM86B_66549	TMEM86B	57
PID1_41344	PID1	30
Non-Targeting Control_76646	Non-Targeting Control	110
GC_6962	GC	51
CD101_24709	CD101	52
MRAP2_56819	MRAP2	27
ADAD1_60069	ADAD1	70
CEP76_50468	CEP76	33
SEMA6C_28307	SEMA6C	65
ZNF692_42939	ZNF692	61
TIFAB_73456	TIFAB	33
PYDC1_67038	PYDC1	33
CSAD_38654	CSAD	49
RTCA_22505	RTCA	36
SPANXA1_37053	SPANXA1	33
PACRG_60331	PACRG	25
SLC9A5_17598	SLC9A5	2
SERPINA12_61397	SERPINA12	25
OR5M10_71666	OR5M10	48
ABHD17A_52042	ABHD17A	13
TRPV2_38685	TRPV2	41
ZFYVE27_58081	ZFYVE27	39
PCDHGA8_25691	PCDHGA8	17
MAPKAPK2_24337	MAPKAPK2	91
SLC5A11_57519	SLC5A11	61
SMAD6_10975	SMAD6	6
SKAP2_23452	SKAP2	44
RUSC1_33342	RUSC1	106
RYK_16693	RYK	46
WWC2_50606	WWC2	41
PNP_12756	PNP	61
EFHC1_57118	EFHC1	85
MAGEB3_11050	MAGEB3	21
MBIP_39039	MBIP	21
F11R_37407	F11R	57
DGAT2L6_69838	DGAT2L6	31
PRAMEF20_74017	PRAMEF20	32
THEG_38407	THEG	30
GAL3ST2_47337	GAL3ST2	21
FAM200B_68196	FAM200B	20
NOBOX_60391	NOBOX	63
IL1RL1_24089	IL1RL1	72
RBL2_15912	RBL2	35
PLXNA3_42662	PLXNA3	53
SNRPB2_17876	SNRPB2	15
FAM83E_40777	FAM83E	91
LMX1B_10736	LMX1B	27
IGF1_9290	IGF1	31
POU3F2_14455	POU3F2	18
PRTN3_15082	PRTN3	28
BAG6_21073	BAG6	23
ZFP2_50702	ZFP2	57
MOB3A_59112	MOB3A	11
NDUFS6_12387	NDUFS6	12
MAP6_11117	MAP6	55
TRO_19596	TRO	54
RNASE10_68829	RNASE10	37
ADH7_357	ADH7	23
KRT78_64390	KRT78	34
AGPAT4_44492	AGPAT4	52
ACKR3_44835	ACKR3	122
KIAA1328_45766	KIAA1328	29
RAB9A_24618	RAB9A	27
FGFR3_6293	FGFR3	29
LDLRAP1_34600	LDLRAP1	9
PNPLA7_70560	PNPLA7	26
TNFAIP8L1_59092	TNFAIP8L1	40
NMRK1_41215	NMRK1	40
DENND1C_50466	DENND1C	15
RASSF7_21224	RASSF7	28
DKK2_35620	DKK2	3
MDK_11286	MDK	37
GDAP1L1_48661	GDAP1L1	27
PLSCR1_14220	PLSCR1	64
NKAIN1_49281	NKAIN1	87
BSND_20948	BSND	34
LARS2_32680	LARS2	3
PRKDC_14871	PRKDC	36
SCN4B_16897	SCN4B	52
CDC42SE2_44790	CDC42SE2	16
CSNK1E_4074	CSNK1E	16
SURF4_18522	SURF4	22
C14orf119_41335	C14orf119	13
OR9G4_67246	OR9G4	90
NPIPB3_31781	NPIPB3	3
SHOC2_21214	SHOC2	7
ARL14_50721	ARL14	80
HILPDA_36793	HILPDA	27
RPS6KB1_16527	RPS6KB1	36
HNF1B_18826	HNF1B	76
PRAMEF19_74011	PRAMEF19	66
C11orf68_52300	C11orf68	200
PLTP_14221	PLTP	45
FOLR3_6541	FOLR3	69
CRCT1_40203	CRCT1	79
GPR135_47841	GPR135	31
FAM160B1_46266	FAM160B1	14
SPPL2B_44611	SPPL2B	34
YIF1A_29470	YIF1A	27
DTX3L_62535	DTX3L	22
BHMT_1717	BHMT	46
GBF1_22814	GBF1	7
CT45A7_76307	CT45A7	41
TGM2_19127	TGM2	33
ATXN7L3_44735	ATXN7L3	13
TMEM129_56197	TMEM129	26
CRTC3_48053	CRTC3	10
SUN3_66833	SUN3	25
RASGRP4_57552	RASGRP4	52
TMEM100_42151	TMEM100	66
FASTKD2_31048	FASTKD2	14
PHKA2_13866	PHKA2	18
KRT80_61346	KRT80	22
TRPV1_20188	TRPV1	19
COA7_48490	COA7	29
IL1RAPL1_30246	IL1RAPL1	63
PLP1_14200	PLP1	55
ZNF681_61978	ZNF681	31
RPL36A_16455	RPL36A	13
SPTBN2_18150	SPTBN2	50
LRRC8B_32980	LRRC8B	59
MAP1A_11102	MAP1A	17
CIZ1_33716	CIZ1	76
CORO1C_33294	CORO1C	30
CADM1_33482	CADM1	26
ALKBH7_53278	ALKBH7	22
HNRNPH2_8604	HNRNPH2	26
B3GAT2_60335	B3GAT2	70
NME2_12662	NME2	71
AASS_27196	AASS	46
RASSF10_73964	RASSF10	25
RCCD1_55842	RCCD1	10
CHCHD7_48999	CHCHD7	43
STXBP1_18454	STXBP1	9
TCF12_18849	TCF12	56
TSTD3_75326	TSTD3	29
HERC6_41303	HERC6	97
MYO19_50858	MYO19	25
HOXA3_8640	HOXA3	62
ATP1A1_1330	ATP1A1	8
KLHL34_66899	KLHL34	49
MOSPD2_63210	MOSPD2	44
DCAF11_51187	DCAF11	71
EDN1_5278	EDN1	64
RASA4B_75570	RASA4B	19
STAC2_69418	STAC2	22
TRH_19573	TRH	93
PSD_15091	PSD	36
NEURL1_24025	NEURL1	21
CACNB3_2183	CACNB3	50
TFEC_30855	TFEC	45
XKR3_62269	XKR3	46
CXorf38_63261	CXorf38	25
Non-Targeting Control_77110	Non-Targeting Control	105
TNRC6A_36024	TNRC6A	70
ZMPSTE24_27579	ZMPSTE24	40
PANK3_49499	PANK3	109
SOCS6_24429	SOCS6	26
CRIM1_38198	CRIM1	44
LYZL4_59931	LYZL4	60
DEFB131_73929	DEFB131	47
GRB7_7692	GRB7	91
SLC43A3_36344	SLC43A3	60
BHLHE40_22299	BHLHE40	9
RHEBL1_58347	RHEBL1	47
PARD3_44211	PARD3	20
TNFRSF10B_22999	TNFRSF10B	117
USP10_23866	USP10	41
ABCD2_637	ABCD2	83
GGA1_34537	GGA1	40
MSMB_11775	MSMB	24
PIK3R5_33081	PIK3R5	21
ZNF703_50764	ZNF703	31
PTGR2_61425	PTGR2	19
NEUROD6_47240	NEUROD6	71
MAP7D2_66806	MAP7D2	35
TMEM241_54737	TMEM241	23
FAM86C1_41901	FAM86C1	34
ANGPT4_38643	ANGPT4	34
AKAP7_24916	AKAP7	31
SFTPA1_74339	SFTPA1	93
TH_19135	TH	59
JAG1_511	JAG1	30
MTPN_60435	MTPN	96
TRAPPC10_19326	TRAPPC10	32
CFAP47_68464	CFAP47	51
NUP205_31929	NUP205	24
HORMAD2_62299	HORMAD2	5
PRPH2_15969	PRPH2	54
TBC1D3H_75002	TBC1D3H	10
MIF_11491	MIF	62
TAS2R5_39897	TAS2R5	54
HTR3C_64169	HTR3C	17
SNX30_72475	SNX30	39
DMPK_4867	DMPK	11
SCLT1_60055	SCLT1	39
ARMCX5_48206	ARMCX5	62
TEX14_44062	TEX14	28
SIGLECL1_67803	SIGLECL1	18
TSPAN31_16819	TSPAN31	8
OR52H1_71582	OR52H1	15
CSNK1D_4070	CSNK1D	35
GMDS_7277	GMDS	52
SPATS2_48468	SPATS2	34
SSBP2_33372	SSBP2	42
OR13A1_49145	OR13A1	20
CXXC5_38936	CXXC5	4
POPDC3_47519	POPDC3	19
NEU4_59738	NEU4	54
HTR3B_24098	HTR3B	32
HNRNPCL2_72962	HNRNPCL2	53
KIF14_26467	KIF14	5
TMUB1_52242	TMUB1	56
FZD9_21611	FZD9	10
DDHD1_51393	DDHD1	59
HEATR6_47087	HEATR6	15
DAGLB_65932	DAGLB	30
NPNT_66651	NPNT	67
SPANXB1_74766	SPANXB1	46
PLD3_33409	PLD3	35
GPHN_27490	GPHN	11
C16orf54_67531	C16orf54	24
FAM206A_41079	FAM206A	47
HEY2_32944	HEY2	18
NANS_39808	NANS	48
FAM196B_75405	FAM196B	63
RMI1_50590	RMI1	44
LRRC36_42190	LRRC36	18
CMTM7_56828	CMTM7	74
HSD17B6_22492	HSD17B6	48
GJC3_70006	GJC3	49
LYZL6_45138	LYZL6	75
ATP2B1_1377	ATP2B1	108
SLC25A35_72089	SLC25A35	142
RABGAP1L_26399	RABGAP1L	64
CFAP221_64708	CFAP221	44
WISP1_23163	WISP1	31
NOTUM_61733	NOTUM	94
IRX1_49124	IRX1	64
APMAP_45092	APMAP	18
ENPP5_46720	ENPP5	35
ZC3H10_54327	ZC3H10	51
KCNQ5_44270	KCNQ5	48
METTL9_37833	METTL9	15
PUS3_52172	PUS3	27
USP17L20_75629	USP17L20	13
CETN2_3053	CETN2	45
SNX3_22794	SNX3	20
RAP2A_15818	RAP2A	14
SLC4A4_22636	SLC4A4	67
TBC1D3F_53132	TBC1D3F	56
SCARF2_55760	SCARF2	16
FLVCR1_36288	FLVCR1	47
TMEM115_30025	TMEM115	31
KLHL21_26369	KLHL21	113
TCEAL5_69205	TCEAL5	38
PTF1A_66737	PTF1A	10
LIPH_64776	LIPH	17
MSH3_11760	MSH3	30
PLEKHG1_45588	PLEKHG1	19
RUNX3_2416	RUNX3	73
AKAP2_30496	AKAP2	11
PRAC1_53556	PRAC1	50
C20orf27_41197	C20orf27	22
CCBL1_2458	CCBL1	13
RAF1_15764	RAF1	30
Non-Targeting Control_77231	Non-Targeting Control	226
FAM71A_62216	FAM71A	61
ZNF181_68907	ZNF181	35
DDI1_72768	DDI1	34
C9orf117_68398	C9orf117	44
KCNH7_55313	KCNH7	20
SLC19A1_17673	SLC19A1	61
CYB5R4_38021	CYB5R4	13
CELA1_5473	CELA1	96
CDK2_2899	CDK2	3
CRLS1_40389	CRLS1	19
LRCH1_31861	LRCH1	57
DBP_4553	DBP	29
HS2ST1_25498	HS2ST1	11
ESYT3_52514	ESYT3	51
MRGPRX1_66967	MRGPRX1	4
DCLK2_63891	DCLK2	21
TGM4_19108	TGM4	23
FABP12_74099	FABP12	31
CPLX1_29258	CPLX1	91
WIPF2_61746	WIPF2	46
MRGPRX4_57939	MRGPRX4	9
FAM47C_73269	FAM47C	32
NACC2_60556	NACC2	69
SLX1B_48699	SLX1B	10
PCDHB4_43989	PCDHB4	57
CLCN6_3363	CLCN6	25
ZNF609_31607	ZNF609	25
FAM71F1_54043	FAM71F1	40
PGAM2_13789	PGAM2	15
KIAA0232_25944	KIAA0232	45
PICALM_21544	PICALM	65
NAT14_44996	NAT14	5
CNKSR2_31046	CNKSR2	42
CEP78_52957	CEP78	3
EIF4A1_5433	EIF4A1	6
P2RY14_26481	P2RY14	12
FAM35A_40176	FAM35A	54
CEBPA_3001	CEBPA	74
KRTAP5-11_72856	KRTAP5-11	18
8-Mar_65639	8-Mar	70
RNF41_27298	RNF41	81
SPRYD7_45287	SPRYD7	27
PSAPL1_75101	PSAPL1	56
LAX1_40942	LAX1	76
RABEP1_23978	RABEP1	59
ZNF362_62123	ZNF362	41
PGAP1_50665	PGAP1	116
CGN_45740	CGN	18
TRPM7_40672	TRPM7	2
ZNF257_57070	ZNF257	51
SPEM1_70321	SPEM1	36
CD2BP2_28025	CD2BP2	16
ZNF608_45670	ZNF608	37
ZNF432_25547	ZNF432	77
RDX_15973	RDX	97
CHCHD7_49002	CHCHD7	43
RARRES1_15847	RARRES1	20
PIGV_42912	PIGV	32
PNPLA8_37300	PNPLA8	33
C6orf89_65819	C6orf89	19
ST6GALNAC1_43444	ST6GALNAC1	11
MEF2C_11323	MEF2C	66
NTSR2_33332	NTSR2	16
TBCEL_65432	TBCEL	5
C1GALT1C1_36385	C1GALT1C1	20
ASPH_1278	ASPH	21
CPB1_3775	CPB1	44
CCP110_25802	CCP110	11
PANX1_33620	PANX1	38
IGF2BP1_28773	IGF2BP1	20
CNST_63734	CNST	19
RFX6_66015	RFX6	5
OR4C12_67195	OR4C12	29
RGN_23874	RGN	41
PDXK_22344	PDXK	22
KRTAP19-8_74633	KRTAP19-8	24
AKR1D1_18174	AKR1D1	75
FBXL20_54626	FBXL20	101
ARHGAP27_64837	ARHGAP27	36
BOLL_48620	BOLL	21
PPP1R1C_62465	PPP1R1C	52
CCDC177_44631	CCDC177	12
MYOF_35088	MYOF	26
ABHD1_54064	ABHD1	28
CFC1_43828	CFC1	8
HBA1_8187	HBA1	30
HCN1_69989	HCN1	38
UGT2B11_28976	UGT2B11	23
LRRC25_59130	LRRC25	72
KDELR2_29849	KDELR2	38
PRM1_14971	PRM1	27
ARHGEF7_23260	ARHGEF7	92
COL5A3_37230	COL5A3	52
FAM45A_72682	FAM45A	31
RUSC1_33340	RUSC1	105
BMP8A_70177	BMP8A	13
RAB20_42909	RAB20	31
LUZP2_68758	LUZP2	67
PPP1R1A_14573	PPP1R1A	46
EPOR_5711	EPOR	41
LAMA5_10473	LAMA5	32
WDR20_56024	WDR20	35
ZNF433_63624	ZNF433	7
LRRC63_65613	LRRC63	19
TNFRSF1A_19383	TNFRSF1A	21
SLC25A46_55744	SLC25A46	96
LOC653602_74363	LOC653602	31
TTL_62344	TTL	6
HRC_8843	HRC	25
BCL2L10_26746	BCL2L10	14
PDK1_13601	PDK1	65
ZNF780B_63646	ZNF780B	48
PYGM_15620	PYGM	17
OR51B6_71558	OR51B6	26
ARHGEF38_40753	ARHGEF38	36
SYK_18561	SYK	52
JKAMP_38954	JKAMP	59
RCOR1_32004	RCOR1	76
LINC00452_73782	LINC00452	35
LY6E_10879	LY6E	13
SDC2_17065	SDC2	59
C9orf43_66874	C9orf43	12
ALKBH8_56010	ALKBH8	41
GSTT2B_74396	GSTT2B	65
FTL_6614	FTL	22
C10orf76_49339	C10orf76	69
ZNF90_20632	ZNF90	10
SLC22A10_70851	SLC22A10	44
TADA3_28205	TADA3	32
HSPB3_23533	HSPB3	41
DEFB114_66146	DEFB114	62
MKS1_40954	MKS1	39
PLSCR3_44892	PLSCR3	58
ARHGAP8_33567	ARHGAP8	24
TMCC1_31487	TMCC1	71
VWA8_31663	VWA8	52
SNX30_72473	SNX30	25
YEATS2_43035	YEATS2	16
CECR6_36140	CECR6	29
NR4A2_12947	NR4A2	31
GMNC_74196	GMNC	18
MERTK_28157	MERTK	53
Non-Targeting Control_76650	Non-Targeting Control	117
ATF3_1302	ATF3	17
PHGR1_73954	PHGR1	53
POLA2_33422	POLA2	23
LMO7DN_74910	LMO7DN	80
C3orf30_62662	C3orf30	24
ADAM32_65052	ADAM32	20
TRAF3IP2_29085	TRAF3IP2	30
EPHA1_5646	EPHA1	86
DENND2D_50478	DENND2D	9
THRB_19172	THRB	34
WDR11_43131	WDR11	12
CCDC185_63755	CCDC185	43
FAM126B_68044	FAM126B	23
FRK_6580	FRK	22
SLAMF6_57292	SLAMF6	30
ZMYND15_53156	ZMYND15	22
FLRT1_33556	FLRT1	71
IFT27_29873	IFT27	85
TCF20_18865	TCF20	65
CIDEB_35670	CIDEB	19
PYCR2_36786	PYCR2	106
MPPED2_2054	MPPED2	74
DNAJC5_51151	DNAJC5	4
NHLRC1_70618	NHLRC1	24
BMP4_1782	BMP4	32
SFXN1_56675	SFXN1	26
GIF_7131	GIF	39
KCNMB1_10098	KCNMB1	33
DOCK9_32528	DOCK9	31
KRT5_10321	KRT5	76
DTHD1_72357	DTHD1	74
USP28_46113	USP28	77
UPK1B_19910	UPK1B	16
KCNC3_9986	KCNC3	39
C17orf80_41364	C17orf80	47
BANK1_41353	BANK1	55
CHST2_24814	CHST2	50
OR2H1_35277	OR2H1	4
ULBP3_49252	ULBP3	54
TMEM184A_65018	TMEM184A	43
ZNF107_38733	ZNF107	26
RUSC2_26190	RUSC2	39
CASP14_33218	CASP14	28
KAAG1_70123	KAAG1	52
COMMD4_41067	COMMD4	36
CPA3_3771	CPA3	34
TEDDM1_59397	TEDDM1	23
ZNF284_69452	ZNF284	50
IBTK_34295	IBTK	26
C6orf62_51860	C6orf62	55
TNRC6C_46229	TNRC6C	94
DFNA5_4728	DFNA5	28
TIMP3_19210	TIMP3	27
GAD1_6807	GAD1	26
ADAMTS9_44820	ADAMTS9	29
C12orf74_68814	C12orf74	29
ANKS1A_32363	ANKS1A	53
SH3RF2_62834	SH3RF2	37
CCDC153_67228	CCDC153	62
CCM2_52275	CCM2	22
ADCK2_55686	ADCK2	45
GAS2_6896	GAS2	41
SMAD9_10984	SMAD9	9
SLC25A43_65097	SLC25A43	41
NPC1L1_36686	NPC1L1	21
PRR23D1_75389	PRR23D1	17
MYNN_43672	MYNN	32
ATP6V1C2_66189	ATP6V1C2	17
KRT33B_10394	KRT33B	48
GNA13_28879	GNA13	29
LTBR_10856	LTBR	12
SON_17951	SON	34
GPCPD1_44182	GPCPD1	45
DUSP1_5144	DUSP1	63
CCDC158_69059	CCDC158	22
NME1-NME2_74434	NME1-NME2	33
MRPL55_59494	MRPL55	19
CASC5_44925	CASC5	16
MRGPRG_70712	MRGPRG	36
SPHKAP_51079	SPHKAP	24
C7orf43_42124	C7orf43	3
CPT1B_3827	CPT1B	10
PGPEP1L_61482	PGPEP1L	28
ZNF354C_37110	ZNF354C	21
DZIP3_25539	DZIP3	46
ASB9_60813	ASB9	12
ARAP3_47737	ARAP3	59
RBMS2_15928	RBMS2	30
RBKS_47314	RBKS	12
JPH3_45373	JPH3	13
NBN_12227	NBN	19
SLC29A3_42292	SLC29A3	46
CHP1_30632	CHP1	4
AARD_73107	AARD	52
CD8A_2589	CD8A	55
2-Mar_38269	2-Mar	28
SPIRE1_44540	SPIRE1	50
IFNK_44418	IFNK	55
CD80_2629	CD80	54
LOXL1_10754	LOXL1	46
ZNF616_55397	ZNF616	55
CELA2A_47039	CELA2A	39
ZNF777_35700	ZNF777	5
PAQR3_62681	PAQR3	18
IREB2_9696	IREB2	63
NPAS1_12760	NPAS1	53
OR2L3_71960	OR2L3	55
TEX40_33923	TEX40	29
CERKL_70457	CERKL	41
TMEM209_54507	TMEM209	9
CADPS2_56598	CADPS2	50
BLOC1S2_67173	BLOC1S2	57
AMMECR1_26539	AMMECR1	38
G3BP2_26389	G3BP2	29
TMEM184B_33837	TMEM184B	36
MEX3A_56203	MEX3A	18
IL13RA2_9520	IL13RA2	78
DDX52_29974	DDX52	1
OR2A2_73263	OR2A2	67
ADNP_32675	ADNP	8
ZBP1_51486	ZBP1	30
MUCL1_58020	MUCL1	45
KRT37_22685	KRT37	66
MTMR8_42798	MTMR8	78
SLC43A1_22113	SLC43A1	76
GXYLT2_74520	GXYLT2	30
DDX25_36535	DDX25	58
WLS_50496	WLS	66
ZNF256_27251	ZNF256	16
FAM9C_64299	FAM9C	50
WDR66_61325	WDR66	59
PRMT8_44235	PRMT8	22
GPRC5A_23708	GPRC5A	11
ZNF467_64028	ZNF467	75
SLC25A47_67435	SLC25A47	25
VSX1_37071	VSX1	30
SPATA31D3_71470	SPATA31D3	51
PNMA3_36858	PNMA3	32
FAM209B_71194	FAM209B	49
GDNF-AS1_76237	GDNF-AS1	73
PVRIG_48782	PVRIG	31
CXorf65_63234	CXorf65	126
ZC3H12C_55006	ZC3H12C	19
ZNF645_63187	ZNF645	80
ABI2_27173	ABI2	13
POC5_60254	POC5	19
ATG101_46989	ATG101	81
APIP_37704	APIP	53
C21orf140_76365	C21orf140	50
MPZL1_23599	MPZL1	10
SPHK2_44429	SPHK2	20
FRY_27097	FRY	32
IER5_38332	IER5	25
KANK3_66825	KANK3	27
TTPAL_49100	TTPAL	1
ZBED1_24139	ZBED1	120
TMPRSS11F_71340	TMPRSS11F	75
ATRAID_38631	ATRAID	55
RNF126_42943	RNF126	23
C1orf100_64662	C1orf100	32
INPPL1_9644	INPPL1	36
ACKR4_39015	ACKR4	64
EHBP1_32379	EHBP1	69
AKNA_51235	AKNA	23
GPR176_30582	GPR176	40
C16orf96_69383	C16orf96	72
CA11_2132	CA11	84
GBX1_6953	GBX1	39
FREM2_69342	FREM2	41
NES_29098	NES	37
MPEG1_65489	MPEG1	72
TLR7_38358	TLR7	54
BTBD2_42898	BTBD2	110
SVOPL_60430	SVOPL	50
PDAP1_30787	PDAP1	30
TRIB3_46371	TRIB3	12
PRAP1_58035	PRAP1	9
SLX1A_73525	SLX1A	45
LIPN_73805	LIPN	57
HIST1H3H_21728	HIST1H3H	23
KRT74_58380	KRT74	8
ST8SIA1_17367	ST8SIA1	41
RDH12_61392	RDH12	24
TFF1_19047	TFF1	57
TGFBR3_19115	TGFBR3	44
SIN3B_32413	SIN3B	24
CSGALNACT1_43387	CSGALNACT1	45
CNPY4_66116	CNPY4	9
ZNF568_70377	ZNF568	7
ARF1_1074	ARF1	10
EIF4H_20227	EIF4H	33
