sgRNA	Gene	DE_GFP_high
CSN1S1_4054	CSN1S1	927
CNEP1R1_66678	CNEP1R1	133
KIAA0556_32222	KIAA0556	310
TRIML2_65180	TRIML2	588
TIMM10B_35099	TIMM10B	992
TGIF2LX_55392	TGIF2LX	1507
RXRA_16682	RXRA	827
DIABLO_44296	DIABLO	1527
MCM3AP_23311	MCM3AP	313
TEX19_72231	TEX19	516
HDHD1_21437	HDHD1	1810
PSEN1_15093	PSEN1	2037
COG6_45685	COG6	1721
GABPB2_59192	GABPB2	834
BIRC7_49239	BIRC7	350
SPRR2F_18123	SPRR2F	1437
CUX2_32438	CUX2	458
Non-Targeting Control_77199	Non-Targeting Control	3014
FBP2_22980	FBP2	150
GSK3B_7855	GSK3B	154
MAPKAPK3_21023	MAPKAPK3	279
LRIG2_26217	LRIG2	876
GRAMD1B_45572	GRAMD1B	181
ARHGEF10_25445	ARHGEF10	1034
SORD_17956	SORD	437
CYP4V2_68159	CYP4V2	510
FGF23_21247	FGF23	511
NFU1_35872	NFU1	960
NUDCD3_32655	NUDCD3	378
PPAPDC1B_53706	PPAPDC1B	481
SMIM11_39747	SMIM11	299
IMPA2_9566	IMPA2	439
FGF4_6245	FGF4	550
SPNS3_64888	SPNS3	312
OLFML1_67301	OLFML1	777
SUMO4_70720	SUMO4	15
CSAG1_63191	CSAG1	1897
LOC729159_74838	LOC729159	1117
USP2_23864	USP2	350
SCN2B_16887	SCN2B	632
FHAD1_57285	FHAD1	313
ARC_32183	ARC	1109
ANKRD50_45226	ANKRD50	563
NEDD9_12422	NEDD9	730
ZC3H12B_69216	ZC3H12B	419
RTP3_52269	RTP3	1213
DAPL1_56145	DAPL1	1148
DDX60L_55804	DDX60L	407
TRIB2_36194	TRIB2	437
Non-Targeting Control_76701	Non-Targeting Control	2508
DNAJB12_40569	DNAJB12	293
GAS2L3_67361	GAS2L3	1002
Non-Targeting Control_76929	Non-Targeting Control	3058
SLC27A5_29795	SLC27A5	731
ADAD1_60069	ADAD1	1289
LRFN4_48664	LRFN4	1833
NAE1_23296	NAE1	374
LCE1D_70068	LCE1D	1802
CNTN1_3544	CNTN1	239
HNMT_8568	HNMT	518
MCAM_11214	MCAM	1117
ZNF721_64248	ZNF721	948
SIMC1_70504	SIMC1	1375
B3GNT6_64325	B3GNT6	737
MEI1_62324	MEI1	476
ZFP2_50701	ZFP2	1669
TRPC3_19603	TRPC3	2445
NPR2_12801	NPR2	153
SDR16C5_64353	SDR16C5	1075
NRXN3_24627	NRXN3	310
SUCNR1_44359	SUCNR1	308
PCDHA8_44024	PCDHA8	517
MMP1_11586	MMP1	1416
CTAG2_37145	CTAG2	347
DUPD1_68753	DUPD1	215
Non-Targeting Control_76525	Non-Targeting Control	4395
INMT_30411	INMT	1311
TBC1D30_32475	TBC1D30	568
POU4F1_14461	POU4F1	780
Non-Targeting Control_77257	Non-Targeting Control	1987
MTHFS_28591	MTHFS	1486
WBP2NL_63796	WBP2NL	1307
CDK16_13467	CDK16	626
Non-Targeting Control_77180	Non-Targeting Control	1612
EVPLL_73974	EVPLL	492
FAM104B_55607	FAM104B	1408
TTC16_63138	TTC16	204
COPS8_29550	COPS8	1039
TLR1_19275	TLR1	200
LRRC31_49923	LRRC31	1586
Non-Targeting Control_77062	Non-Targeting Control	3506
SLC9C1_68115	SLC9C1	1358
ACAP2_33058	ACAP2	866
PURA_15541	PURA	866
SULT1A2_18431	SULT1A2	752
NANOGNB_70212	NANOGNB	1092
SLC27A5_29797	SLC27A5	305
ANKRD30A_55729	ANKRD30A	1385
CD177_45060	CD177	1625
OR2J2_35272	OR2J2	1508
SERPINA10_37988	SERPINA10	515
RAD51B_15746	RAD51B	997
ILDR2_70782	ILDR2	1214
RPS6KA3_16522	RPS6KA3	2438
KIAA0226L_50860	KIAA0226L	1566
ANKRD33B_74220	ANKRD33B	275
ARHGEF28_47598	ARHGEF28	566
PPM1J_68588	PPM1J	677
DIRC2_54501	DIRC2	174
BTBD7_43166	BTBD7	170
PCCA_13387	PCCA	474
SLC17A6_44927	SLC17A6	945
FGF22_35391	FGF22	169
PORCN_48142	PORCN	475
ZFPM2_32750	ZFPM2	1506
FAM149A_33918	FAM149A	771
KIAA0895L_74291	KIAA0895L	344
USP27X_71515	USP27X	2017
CELF6_46999	CELF6	214
MAGEC1_26529	MAGEC1	1038
MROH7_70414	MROH7	196
CXCL3_7826	CXCL3	424
REEP4_51198	REEP4	534
C10orf62_72754	C10orf62	410
FBXO47_73430	FBXO47	373
CXorf40A_56071	CXorf40A	664
ZKSCAN8_20790	ZKSCAN8	198
SLITRK1_57225	SLITRK1	688
PDCD4_35883	PDCD4	462
CD274_36563	CD274	751
ARHGAP29_24754	ARHGAP29	85
NOL11_34103	NOL11	449
CHTF8_41005	CHTF8	1862
KIF5B_10166	KIF5B	681
FAM50A_23958	FAM50A	602
NCKAP1_29168	NCKAP1	57
UCKL1_41152	UCKL1	388
APOB_954	APOB	533
PLEKHG3_34384	PLEKHG3	783
NTPCR_53343	NTPCR	1291
Non-Targeting Control_77374	Non-Targeting Control	1918
TMEM52B_58309	TMEM52B	619
Non-Targeting Control_76456	Non-Targeting Control	3459
OR1S1_65470	OR1S1	638
NHLH2_12597	NHLH2	1256
C3orf20_52870	C3orf20	1194
GFM1_55022	GFM1	709
IRAK2_9691	IRAK2	1555
SLC25A51_56092	SLC25A51	740
CYBRD1_50314	CYBRD1	1841
PGAM5_64323	PGAM5	650
SNTB1_17916	SNTB1	1234
ZFR_39258	ZFR	1864
KIAA1210_45593	KIAA1210	673
