sgRNA	Gene	DE_GFP_low
SPATA7_43462	SPATA7	840
OR10P1_58328	OR10P1	215
Non-Targeting Control_77139	Non-Targeting Control	2753
ADGRL1_31021	ADGRL1	669
NHLH1_12594	NHLH1	603
DYNAP_67697	DYNAP	880
AGBL2_50116	AGBL2	218
LGI3_65058	LGI3	742
PTH1R_15375	PTH1R	1010
OPN1SW_1674	OPN1SW	1328
METTL21A_62453	METTL21A	703
WIBG_53419	WIBG	350
ACOT1_73652	ACOT1	665
EMILIN1_30164	EMILIN1	357
NPS_73602	NPS	1714
ZNFX1_45190	ZNFX1	429
SMIM10_73936	SMIM10	953
PLXNA2_14232	PLXNA2	389
BZRAP1_24326	BZRAP1	876
GATA6_6924	GATA6	1196
SIRT6_39004	SIRT6	444
