sgRNA	Gene	DE_GFP_low
URGCP_42972	URGCP	92
UBE2T_36437	UBE2T	70
TPH1_19485	TPH1	11
CBWD3_73313	CBWD3	61
TMEM106B_40376	TMEM106B	22
NHP2_42917	NHP2	126
ARPC1B_26985	ARPC1B	64
DOCK7_54925	DOCK7	19
SCFD1_32252	SCFD1	63
ZMYND11_29122	ZMYND11	3
SMPD1_17796	SMPD1	97
OR4X2_58194	OR4X2	41
KAT6B_33039	KAT6B	63
ZNHIT6_40400	ZNHIT6	48
ST6GALNAC5_51961	ST6GALNAC5	59
GPR62_58022	GPR62	19
SPSB3_55660	SPSB3	90
CHMP3_39228	CHMP3	20
EPHB3_5677	EPHB3	48
LALBA_10457	LALBA	70
OLFML3_44660	OLFML3	98
DHFRL1_64782	DHFRL1	13
PKMYT1_23827	PKMYT1	110
ADAMTS20_50682	ADAMTS20	115
HRH3_30617	HRH3	42
RNASE11_58497	RNASE11	146
MDM4_11295	MDM4	33
CTNNA1_4204	CTNNA1	97
ABR_82	ABR	40
ITSN2_37274	ITSN2	145
NUDT11_41865	NUDT11	41
MFSD3_57035	MFSD3	81
CYTL1_39869	CYTL1	117
HNRNPCL4_76310	HNRNPCL4	5
C1orf210_62180	C1orf210	53
LMO7_10728	LMO7	330
ZNF646_25755	ZNF646	53
IFI30_28080	IFI30	102
TMEM136_65436	TMEM136	77
NPIPA3_73715	NPIPA3	30
CCDC183_54621	CCDC183	45
MYO7A_12119	MYO7A	7
SFTPA2_74857	SFTPA2	63
NLRP9_68698	NLRP9	176
FAM86B2_74297	FAM86B2	52
NAA10_21475	NAA10	56
OR8H2_71641	OR8H2	65
NRXN3_24627	NRXN3	152
DSG1_5085	DSG1	13
ZNF384_64256	ZNF384	180
LOC388813_71199	LOC388813	22
GDI2_7047	GDI2	62
RIF1_41844	RIF1	64
MRPL27_38287	MRPL27	77
UBAP1_38314	UBAP1	45
SPATA8_61505	SPATA8	14
ANGEL2_55623	ANGEL2	69
GOLPH3_47319	GOLPH3	84
SLC25A29_58584	SLC25A29	98
C2orf81_71239	C2orf81	10
CEACAM21_55376	CEACAM21	57
IFI44L_29696	IFI44L	60
NSMCE1_64530	NSMCE1	40
OR1D5_21800	OR1D5	33
PTPRT_30180	PTPRT	150
MFGE8_11411	MFGE8	100
ZSCAN20_20537	ZSCAN20	37
HACD4_72452	HACD4	46
TFB2M_47536	TFB2M	29
E2F4_5216	E2F4	87
ZNF543_58960	ZNF543	17
CT47A12_75949	CT47A12	90
OAZ2_12982	OAZ2	82
TAF1A_23592	TAF1A	53
CASP7_2354	CASP7	110
GAB2_26165	GAB2	80
CD81_2762	CD81	46
HPS4_55108	HPS4	69
FARSB_26858	FARSB	2
MT1B_11812	MT1B	79
GINS4_53390	GINS4	48
TUBA1B_27882	TUBA1B	39
AMBRA1_42843	AMBRA1	23
STK3_18402	STK3	39
CST4_4136	CST4	37
CCM2_52275	CCM2	118
ABCB1_13836	ABCB1	63
ERMN_45551	ERMN	142
TRAF6_19572	TRAF6	107
PNRC2_42858	PNRC2	16
PRPF40A_42952	PRPF40A	164
FCHSD1_55162	FCHSD1	176
ARL1_1158	ARL1	51
G6PC3_56279	G6PC3	69
RASGEF1A_65656	RASGEF1A	122
MCM10_42488	MCM10	15
CHMP6_49490	CHMP6	31
RNF151_61563	RNF151	54
RPL7_16318	RPL7	65
RTKN_16654	RTKN	177
TMEM64_64059	TMEM64	7
P2RY6_13208	P2RY6	150
RAB3GAP2_33696	RAB3GAP2	46
DGCR14_21426	DGCR14	58
OR5B21_65483	OR5B21	101
SLMO2_37529	SLMO2	65
TSPAN17_34878	TSPAN17	10
F13B_5989	F13B	180
MYO1H_67365	MYO1H	46
PCGF1_54153	PCGF1	84
SLC14A2_21354	SLC14A2	40
ZNF100_63668	ZNF100	4
COLCA1_72154	COLCA1	53
SH3BGR_17270	SH3BGR	25
RPL12_16343	RPL12	6
AKNA_51237	AKNA	106
BTN2A1_30176	BTN2A1	125
BLVRA_1753	BLVRA	255
FAM57B_52426	FAM57B	16
FAM214B_51007	FAM214B	47
TOMM22_44798	TOMM22	73
FAM222A_54470	FAM222A	41
LNX2_65998	LNX2	82
RAD52_15757	RAD52	24
CGB_3086	CGB	149
SLC35E1_50417	SLC35E1	107
PADI6_70127	PADI6	80
NRROS_70491	NRROS	76
MCM2_11233	MCM2	25
AMER1_60688	AMER1	39
MRPL36_48323	MRPL36	95
BMP4_1782	BMP4	50
GJB3_7169	GJB3	52
PTGFRN_15346	PTGFRN	87
TRRAP_21539	TRRAP	44
MLLT11_29688	MLLT11	51
MCAM_11216	MCAM	48
THEG_38410	THEG	64
PSMB7_15195	PSMB7	20
C17orf58_67594	C17orf58	17
NKX1-2_71538	NKX1-2	17
MBD3L4_74383	MBD3L4	49
RAD51C_15743	RAD51C	25
TTLL5_31709	TTLL5	102
MPZL2_27347	MPZL2	29
SEC62_19269	SEC62	62
LHX4_55207	LHX4	16
PSMD4_15252	PSMD4	2
BRF2_42220	BRF2	35
SH3BGR_17271	SH3BGR	156
AQP11_67135	AQP11	139
LRRN2_28105	LRRN2	288
MRPL43_53779	MRPL43	108
GSX1_65223	GSX1	42
ARMC7_49469	ARMC7	48
NSD1_47630	NSD1	153
DERL2_37517	DERL2	134
NFATC3_12504	NFATC3	113
PLEK_14154	PLEK	98
BCAR1_25232	BCAR1	82
SLC38A2_39885	SLC38A2	11
C17orf96_75540	C17orf96	104
DET1_41478	DET1	65
KHK_10151	KHK	191
INTS12_45027	INTS12	34
CENPK_47382	CENPK	18
WDR92_57657	WDR92	37
PGK1_13810	PGK1	51
AGPAT2_28471	AGPAT2	218
OR52B2_66643	OR52B2	130
RIMKLB_45627	RIMKLB	36
ADAM17_18613	ADAM17	83
IFNA2_9206	IFNA2	76
SPTLC2_25073	SPTLC2	60
IFT57_41510	IFT57	45
SLC31A1_3688	SLC31A1	126
NXNL2_63098	NXNL2	58
KNG1_10241	KNG1	79
RBM22_43060	RBM22	28
ARHGAP35_7784	ARHGAP35	139
GSPT1_7862	GSPT1	15
PAPOLA_29529	PAPOLA	63
UTP3_44897	UTP3	29
POTEF_74665	POTEF	50
ESF1_39071	ESF1	121
BRAT1_65915	BRAT1	35
CASP7_2353	CASP7	61
ATXN7L2_59263	ATXN7L2	6
C1QTNF4_57340	C1QTNF4	142
RNASE7_53957	RNASE7	74
POLR1C_25129	POLR1C	10
PHLDA2_19665	PHLDA2	65
TRIM43_59748	TRIM43	39
RLN3_57984	RLN3	89
RPS28_16623	RPS28	30
POLE2_14350	POLE2	64
SEMG2_17145	SEMG2	53
ENSA_5606	ENSA	112
INSIG1_9648	INSIG1	60
DNAJC16_32514	DNAJC16	21
CCDC146_46091	CCDC146	40
TJP2_24767	TJP2	36
WNT10B_20294	WNT10B	102
SENP5_65170	SENP5	112
DNAJC17_41873	DNAJC17	5
FOXH1_23428	FOXH1	23
LOXL3_54062	LOXL3	44
CHRNA4_3230	CHRNA4	57
CITED2_27874	CITED2	62
RPAP3_49538	RPAP3	75
TYW3_59313	TYW3	87
MCMDC2_63062	MCMDC2	110
FAM83C_59644	FAM83C	81
MRPL41_48314	MRPL41	73
NPLOC4_42978	NPLOC4	23
ALG10B_61297	ALG10B	38
PRSS35_63968	PRSS35	49
HN1_37985	HN1	109
STON1_29926	STON1	221
NLRC4_46543	NLRC4	130
USP51_63249	USP51	103
C1orf186_72998	C1orf186	90
DSN1_50515	DSN1	6
CSNK2B_4095	CSNK2B	119
PTPRU_26921	PTPRU	96
FBXO31_49952	FBXO31	116
PPP1CC_14570	PPP1CC	4
TEAD3_18953	TEAD3	26
ZMAT5_43768	ZMAT5	46
UGT1A7_40268	UGT1A7	98
SNRPA_17863	SNRPA	39
DLG5_24256	DLG5	92
GRHL3_46437	GRHL3	67
ADD1_318	ADD1	207
SF3B2_29784	SF3B2	30
SPTBN5_38528	SPTBN5	76
SLC25A40_43812	SLC25A40	61
OCRL_12995	OCRL	73
TCP10_18897	TCP10	65
PSMG2_44771	PSMG2	36
MLX_18879	MLX	113
B3GALT1_22747	B3GALT1	62
MKNK1_22356	MKNK1	113
GDE1_39065	GDE1	16
COPS8_29548	COPS8	55
PSMA7_15165	PSMA7	65
ATG9A_48837	ATG9A	34
TSR1_43146	TSR1	37
BPIFB1_56344	BPIFB1	75
EPC2_34607	EPC2	53
ASH2L_23764	ASH2L	31
MYL12A_28717	MYL12A	65
FAM219A_65079	FAM219A	52
ADRA1D_400	ADRA1D	56
NNT_33069	NNT	40
ZNF283_67770	ZNF283	83
CD300LG_61702	CD300LG	64
RALGDS_15782	RALGDS	96
LCE2B_34818	LCE2B	73
C4orf46_64934	C4orf46	40
ARL5B_65686	ARL5B	19
PDZD9_66658	PDZD9	4
ISYNA1_38846	ISYNA1	58
OSCP1_59405	OSCP1	82
XYLT2_47453	XYLT2	46
TRIM7_51893	TRIM7	327
ATOH7_65585	ATOH7	73
PRODH_14989	PRODH	48
SCAP_31294	SCAP	45
KIAA0319L_50396	KIAA0319L	91
ECT2_5257	ECT2	105
SART3_25782	SART3	35
WDR82_51164	WDR82	15
ANGEL1_32561	ANGEL1	64
CC2D2B_70816	CC2D2B	93
FAM25C_73895	FAM25C	38
VHL_20148	VHL	34
MRPL32_48334	MRPL32	48
SYNM_32501	SYNM	5
TLCD1_57708	TLCD1	89
STEAP1B_66730	STEAP1B	28
EXTL1_5908	EXTL1	28
PIANP_64438	PIANP	25
COLCA2_58248	COLCA2	62
ABCC11_54810	ABCC11	85
ZNF335_47154	ZNF335	54
NSF_12869	NSF	77
SLC17A9_47120	SLC17A9	63
APLF_64734	APLF	52
ATXN1L_69389	ATXN1L	146
INPP5B_9635	INPP5B	136
RPSA_10507	RPSA	62
E2F3_5211	E2F3	38
CYP2A7_4350	CYP2A7	53
ZFP57_69731	ZFP57	71
TP53RK_56878	TP53RK	20
SEC61G_32920	SEC61G	71
EIF2B3_23320	EIF2B3	16
TAF2_18636	TAF2	39
KCNJ12_10064	KCNJ12	73
ZBTB2_46049	ZBTB2	28
ELL3_50992	ELL3	56
MAL_11067	MAL	132
MIPOL1_61405	MIPOL1	134
TMED5_37479	TMED5	63
HAGHL_53267	HAGHL	109
MFHAS1_24332	MFHAS1	112
IFNA10_9231	IFNA10	32
TCP10_18898	TCP10	120
ZC3H8_53740	ZC3H8	58
LRFN3_49221	LRFN3	63
LSM11_60249	LSM11	6
LMTK3_57178	LMTK3	172
ERLIN2_30318	ERLIN2	68
TUBB2A_19726	TUBB2A	31
LRRC47_45548	LRRC47	39
PCDHB4_43988	PCDHB4	26
YWHAE_20396	YWHAE	79
BCL2_1634	BCL2	97
ABCA5_32861	ABCA5	41
GSTM2_7893	GSTM2	40
ZBED1_24140	ZBED1	10
TLR9_39780	TLR9	24
SPERT_65558	SPERT	15
COX5B_3706	COX5B	101
SLC25A24_36906	SLC25A24	92
USP39_28954	USP39	15
SLC38A2_39884	SLC38A2	59
B3GNT8_70383	B3GNT8	26
KIAA0100_25676	KIAA0100	47
RPS26_16609	RPS26	15
TMEM255B_69906	TMEM255B	46
TMEM143_42120	TMEM143	43
CCDC57_67582	CCDC57	154
STX6_27435	STX6	74
FANCE_6037	FANCE	32
ITPRIPL2_63486	ITPRIPL2	37
CENPF_3041	CENPF	61
DNAI2_47808	DNAI2	155
CARKD_43206	CARKD	203
ELP2_42080	ELP2	57
SMR3B_29410	SMR3B	16
ZNF503_54283	ZNF503	134
SLC25A1_17686	SLC25A1	22
STIP1_29691	STIP1	39
TRIM14_26120	TRIM14	178
CLVS1_63068	CLVS1	67
GAK_6816	GAK	24
BPIFC_66438	BPIFC	54
GNA12_7298	GNA12	4
TOMM20_26027	TOMM20	27
LPPR2_47940	LPPR2	12
RPAP2_50214	RPAP2	7
HNRNPK_8612	HNRNPK	90
RSU1_16672	RSU1	130
CCNB1_2484	CCNB1	99
WNT4_39874	WNT4	107
ZNF598_55649	ZNF598	120
ACY3_55967	ACY3	103
LYST_3202	LYST	177
LARS_38928	LARS	44
LOC101927844_76356	LOC101927844	56
RBMY1E_70633	RBMY1E	9
USP17L5_74671	USP17L5	55
PLCZ1_55184	PLCZ1	82
DHX36_64168	DHX36	14
RPS2_16485	RPS2	39
RNF145_62843	RNF145	49
FAM204A_47066	FAM204A	71
ZRSR2_21449	ZRSR2	4
TMEM143_42121	TMEM143	45
EID3_73397	EID3	90
NELL2_12456	NELL2	52
OR5P2_58210	OR5P2	49
CROCC_25645	CROCC	2
FAT3_58228	FAT3	88
RAB6C_52892	RAB6C	36
OR5I1_29196	OR5I1	79
RNPS1_29553	RNPS1	10
LSM6_30305	LSM6	32
YWHAG_20398	YWHAG	70
FANCE_6039	FANCE	24
IKZF1_27744	IKZF1	136
WBSCR16_51671	WBSCR16	50
KARS_9940	KARS	41
NFAT5_28992	NFAT5	51
MRPS30_29423	MRPS30	81
AIDA_48175	AIDA	31
YIF1A_29469	YIF1A	57
CCDC34_55724	CCDC34	54
PLEKHF2_49569	PLEKHF2	67
ARPC2_27033	ARPC2	32
CLK2_3394	CLK2	64
ANOS1_9931	ANOS1	41
GOT2_7433	GOT2	77
USP17L29_74694	USP17L29	13
SLC22A12_57632	SLC22A12	129
LOC554223_73565	LOC554223	45
COX4I1_3704	COX4I1	118
TAF5_18651	TAF5	49
ZNF35_20552	ZNF35	136
KATNBL1_49889	KATNBL1	62
ZNF812_74964	ZNF812	28
CBLL1_50217	CBLL1	81
CACTIN_46634	CACTIN	13
ATF5_30891	ATF5	181
GMPPB_36802	GMPPB	77
SLC25A13_27227	SLC25A13	3
DNAL4_27087	DNAL4	15
TCERG1_29532	TCERG1	9
PERM1_54213	PERM1	23
PRKG1_14876	PRKG1	125
ACTR8_56607	ACTR8	56
RPS6KA1_16515	RPS6KA1	43
URB2_26065	URB2	12
FJX1_33627	FJX1	129
CTNND2_4223	CTNND2	48
TCEA1_18792	TCEA1	33
C19orf53_36269	C19orf53	2
OSER1_38945	OSER1	2
LSM7_39301	LSM7	43
HIST1H3C_21707	HIST1H3C	11
AQR_25713	AQR	85
PIP5KL1_60590	PIP5KL1	7
PALM2_57114	PALM2	116
MICA_75969	MICA	73
HLA-DRA_8434	HLA-DRA	92
KCNV2_64075	KCNV2	47
UBE3B_55238	UBE3B	21
CSNK2A1_4087	CSNK2A1	124
UGGT2_43274	UGGT2	46
TG_19072	TG	54
ENPEP_5603	ENPEP	141
ELP4_35226	ELP4	40
ASB3_37907	ASB3	78
CITED1_11751	CITED1	77
SLC2A6_30400	SLC2A6	30
MTRNR2L1_75776	MTRNR2L1	3
TBPL2_70756	TBPL2	73
GFOD2_51741	GFOD2	99
POU5F1_14475	POU5F1	55
GPR161_32802	GPR161	88
TUFM_19736	TUFM	26
DCPS_36225	DCPS	41
SMAD6_10975	SMAD6	34
TAF1D_48949	TAF1D	119
RIT1_16158	RIT1	126
SASS6_63728	SASS6	3
C5orf38_62800	C5orf38	137
CCDC9_34553	CCDC9	52
RBPJ_9349	RBPJ	32
PTX3_15534	PTX3	141
JMJD7_75507	JMJD7	52
AFF1_11556	AFF1	44
GTF2B_7930	GTF2B	5
CGGBP1_22276	CGGBP1	94
C5orf51_68235	C5orf51	63
AUNIP_48669	AUNIP	44
TMEM99_61753	TMEM99	47
KRTAP9-1_74635	KRTAP9-1	35
SEC16A_26430	SEC16A	86
DXO_4976	DXO	10
FRG2B_73176	FRG2B	23
SERINC5_66839	SERINC5	61
SRF_18188	SRF	46
GUCY1A3_8006	GUCY1A3	15
LRRC47_45550	LRRC47	110
OC90_74884	OC90	68
METTL15_64374	METTL15	56
PRKAG3_39609	PRKAG3	37
PHF7_38970	PHF7	31
OR7C1_35241	OR7C1	33
OR2G3_51582	OR2G3	32
SDR16C5_64356	SDR16C5	56
LSG1_42390	LSG1	40
ACOT7_30783	ACOT7	41
FAM89A_70439	FAM89A	44
TIMP2_19207	TIMP2	17
MBD5_43339	MBD5	140
SBSN_70371	SBSN	22
RMND5A_48088	RMND5A	72
CELSR3_5370	CELSR3	69
FAM120AOS_63141	FAM120AOS	114
RIOK1_52434	RIOK1	35
YY1_20386	YY1	21
CFDP1_28053	CFDP1	45
CEP72_43154	CEP72	28
TRIM49_44951	TRIM49	60
RASD2_33140	RASD2	44
RNF10_26440	RNF10	78
HSD3B7_51033	HSD3B7	56
SRR_47045	SRR	104
AREG_1072	AREG	43
USPL1_27359	USPL1	33
SHARPIN_51989	SHARPIN	83
FANCD2_6033	FANCD2	92
SUCLA2_23029	SUCLA2	10
RABGGTB_15696	RABGGTB	40
ZMYND12_53128	ZMYND12	113
KIAA1586_46231	KIAA1586	134
GTF3C1_7979	GTF3C1	35
BAZ2B_37004	BAZ2B	38
CEMIP_45293	CEMIP	78
OSBPL8_57309	OSBPL8	24
LRRC75B_71211	LRRC75B	92
SRRT_39096	SRRT	22
UTS2_29517	UTS2	54
C6orf106_48009	C6orf106	51
PYDC2_62635	PYDC2	32
CALCA_2215	CALCA	26
URI1_22797	URI1	26
SIDT2_37767	SIDT2	38
COLQ_21526	COLQ	85
FBXO22_34882	FBXO22	83
GINS1_26137	GINS1	53
UBA5_50234	UBA5	62
RBAK-RBAKDN_76183	RBAK-RBAKDN	76
DPF1_21388	DPF1	60
TRIM29_33426	TRIM29	22
OR5H15_72610	OR5H15	3
CDC40_38593	CDC40	45
USP8_23869	USP8	61
SERPINA12_61400	SERPINA12	49
MRFAP1L1_57371	MRFAP1L1	23
IL23R_62139	IL23R	36
TTBK2_61520	TTBK2	98
TRAPPC11_47021	TRAPPC11	32
KTI12_56909	KTI12	81
LDHA_10554	LDHA	166
GALE_6821	GALE	45
ZNF143_20699	ZNF143	113
CA8_2121	CA8	56
HIST1H3I_21714	HIST1H3I	58
RPS6KB1_16526	RPS6KB1	62
NANP_61018	NANP	46
FAM214B_51010	FAM214B	15
HDAC2_8266	HDAC2	21
POLR3A_30201	POLR3A	41
GDF2_7025	GDF2	35
PSMD1_15237	PSMD1	9
MRPL37_38258	MRPL37	14
MRPL46_35210	MRPL46	76
RSU1_16669	RSU1	82
CCDC24_62182	CCDC24	54
YKT6_28806	YKT6	9
SMTNL1_65308	SMTNL1	46
YBX3_22219	YBX3	137
DENND4C_42980	DENND4C	77
TOPBP1_30034	TOPBP1	29
FBXL14_61363	FBXL14	65
PSMD6_26224	PSMD6	5
TXN2_33834	TXN2	43
SMCO4_44630	SMCO4	54
RASA4_27190	RASA4	10
LOC643802_73836	LOC643802	81
CRHBP_3888	CRHBP	38
SLC25A31_52111	SLC25A31	12
HNRNPR_27462	HNRNPR	21
ITPR3_9882	ITPR3	63
CPNE6_24601	CPNE6	37
SLC17A8_66211	SLC17A8	171
EXTL1_5907	EXTL1	52
PRKAA1_14761	PRKAA1	91
PEX19_15572	PEX19	90
CHST11_37244	CHST11	16
DBT_4558	DBT	25
TNFAIP8L2-SCNM1_76192	TNFAIP8L2-SCNM1	107
RPS14_16561	RPS14	37
YPEL5_39212	YPEL5	18
CDK13_22461	CDK13	72
ACY1_242	ACY1	106
DHX35_46976	DHX35	43
TACC1_18609	TACC1	10
CHD6_53066	CHD6	4
GPRC5C_43666	GPRC5C	109
SRGAP2_32634	SRGAP2	23
GPR63_51599	GPR63	60
NAPG_22935	NAPG	109
CRYL1_37741	CRYL1	78
TBC1D3K_76321	TBC1D3K	27
VAMP2_18548	VAMP2	35
MTRNR2L3_75783	MTRNR2L3	86
TBC1D28_66454	TBC1D28	27
HYAL2_22699	HYAL2	119
CTSF_22787	CTSF	40
TRMT6_39130	TRMT6	55
POLG2_30546	POLG2	69
SMAP2_47925	SMAP2	47
POLH_14359	POLH	13
IZUMO1_67789	IZUMO1	7
PPIAL4D_73992	PPIAL4D	56
INO80B_52100	INO80B	31
BASP1_27991	BASP1	89
CCRL2_23650	CCRL2	15
ATP8B2_45268	ATP8B2	59
PDXDC1_31560	PDXDC1	113
PPEF2_14508	PPEF2	58
C19orf70_58996	C19orf70	73
SREK1IP1_68260	SREK1IP1	51
ENO1_5590	ENO1	40
MRPL33_25193	MRPL33	46
OR5P2_58209	OR5P2	136
ATP6V1C1_1465	ATP6V1C1	32
FANCM_46251	FANCM	57
CFAP20_36491	CFAP20	83
SAMM50_33779	SAMM50	53
HIST1H3B_21729	HIST1H3B	35
TLR7_38358	TLR7	101
PCSK7_24059	PCSK7	50
STOML1_24716	STOML1	130
CLGN_2995	CLGN	78
FOXD4L1_64703	FOXD4L1	50
OCLM_29465	OCLM	80
MRPL41_48313	MRPL41	35
GRIK5_7752	GRIK5	38
ZNF98_61972	ZNF98	4
CORO2B_27927	CORO2B	148
C16orf58_47958	C16orf58	90
CCDC64_56272	CCDC64	86
ACO1_142	ACO1	92
OR6P1_59520	OR6P1	118
SETD1A_25805	SETD1A	62
RAP1GAP2_31752	RAP1GAP2	139
LGALS9_10618	LGALS9	20
RBM26_47273	RBM26	121
TPD52L1_19479	TPD52L1	173
OGFRL1_49434	OGFRL1	80
SHBG_17301	SHBG	68
FAM9B_64293	FAM9B	28
WSCD1_32385	WSCD1	55
PPIE_28120	PPIE	97
INTS4_56109	INTS4	32
NTF4_12882	NTF4	71
EXOSC2_32712	EXOSC2	61
RBFOX2_33108	RBFOX2	51
ANXA9_21879	ANXA9	14
AURKA_18409	AURKA	53
SOX18_39859	SOX18	26
CCNA1_23355	CCNA1	66
RPL7A_16324	RPL7A	18
MTHFD2_29194	MTHFD2	25
NDUFA9_12301	NDUFA9	76
C16orf91_67552	C16orf91	61
CES4A_67509	CES4A	34
DOK5_43478	DOK5	1
BECN1_22662	BECN1	51
POMZP3_31275	POMZP3	40
ALG12_48905	ALG12	12
FAM160B2_47971	FAM160B2	86
KRT1_10308	KRT1	118
TSC2_19634	TSC2	44
ZNF138_20682	ZNF138	39
SMOX_40082	SMOX	44
CCDC140_62481	CCDC140	61
PSMB2_15173	PSMB2	34
IRF8_9111	IRF8	38
EXOSC5_44565	EXOSC5	11
RIN2_39944	RIN2	63
TRMT112_38896	TRMT112	89
CRLF3_38648	CRLF3	27
EFTUD2_24548	EFTUD2	22
MEPCE_44170	MEPCE	66
STAB2_42698	STAB2	127
AARS2_45659	AARS2	24
CAMSAP3_46155	CAMSAP3	121
SPAG11A_74307	SPAG11A	35
TMEM147_28057	TMEM147	54
KIF4A_33594	KIF4A	62
TRIM43_59747	TRIM43	27
NPTX2_12815	NPTX2	49
EIF2AK1_35577	EIF2AK1	27
OR4F17_51516	OR4F17	51
DRG2_5051	DRG2	80
C7orf55_62919	C7orf55	42
C17orf47_67625	C17orf47	87
CRIPT_24779	CRIPT	57
SOX15_18002	SOX15	33
AGTR1_517	AGTR1	73
ANKRD28_32205	ANKRD28	79
SLX1B_48699	SLX1B	13
NANP_61017	NANP	75
GC_6964	GC	89
TTC4_19690	TTC4	110
MFSD12_59116	MFSD12	86
CDK6_2916	CDK6	43
KBTBD13_71812	KBTBD13	93
ARHGAP23_46087	ARHGAP23	29
CXCL9_11495	CXCL9	88
METTL17_47930	METTL17	86
GPR17_7542	GPR17	119
MAPKAPK5_22295	MAPKAPK5	5
PSMA4_15156	PSMA4	48
RASL12_38360	RASL12	4
ANKRD24_64251	ANKRD24	150
TOP2A_19443	TOP2A	34
SDHD_17098	SDHD	68
CNIH1_27258	CNIH1	79
OLFML2B_34042	OLFML2B	63
FBXO6_34900	FBXO6	64
KHDC3L_62890	KHDC3L	39
CTAG1B_4171	CTAG1B	54
EPB41L1_5627	EPB41L1	152
GPATCH8_31817	GPATCH8	58
GOPC_45039	GOPC	110
TOR1AIP2_63699	TOR1AIP2	40
VN1R2_68523	VN1R2	8
RPL9_16331	RPL9	77
PCNXL3_72144	PCNXL3	94
MORN5_66536	MORN5	64
GRWD1_52461	GRWD1	52
CCDC83_65544	CCDC83	125
SPNS3_64888	SPNS3	80
MOB3C_62100	MOB3C	72
ZBTB17_20723	ZBTB17	2
RNF122_50133	RNF122	114
BRD7_36534	BRD7	85
WDR12_43280	WDR12	5
ZNF236_20882	ZNF236	80
NUP88_12940	NUP88	36
IPO5_10293	IPO5	16
HEATR6_47089	HEATR6	123
C3orf36_50707	C3orf36	43
ATP13A1_45075	ATP13A1	76
MRPL21_65437	MRPL21	68
RHOV_64275	RHOV	65
FST_28187	FST	101
SPDL1_40967	SPDL1	26
ATP5B_1410	ATP5B	38
RBM42_49064	RBM42	39
TNIP1_27735	TNIP1	16
DEFB130_66182	DEFB130	87
KIF9_47474	KIF9	20
NCK1_12252	NCK1	94
NUP214_21181	NUP214	68
SMIM5_73739	SMIM5	6
CBX4_22235	CBX4	47
TBCCD1_41797	TBCCD1	66
RPS6KA4_23525	RPS6KA4	33
FUBP3_23462	FUBP3	87
NCAPG2_40915	NCAPG2	72
BMS1_25987	BMS1	31
MRPL23_16383	MRPL23	5
UBE2W_42197	UBE2W	98
C1orf122_59401	C1orf122	100
MTERF4_59891	MTERF4	63
HIST1H4K_21747	HIST1H4K	89
HP1BP3_37350	HP1BP3	90
SF3B6_39198	SF3B6	68
HSPA1B_8927	HSPA1B	121
AQP5_1035	AQP5	21
LARS_38930	LARS	52
R3HDM4_55791	R3HDM4	26
ABCG2_24810	ABCG2	60
TOR1A_5197	TOR1A	81
EIF3CL_74762	EIF3CL	91
NDUFC1_12353	NDUFC1	152
ZSCAN12_25860	ZSCAN12	18
LZIC_53498	LZIC	89
SPI1_18060	SPI1	18
UQCRHL_72967	UQCRHL	18
C1D_28081	C1D	47
CHRM5_3215	CHRM5	45
CACNA1B_2141	CACNA1B	73
PLXNA1_14225	PLXNA1	102
C15orf39_44534	C15orf39	87
AURKB_24197	AURKB	33
UGT2B10_19963	UGT2B10	70
CD101_24711	CD101	115
TUBGCP4_35804	TUBGCP4	127
GGNBP2_50286	GGNBP2	88
ZSWIM6_46220	ZSWIM6	101
FSBP_76227	FSBP	87
CPNE2_65718	CPNE2	139
LYST_3204	LYST	53
RNF151_61561	RNF151	124
SCRN2_55506	SCRN2	36
CLEC18C_67558	CLEC18C	53
PES1_32923	PES1	13
STARD9_45705	STARD9	36
SPC24_61877	SPC24	7
GPBP1_48369	GPBP1	39
PLK3_3507	PLK3	73
NUTM1_66795	NUTM1	67
FARSB_26860	FARSB	48
PSMD3_15245	PSMD3	42
PAM_13294	PAM	94
ZNF114_63625	ZNF114	62
CCDC136_47948	CCDC136	91
POLR2J_14400	POLR2J	31
CCBL1_2457	CCBL1	43
OSBPL9_57315	OSBPL9	30
PCDHAC2_44000	PCDHAC2	88
GSDMD_49958	GSDMD	96
FGD2_65811	FGD2	33
CDH4_2844	CDH4	77
MPP2_11715	MPP2	25
TUBB_65032	TUBB	4
SUPT5H_18497	SUPT5H	64
GABRG3_6792	GABRG3	65
PARN_13316	PARN	15
CARF_49979	CARF	92
CHMP4B_59634	CHMP4B	13
ZNF764_56288	ZNF764	171
DHX9_4658	DHX9	98
PABPC1L_51169	PABPC1L	91
SPATA31E1_68407	SPATA31E1	79
CYP4F11_46467	CYP4F11	31
ZNHIT1_28184	ZNHIT1	49
LOC102724862_76426	LOC102724862	44
RMDN2_62503	RMDN2	26
H3F3A_8130	H3F3A	42
AP3M1_35354	AP3M1	98
SORCS2_45770	SORCS2	116
SLC4A8_25013	SLC4A8	38
KRTAP1-4_74609	KRTAP1-4	23
ABCB1_13834	ABCB1	163
ADH7_358	ADH7	62
SPIC_58413	SPIC	45
ZC3H12A_50793	ZC3H12A	148
SLC25A47_67436	SLC25A47	40
GTF2H4_7962	GTF2H4	33
HUWE1_26920	HUWE1	5
UNKL_47916	UNKL	22
NVL_12951	NVL	202
HSPG2_8993	HSPG2	25
LPAR1_5269	LPAR1	74
MTRR_11900	MTRR	81
RSU1_16670	RSU1	41
UBXN7_34429	UBXN7	30
PRKAG1_14798	PRKAG1	28
CD48_2715	CD48	208
