sgRNA	Gene	E8_T0
LRRC14_25601	LRRC14	391
URI1_22798	URI1	566
OR5J2_67141	OR5J2	276
HN1_37985	HN1	614
PAX2_13326	PAX2	161
AADACL3_59222	AADACL3	16
SAP25_75758	SAP25	344
C1orf54_49443	C1orf54	204
CXorf49_75283	CXorf49	338
COQ5_53309	COQ5	206
GTF2IRD2B_71407	GTF2IRD2B	450
CNNM4_35073	CNNM4	1086
SRSF7_17216	SRSF7	168
PELO_39694	PELO	353
FRMPD1_30972	FRMPD1	395
ALDH7A1_1407	ALDH7A1	455
PTPN3_15423	PTPN3	453
CACNG7_46750	CACNG7	352
MICAL1_48037	MICAL1	938
DTNA_5120	DTNA	565
RGS12_16116	RGS12	528
KDELR3_29854	KDELR3	329
NKX1-1_40445	NKX1-1	782
CDR2L_37153	CDR2L	123
APEH_910	APEH	483
URM1_51759	URM1	134
HRH1_8837	HRH1	556
EGR1_5394	EGR1	588
ZNF18_20501	ZNF18	254
USP17L1_72439	USP17L1	820
PPP1R7_14595	PPP1R7	182
FSIP1_63476	FSIP1	350
IGF2R_9304	IGF2R	861
ADAMTS16_64215	ADAMTS16	171
RAB3IP_57922	RAB3IP	111
FBXL18_50640	FBXL18	331
CBLN4_60900	CBLN4	178
FRMD6_58538	FRMD6	1456
SSH3_41144	SSH3	181
FIGLA_69582	FIGLA	942
SCG2_21009	SCG2	223
SPCS3_46958	SPCS3	487
KDM3B_39490	KDM3B	251
GNAI1_7305	GNAI1	171
TEX29_58436	TEX29	395
VSNL1_20197	VSNL1	69
FAM132B_62447	FAM132B	361
F12_5982	F12	425
CHST8_47679	CHST8	494
RUSC1-AS1_67946	RUSC1-AS1	596
DEFB118_57961	DEFB118	386
MAS1L_57788	MAS1L	595
UBTFL1_73703	UBTFL1	213
TIMM50_56295	TIMM50	573
Non-Targeting Control_77117	Non-Targeting Control	1534
BAZ2B_37004	BAZ2B	261
SYNCRIP_28278	SYNCRIP	26
ASCL5_74189	ASCL5	513
TYW3_59313	TYW3	295
SLC47A2_61663	SLC47A2	241
SOX14_21842	SOX14	729
SNX1_17920	SNX1	175
MRGPRG_70709	MRGPRG	426
C14orf180_72191	C14orf180	283
CDK11A_74753	CDK11A	551
ZNF221_20623	ZNF221	759
SCAND1_38347	SCAND1	406
PSMG1_22475	PSMG1	131
PINX1_41226	PINX1	621
SELM_60852	SELM	251
AKAP4_23198	AKAP4	185
MIA_21377	MIA	297
KRTAP9-8_52663	KRTAP9-8	1951
TMEM180_50139	TMEM180	180
HIVEP3_46724	HIVEP3	176
LZIC_53498	LZIC	243
PTPN21_30116	PTPN21	443
ST6GALNAC3_66770	ST6GALNAC3	849
RNF44_30955	RNF44	406
MIF_11491	MIF	602
NOX1_35450	NOX1	749
HACD4_72452	HACD4	291
HDDC3_70316	HDDC3	716
LPO_10772	LPO	695
KRT81_10407	KRT81	431
CHST4_27223	CHST4	622
TMEM247_71222	TMEM247	397
PLG_14149	PLG	344
SYNCRIP_28277	SYNCRIP	177
SPIB_18063	SPIB	203
CDK13_22461	CDK13	232
GINS3_48058	GINS3	147
ELF2_5506	ELF2	418
C2orf57_63815	C2orf57	548
COL4A3_3569	COL4A3	452
TOM1L1_26798	TOM1L1	274
CLUAP1_31603	CLUAP1	357
CENPE_3039	CENPE	273
S100A7L2_74055	S100A7L2	751
ANXA5_838	ANXA5	327
CDK13_22463	CDK13	338
EXOSC7_31469	EXOSC7	271
SYNJ2BP-COX16_76132	SYNJ2BP-COX16	818
RABL3_68095	RABL3	750
KRTAP3-2_52651	KRTAP3-2	1402
C1orf204_67957	C1orf204	157
PEPD_13663	PEPD	1010
RAB14_39013	RAB14	355
ATN1_5062	ATN1	271
SLC10A6_69676	SLC10A6	295
GABRA6_6757	GABRA6	235
FAM219A_65079	FAM219A	207
AAGAB_49738	AAGAB	166
C17orf98_71006	C17orf98	489
PAX9_13354	PAX9	409
TSKS_46849	TSKS	952
CTIF_26047	CTIF	445
BTC_1904	BTC	411
WDR66_61328	WDR66	460
NOTUM_61734	NOTUM	266
AFP_485	AFP	344
AVPR1B_1529	AVPR1B	264
NCOA2_28304	NCOA2	79
ERH_5783	ERH	114
FHL1_6330	FHL1	1308
GLI2_7223	GLI2	232
MLLT1_11550	MLLT1	241
VMAC_72243	VMAC	189
CABP4_44842	CABP4	283
BAAT_1556	BAAT	213
D2HGDH_74626	D2HGDH	865
PARP8_49573	PARP8	290
F2RL1_5947	F2RL1	518
DAW1_63800	DAW1	217
SYT14_66684	SYT14	757
NCAM2_12234	NCAM2	373
NPEPPS_25087	NPEPPS	383
LRP5_10807	LRP5	114
AKAP13_30486	AKAP13	312
RAI1_29045	RAI1	528
TMEM164_53076	TMEM164	312
PRSS35_63965	PRSS35	542
STXBP3_18461	STXBP3	919
ATP6V1G1_25184	ATP6V1G1	372
MEX3D_72094	MEX3D	1400
GPC2_65909	GPC2	50
TNFRSF6B_22922	TNFRSF6B	290
MED1_14504	MED1	450
TFB2M_47538	TFB2M	176
GP9_7458	GP9	773
ADAM22_39600	ADAM22	479
ARHGAP9_47648	ARHGAP9	816
SPTY2D1_61263	SPTY2D1	469
BABAM1_36425	BABAM1	589
FOXD2_6423	FOXD2	159
TAF12_18674	TAF12	184
MREG_43028	MREG	341
IQCB1_25514	IQCB1	659
PSMB9_15207	PSMB9	137
GPATCH3_47113	GPATCH3	833
SPPL2B_44611	SPPL2B	677
KLF7_22432	KLF7	695
GOLT1A_59437	GOLT1A	393
PCDHGA3_43938	PCDHGA3	101
OR13H1_69825	OR13H1	1640
LOC391003_71908	LOC391003	297
SLFN14_69413	SLFN14	314
HIST1H2AK_21621	HIST1H2AK	179
IKZF1_27742	IKZF1	914
PIGQ_23829	PIGQ	24
BRINP3_68964	BRINP3	282
LOC100129924_75246	LOC100129924	546
CRB3_56232	CRB3	517
RPRD1B_46570	RPRD1B	880
GINS4_53388	GINS4	188
GRHL3_46438	GRHL3	446
PWWP2B_64150	PWWP2B	250
FAM109B_62328	FAM109B	767
NAT8_23631	NAT8	395
PDE7A_13550	PDE7A	506
PPP2R2A_14623	PPP2R2A	253
C2orf70_69018	C2orf70	175
PURG_36850	PURG	319
OTOG_69275	OTOG	431
SYT17_39450	SYT17	511
PCDHB15_43950	PCDHB15	338
GBE1_6938	GBE1	460
RBMY1D_70632	RBMY1D	648
LLGL1_10699	LLGL1	338
ANKRD16_40149	ANKRD16	446
HIST1H2BF_21669	HIST1H2BF	133
FNBP1L_40850	FNBP1L	261
OR2A2_73263	OR2A2	654
AKR1B10_44845	AKR1B10	1106
SLC35D3_69099	SLC35D3	724
SLC38A10_58770	SLC38A10	87
FASTKD1_49599	FASTKD1	431
3-Mar_57423	3-Mar	317
SMC3_23941	SMC3	189
C6orf48_37419	C6orf48	411
MROH7_70413	MROH7	183
SCGB2A2_11444	SCGB2A2	548
CHCHD7_49002	CHCHD7	814
MTOR_6584	MTOR	48
SPA17_39537	SPA17	503
CT62_64479	CT62	46
NFKBIE_12553	NFKBIE	139
MRPL41_48312	MRPL41	308
RAB29_23445	RAB29	64
IKZF4_47673	IKZF4	313
NAT16_70519	NAT16	501
DCSTAMP_51615	DCSTAMP	327
SBK2_74120	SBK2	392
PIANP_64440	PIANP	351
OR9Q2_65462	OR9Q2	1065
CPSF7_50204	CPSF7	147
PIK3R2_13996	PIK3R2	310
MAGEA1_11000	MAGEA1	335
ELL2_31287	ELL2	390
COPZ2_38178	COPZ2	1414
EPO_5706	EPO	225
FFAR2_7631	FFAR2	916
CADPS2_56598	CADPS2	218
MTMR2_23347	MTMR2	517
IQCE_32354	IQCE	145
BBS5_59751	BBS5	943
FIGF_6341	FIGF	365
COPB1_3678	COPB1	148
PRB3_14712	PRB3	576
NCKIPSD_38923	NCKIPSD	301
SLC10A4_64938	SLC10A4	860
FAM192A_50594	FAM192A	671
KIAA1462_46004	KIAA1462	321
RAVER1_58966	RAVER1	466
ZNF764_56288	ZNF764	291
C4orf46_64934	C4orf46	193
F7_5964	F7	101
KRBA2_58805	KRBA2	180
ZSCAN21_20564	ZSCAN21	1096
RADIL_43070	RADIL	1017
INHBE_52430	INHBE	302
CCDC183_54622	CCDC183	217
C20orf62_61012	C20orf62	115
FBXW2_34735	FBXW2	281
PNLIP_14295	PNLIP	295
BECN1_22662	BECN1	130
ZNF624_45806	ZNF624	406
FAIM2_31472	FAIM2	201
ANKRD30A_55727	ANKRD30A	183
RXRB_16686	RXRB	397
PSMF1_24996	PSMF1	511
CLK4_45405	CLK4	225
SSX1_18302	SSX1	679
C1orf111_67962	C1orf111	566
MBD1_11179	MBD1	187
DNAJC17_41874	DNAJC17	228
TPO_19516	TPO	351
C2CD2L_26196	C2CD2L	173
CTCF_28847	CTCF	244
FDX1_6193	FDX1	332
PCDH7_13404	PCDH7	307
TRAF5_19566	TRAF5	425
KRT19_10379	KRT19	211
FBXO4_34910	FBXO4	19
ZDHHC8_36640	ZDHHC8	784
CHCHD2_37946	CHCHD2	541
MAPK8IP2_33104	MAPK8IP2	702
SLCO4C1_70117	SLCO4C1	397
MMP23B_22150	MMP23B	298
TNS1_19429	TNS1	330
MORF4L2_25459	MORF4L2	626
LIPI_62245	LIPI	261
S1PR5_39612	S1PR5	457
TNNT2_19409	TNNT2	235
LRFN3_49222	LRFN3	396
FAM179B_31778	FAM179B	463
NRARP_73140	NRARP	424
IFNK_44416	IFNK	959
CDH19_36184	CDH19	266
FAM46D_64104	FAM46D	995
BOLA2_73551	BOLA2	276
ARL14_50719	ARL14	269
EXOSC1_37532	EXOSC1	119
TET2_40571	TET2	221
GAPDH_6875	GAPDH	235
ELOVL7_50547	ELOVL7	396
ZNRF3_52966	ZNRF3	341
RPS6KA2_16517	RPS6KA2	330
F2RL2_5951	F2RL2	397
FAM20C_44746	FAM20C	1633
MEGF10_53678	MEGF10	283
GRIA4_7718	GRIA4	277
BAG3_25121	BAG3	1200
ZNF582_61909	ZNF582	421
RBM42_49066	RBM42	86
MAP2K4_17157	MAP2K4	725
C1orf86_64628	C1orf86	338
ARAP1_57868	ARAP1	375
Non-Targeting Control_77340	Non-Targeting Control	1994
SLC22A5_17713	SLC22A5	570
RPLP0_16459	RPLP0	330
TSTD2_63170	TSTD2	1032
LRRC20_41984	LRRC20	467
ANKRD31_66692	ANKRD31	409
ZNF407_42854	ZNF407	322
ADNP2_30996	ADNP2	216
PLCL1_14128	PLCL1	834
FBXO43_68378	FBXO43	795
BOD1L2_67701	BOD1L2	200
DEFB103A_72775	DEFB103A	218
IER3IP1_37885	IER3IP1	1842
BTNL10_75181	BTNL10	408
MELK_26132	MELK	479
FAM90A1_41685	FAM90A1	349
CD40LG_2702	CD40LG	655
ENKD1_52879	ENKD1	433
OR14C36_59287	OR14C36	178
ZBTB17_20724	ZBTB17	91
HPS5_30550	HPS5	225
DPEP2_47499	DPEP2	413
ZNF792_59142	ZNF792	171
ITPRIPL1_62402	ITPRIPL1	374
OR52E6_71598	OR52E6	596
SASS6_63727	SASS6	422
NDUFS5_12381	NDUFS5	593
FAM110A_52201	FAM110A	369
WDR33_42379	WDR33	298
TNFSF4_19761	TNFSF4	765
DGKK_60670	DGKK	385
BRF1_7973	BRF1	61
C14orf93_47029	C14orf93	196
REV1_38805	REV1	525
IFT81_36286	IFT81	386
SATB1_16828	SATB1	514
NUF2_52195	NUF2	111
RENBP_16006	RENBP	811
BAIAP2_28147	BAIAP2	450
TMEM189_70774	TMEM189	644
ICK_31015	ICK	612
MORC2_31095	MORC2	428
VIM_20158	VIM	235
CGRRF1_28864	CGRRF1	340
GMFG_25138	GMFG	319
SP4_18023	SP4	229
C1QTNF7_57349	C1QTNF7	676
SOSTDC1_34113	SOSTDC1	954
SLC25A27_24970	SLC25A27	620
TIMM23B_76206	TIMM23B	941
PARS2_34228	PARS2	228
TRAF3IP3_51179	TRAF3IP3	323
ZNF512B_45560	ZNF512B	115
C10orf32_58113	C10orf32	864
SIGLECL1_67803	SIGLECL1	293
CLLU1OS_73583	CLLU1OS	508
ZNF264_24792	ZNF264	277
URI1_22799	URI1	38
ATL2_47569	ATL2	198
SPATA31A1_74173	SPATA31A1	75
MCMBP_50279	MCMBP	534
TRANK1_26289	TRANK1	802
TARBP2_18714	TARBP2	165
YTHDC2_48161	YTHDC2	204
LOC283710_67474	LOC283710	440
KRT28_63550	KRT28	121
FAM229B_73635	FAM229B	364
ADAP2_43433	ADAP2	239
TMEM179_70924	TMEM179	395
WDR36_60267	WDR36	654
CCDC47_44831	CCDC47	387
IAH1_68039	IAH1	855
CST11_61047	CST11	87
ZNF717_75401	ZNF717	104
NFE2L1_12515	NFE2L1	1735
NUP50_29093	NUP50	250
SP7_58367	SP7	789
KLHL8_45858	KLHL8	238
SSR1_18260	SSR1	416
DOCK6_45883	DOCK6	315
VSIG2_33230	VSIG2	623
TIMM44_28191	TIMM44	215
PCDHA5_44035	PCDHA5	366
HES3_71894	HES3	99
GABRG2_6785	GABRG2	387
CELF1_28829	CELF1	422
CAB39L_51802	CAB39L	149
RGS9_22970	RGS9	876
FGF12_6278	FGF12	709
DIRAS3_23785	DIRAS3	272
MYBL2_11979	MYBL2	651
TMC2_57977	TMC2	127
USE1_43571	USE1	272
CPA5_56620	CPA5	477
RPL28_16405	RPL28	156
RHPN1_57266	RHPN1	285
PSMA8_61181	PSMA8	473
APOC2_972	APOC2	169
KIF17_45900	KIF17	261
RPF1_50761	RPF1	116
BDH1_1688	BDH1	830
CHMP3_39227	CHMP3	638
TMEM229B_63393	TMEM229B	220
CEP57_25670	CEP57	79
MRPL27_38289	MRPL27	403
TRNP1_71115	TRNP1	588
JAKMIP1_62706	JAKMIP1	135
CAMK4_2250	CAMK4	359
FOXL1_6397	FOXL1	673
OBFC1_50544	OBFC1	439
RPL29_16411	RPL29	89
SDHAF1_73901	SDHAF1	834
ZP4_46460	ZP4	557
TIGD5_54580	TIGD5	725
RASD1_39238	RASD1	674
CRYZ_3993	CRYZ	432
TRIM49C_73699	TRIM49C	400
KCTD21_67263	KCTD21	371
DNMT3L_36868	DNMT3L	771
THEMIS2_24944	THEMIS2	256
MTF1_11855	MTF1	108
FAM26E_66433	FAM26E	1085
DCBLD2_59963	DCBLD2	187
SLC37A4_6705	SLC37A4	795
TOX2_54648	TOX2	208
PLEKHF2_49569	PLEKHF2	176
PPP2CA_14607	PPP2CA	9
CCDC136_47947	CCDC136	542
TMEM86A_61266	TMEM86A	164
DDX17_28359	DDX17	309
CFHR3_29406	CFHR3	713
ANKRD7_44229	ANKRD7	693
DCAF4L2_60539	DCAF4L2	922
CT47A11_66599	CT47A11	498
SLC25A10_4117	SLC25A10	320
C6orf201_72666	C6orf201	253
ACSS2_43697	ACSS2	110
TCF7L1_52085	TCF7L1	541
OR3A3_21813	OR3A3	516
ENPP7_68876	ENPP7	100
C19orf26_66554	C19orf26	295
MYNN_43672	MYNN	389
MCM3_11237	MCM3	372
SUDS3_47778	SUDS3	189
TSPAN19_61335	TSPAN19	326
EXOC3_30801	EXOC3	145
FBLIM1_40485	FBLIM1	219
DDX1_4635	DDX1	457
RASGRP1_27083	RASGRP1	67
GPATCH8_31815	GPATCH8	630
TMEM108_48594	TMEM108	175
MOCOS_41385	MOCOS	878
FUT11_64137	FUT11	530
SLC35A4_57068	SLC35A4	379
MON2_31556	MON2	1004
PLEKHA4_46164	PLEKHA4	387
GFM1_55020	GFM1	325
CLEC4D_68717	CLEC4D	167
OR10AG1_67140	OR10AG1	1148
KIAA0100_25675	KIAA0100	233
STK39_36096	STK39	187
HMGCR_8503	HMGCR	526
MED26_24833	MED26	613
LILRA5_70188	LILRA5	496
NDUFA4L2_44515	NDUFA4L2	914
KRTAP5-11_72853	KRTAP5-11	338
RIPK2_22919	RIPK2	1176
MMP9_11605	MMP9	114
RHOD_36968	RHOD	312
HELZ_26476	HELZ	519
ERAS_8828	ERAS	555
CHRNA4_3232	CHRNA4	882
CABP1_24959	CABP1	126
THADA_47072	THADA	593
RALGPS1_25484	RALGPS1	255
FAM71C_64428	FAM71C	359
CLDN25_73943	CLDN25	232
CYP2J2_4396	CYP2J2	1330
FAM71E1_56831	FAM71E1	457
UBR3_59817	UBR3	512
TMEM125_59476	TMEM125	1149
C2orf71_71217	C2orf71	118
EZR_20153	EZR	269
TFG_27804	TFG	198
MORC3_33013	MORC3	220
CIDEC_47149	CIDEC	322
GOLGA6B_43659	GOLGA6B	228
FAM207A_54868	FAM207A	292
GPR149_69627	GPR149	323
MRPL36_48323	MRPL36	106
MRPL47_45071	MRPL47	242
OTUD6A_60718	OTUD6A	549
RALGAPA2_45236	RALGAPA2	439
SLC44A2_45145	SLC44A2	286
TROVE2_18244	TROVE2	543
SEMA7A_22063	SEMA7A	541
RNF126_42945	RNF126	145
FAM3B_39766	FAM3B	508
HOXC13_8747	HOXC13	299
FLRT1_33558	FLRT1	352
CLVS2_60307	CLVS2	392
FITM2_59555	FITM2	432
C5orf34_70496	C5orf34	368
REXO4_45003	REXO4	244
CDV3_42691	CDV3	173
TEAD3_18956	TEAD3	501
ATPIF1_56611	ATPIF1	900
CC2D1A_40808	CC2D1A	787
GNAI1_7308	GNAI1	773
CTBS_4173	CTBS	427
DARS2_41753	DARS2	371
MRPL27_38288	MRPL27	229
PGK2_13815	PGK2	458
PSME1_15287	PSME1	263
SKAP1_22495	SKAP1	527
PDCD1_13485	PDCD1	217
OSBPL7_57305	OSBPL7	214
TOB2_29106	TOB2	234
DNASE1L2_4905	DNASE1L2	220
DDX50_48703	DDX50	823
GPSM1_34531	GPSM1	389
AFAP1L2_53893	AFAP1L2	450
TNS2_32612	TNS2	478
OR2G3_51582	OR2G3	174
SCGB3A2_57907	SCGB3A2	624
GIMAP1-GIMAP5_76065	GIMAP1-GIMAP5	119
CIB3_57968	CIB3	140
KCNH3_32755	KCNH3	230
TAGLN2_21860	TAGLN2	213
OXCT2_47279	OXCT2	387
SLC39A4_42862	SLC39A4	128
FAM65B_25847	FAM65B	375
TBXAS1_18785	TBXAS1	380
MGAT2_11432	MGAT2	329
GATA5_60867	GATA5	561
SMAD6_10974	SMAD6	403
CACNA2D4_56549	CACNA2D4	924
TRIB2_36193	TRIB2	128
LIMCH1_31421	LIMCH1	315
CA4_2107	CA4	359
ZDBF2_46204	ZDBF2	539
ZNRF4_61944	ZNRF4	194
GEMIN6_50089	GEMIN6	118
TMIGD2_59082	TMIGD2	472
ERG_5778	ERG	276
CHODL_60843	CHODL	149
KCNJ3_10033	KCNJ3	453
TEX29_58433	TEX29	170
SULT6B1_71988	SULT6B1	120
GCC2_25480	GCC2	669
KCNG2_34841	KCNG2	389
ZNF649_48481	ZNF649	202
SPIN1_29572	SPIN1	215
BCAS2_27640	BCAS2	968
PELI2_45169	PELI2	258
SRRM5_75534	SRRM5	267
FAM89B_33348	FAM89B	194
WDR83_53374	WDR83	355
TMEM200A_57238	TMEM200A	451
CCDC38_58305	CCDC38	475
HSPA4L_30917	HSPA4L	171
TXLNB_63980	TXLNB	293
CD1C_2540	CD1C	711
RESP18_71263	RESP18	156
RBM34_31508	RBM34	190
AGO4_64348	AGO4	301
ZNF585A_64562	ZNF585A	508
PGRMC1_29336	PGRMC1	868
C12orf73_74723	C12orf73	191
GNG11_7377	GNG11	416
LONRF1_55964	LONRF1	229
ZNF154_20728	ZNF154	158
CELF1_28830	CELF1	431
WNT5A_20272	WNT5A	216
LIPH_64776	LIPH	146
CXorf49B_75464	CXorf49B	92
FZD9_21611	FZD9	164
DSG1_5086	DSG1	277
ZEB1_18844	ZEB1	437
NOM1_47806	NOM1	437
HIST1H2AC_21634	HIST1H2AC	245
ZXDC_49181	ZXDC	90
HOXC11_8740	HOXC11	499
HIST2H3A_68596	HIST2H3A	125
MCTP2_43365	MCTP2	428
FSTL3_27586	FSTL3	222
CYTH3_24349	CYTH3	375
GSDMD_49956	GSDMD	413
ZNF425_62964	ZNF425	133
TTC22_41278	TTC22	208
KIAA1671_54864	KIAA1671	305
LCN15_71492	LCN15	200
MRPL35_38490	MRPL35	522
EFHD2_49096	EFHD2	228
PARG_22130	PARG	487
MRPL45_53439	MRPL45	354
C10orf25_65643	C10orf25	563
RWDD2B_26903	RWDD2B	234
C7orf49_48655	C7orf49	486
SYN3_21432	SYN3	550
MYH3_12029	MYH3	53
BCL2_1636	BCL2	627
VCPKMT_49384	VCPKMT	208
DOCK3_4965	DOCK3	206
LINGO1_54397	LINGO1	301
LYSMD1_71155	LYSMD1	343
SLCO1B3_36170	SLCO1B3	488
SLC39A13_55771	SLC39A13	267
C18orf8_36779	C18orf8	252
LMOD2_73277	LMOD2	332
LSM1_35903	LSM1	408
PTCHD3_70249	PTCHD3	951
IRS1_9727	IRS1	218
ENC1_22140	ENC1	163
UBE2D3_19846	UBE2D3	253
ZNFX1_45189	ZNFX1	517
NANOG_50367	NANOG	19
CARD9_47492	CARD9	211
FABP9_74097	FABP9	527
MPZL2_27345	MPZL2	598
TMEM154_64945	TMEM154	251
APBA2_887	APBA2	37
POMZP3_31275	POMZP3	89
XPO1_20359	XPO1	267
SLC25A37_38464	SLC25A37	275
FAM134A_48975	FAM134A	220
MRLN_75932	MRLN	497
CALU_2248	CALU	428
KRT34_10400	KRT34	356
SMIM2_48740	SMIM2	503
KDM8_50080	KDM8	505
ZDHHC15_63248	ZDHHC15	452
SPINT4_71977	SPINT4	255
RASGRP3_33692	RASGRP3	625
FBXW8_34864	FBXW8	219
AMOTL2_38721	AMOTL2	582
HRH3_30616	HRH3	237
ATP6V1H_39132	ATP6V1H	205
RIPK4_39768	RIPK4	845
SH3TC2_49437	SH3TC2	189
SEMA3A_27880	SEMA3A	289
ADAR_265	ADAR	689
SCNN1D_16930	SCNN1D	237
GEMIN2_22075	GEMIN2	750
PEAR1_70424	PEAR1	356
MS4A10_69285	MS4A10	197
GPI_7474	GPI	75
ZIC5_54904	ZIC5	700
CMSS1_53474	CMSS1	385
AMFR_727	AMFR	493
MAGED4_74603	MAGED4	461
OR8U1_65226	OR8U1	620
SCG5_17257	SCG5	85
F2R_5941	F2R	514
SLC29A2_8570	SLC29A2	1432
POLE_14345	POLE	65
SLC7A6_23725	SLC7A6	526
RPUSD4_54357	RPUSD4	457
PRPF3_23954	PRPF3	295
PJA2_26242	PJA2	742
ASCL3_44382	ASCL3	332
NUMBL_24316	NUMBL	32
GABARAP_30805	GABARAP	215
AFF4_35630	AFF4	243
PCDHB4_43989	PCDHB4	458
OCRL_12995	OCRL	84
C16orf93_55640	C16orf93	139
FEM1B_27059	FEM1B	180
OCA2_12988	OCA2	732
BCAP31_27114	BCAP31	886
C4orf32_60085	C4orf32	1118
KRTAP4-7_75448	KRTAP4-7	72
MED26_24835	MED26	173
CPB2_3778	CPB2	1016
HSPB3_23533	HSPB3	186
KCNK12_44348	KCNK12	600
ZC3HAV1_44414	ZC3HAV1	133
TRIM28_27186	TRIM28	324
ARFIP1_35829	ARFIP1	319
GHRH_7117	GHRH	252
C2orf16_53162	C2orf16	412
YPEL3_52420	YPEL3	41
AKAP4_23200	AKAP4	357
YKT6_28805	YKT6	266
UBP1_19894	UBP1	664
MEF2BNB-MEF2B_11317	MEF2BNB-MEF2B	216
DUPD1_68755	DUPD1	233
KRTAP9-9_51991	KRTAP9-9	510
SLC25A32_51496	SLC25A32	484
RRM2_16649	RRM2	367
RSC1A1_16662	RSC1A1	392
HNF4A_8556	HNF4A	606
BZW2_36248	BZW2	773
PDE3A_13508	PDE3A	149
TPK1_35396	TPK1	435
CENPT_50801	CENPT	112
FAM160A2_52830	FAM160A2	108
PRAMEF6_72958	PRAMEF6	144
SMARCC1_17758	SMARCC1	419
FAM117B_62412	FAM117B	263
ALDH2_608	ALDH2	681
STAC3_66223	STAC3	205
SEL1L3_32161	SEL1L3	435
TBC1D16_58900	TBC1D16	119
KRTAP4-3_54768	KRTAP4-3	407
ZMYM3_24170	ZMYM3	338
C7orf77_62937	C7orf77	1137
ARPC5_26976	ARPC5	419
SMAD9_10984	SMAD9	495
RGPD2_74992	RGPD2	144
PXK_40936	PXK	857
PVRIG_48780	PVRIG	152
IL33_55666	IL33	339
BSDC1_41589	BSDC1	404
TRMT1L_51837	TRMT1L	406
Non-Targeting Control_77093	Non-Targeting Control	1610
POMK_53103	POMK	303
RRAS_16636	RRAS	664
MTERF4_59890	MTERF4	570
HSPA12B_57821	HSPA12B	70
ATP5L2_67105	ATP5L2	129
CCDC121_49464	CCDC121	923
ADRM1_29953	ADRM1	347
RGAG4_69188	RGAG4	315
NKTR_12632	NKTR	368
RASGRP1_27082	RASGRP1	256
FEZ2_25440	FEZ2	154
PDPN_28731	PDPN	131
IPO11_38099	IPO11	134
C1orf27_41111	C1orf27	572
MPHOSPH10_27321	MPHOSPH10	93
HMX2_8539	HMX2	459
ELAVL2_5486	ELAVL2	541
NANS_39810	NANS	237
AFAP1L2_53894	AFAP1L2	245
ECE1_5239	ECE1	689
PGR_13831	PGR	179
OR6X1_71729	OR6X1	282
COX4I2_54082	COX4I2	179
EXOSC1_37534	EXOSC1	108
LMOD3_44115	LMOD3	450
LGR6_46820	LGR6	287
PM20D1_62080	PM20D1	405
RLF_16165	RLF	688
REEP1_48364	REEP1	363
TMEM120B_61321	TMEM120B	518
GFI1B_21613	GFI1B	274
PTPRF_15483	PTPRF	385
TG_19069	TG	438
ELAVL2_5485	ELAVL2	432
RPRD2_32224	RPRD2	280
TNFRSF9_9536	TNFRSF9	410
TMEM150C_73046	TMEM150C	1245
LRRC74A_61433	LRRC74A	404
AMBP_710	AMBP	308
SDR39U1_44676	SDR39U1	267
PSMD5_15256	PSMD5	401
HARBI1_67291	HARBI1	165
OR8G2_35046	OR8G2	117
ZNF620_66327	ZNF620	591
ASS1_1284	ASS1	1118
SCP2D1_61027	SCP2D1	70
ESD_5798	ESD	905
WHSC1_20252	WHSC1	253
TCF24_75227	TCF24	138
PAOX_64463	PAOX	749
MAN2A1_11081	MAN2A1	772
EPPIN-WFDC6_76035	EPPIN-WFDC6	166
ALDH3B1_622	ALDH3B1	120
ZNF804A_55992	ZNF804A	134
OPN1MW_7016	OPN1MW	935
SLC15A4_58342	SLC15A4	402
EFCAB3_61658	EFCAB3	1403
MGEA5_28988	MGEA5	166
SLC13A3_48165	SLC13A3	292
SESN3_61223	SESN3	728
TSPAN1_27017	TSPAN1	510
GPAT2_62399	GPAT2	489
CCDC77_53468	CCDC77	714
KRTAP16-1_75847	KRTAP16-1	605
PSME3_27316	PSME3	379
ADAM9_22892	ADAM9	48
NTPCR_53345	NTPCR	433
FAM213B_59330	FAM213B	450
BIRC3_922	BIRC3	467
ERRFI1_39815	ERRFI1	661
VPS18_46037	VPS18	313
SIMC1_70503	SIMC1	729
SLC44A1_32831	SLC44A1	758
AKR1B15_73096	AKR1B15	246
LRRC73_65795	LRRC73	142
ZBTB6_29130	ZBTB6	153
OR4F3_35250	OR4F3	311
RFX5_16078	RFX5	128
FAM60A_46657	FAM60A	77
GPR137_44425	GPR137	359
TERF1_18981	TERF1	325
TRIM6_58000	TRIM6	398
UBE2QL1_60212	UBE2QL1	865
CNN3_3520	CNN3	1533
INO80C_58940	INO80C	291
SNAPC4_17843	SNAPC4	178
PLCH2_25490	PLCH2	228
ASPDH_73569	ASPDH	700
SORD_17956	SORD	381
SPACA1_51937	SPACA1	261
GAMT_6864	GAMT	552
SLC48A1_42922	SLC48A1	338
CELA1_5476	CELA1	586
RPUSD4_54355	RPUSD4	1411
DBH_4541	DBH	287
GNG10_7375	GNG10	377
ST5_18322	ST5	608
HMX1_8533	HMX1	538
UGGT2_43271	UGGT2	308
NKD2_54890	NKD2	322
EXOG_26509	EXOG	694
ETV5_5862	ETV5	233
OS9_29668	OS9	74
TOM1L2_61628	TOM1L2	540
TIMD4_56056	TIMD4	663
NCBP2_31222	NCBP2	43
