sgRNA	Gene	E8_T0
GBA_6929	GBA	2492
DHRS12_49863	DHRS12	722
PDZD4_45968	PDZD4	1691
OPRD1_13055	OPRD1	881
NKG7_12625	NKG7	534
C8A_2021	C8A	395
Non-Targeting Control_76840	Non-Targeting Control	3604
GNG13_39464	GNG13	1409
TNFRSF11B_13045	TNFRSF11B	3848
RAPGEF3_27998	RAPGEF3	425
KCTD2_32994	KCTD2	1423
USP9Y_21506	USP9Y	1494
LEAP2_57835	LEAP2	1472
ZFAND3_47023	ZFAND3	2215
PLOD1_14192	PLOD1	1222
HNRNPCL4_76311	HNRNPCL4	914
TTLL11_63122	TTLL11	536
CHN1_3187	CHN1	1321
PHACTR1_65864	PHACTR1	465
HSPB3_23534	HSPB3	584
WIPI2_34576	WIPI2	987
ATP5F1_1428	ATP5F1	467
PAFAH1B2_13249	PAFAH1B2	243
HBZ_8223	HBZ	708
SYNPR_60037	SYNPR	1959
Non-Targeting Control_77233	Non-Targeting Control	5159
TTC7A_45304	TTC7A	417
CSTL1_59604	CSTL1	1453
FNDC3B_48028	FNDC3B	1399
RAB3GAP2_33695	RAB3GAP2	521
AGAP5_74835	AGAP5	2327
ENTPD1_2679	ENTPD1	1279
MVD_11947	MVD	667
C9orf62_63085	C9orf62	832
OR2J2_35274	OR2J2	380
ISYNA1_38846	ISYNA1	505
SLC8A1_17580	SLC8A1	1819
Non-Targeting Control_77072	Non-Targeting Control	4190
Non-Targeting Control_77321	Non-Targeting Control	2683
CYB5A_4304	CYB5A	1901
MSLN_27447	MSLN	352
NPR2_12804	NPR2	1064
MDH1B_59868	MDH1B	330
VAV2_20094	VAV2	1363
OR10G3_35152	OR10G3	454
FES_6219	FES	369
DPYSL2_5013	DPYSL2	470
ZNF431_64241	ZNF431	1641
DNAJA3_23840	DNAJA3	863
6-Sep_31899	6-Sep	3053
FREM2_69344	FREM2	146
INHBA_9601	INHBA	1476
OR8K5_65263	OR8K5	1354
FOXS1_6425	FOXS1	2758
GDI2_7048	GDI2	645
PHKB_13870	PHKB	1015
SLIT3_17724	SLIT3	304
LCLAT1_66311	LCLAT1	861
PIP4K2C_50100	PIP4K2C	1488
FBLN1_6082	FBLN1	1901
MISP_59127	MISP	530
COA4_38370	COA4	449
CLCN3_3352	CLCN3	1655
OGFOD2_49603	OGFOD2	2247
Non-Targeting Control_76488	Non-Targeting Control	2239
ABHD8_49299	ABHD8	220
CWH43_50812	CWH43	1481
C10orf53_67158	C10orf53	2488
SAMD3_62862	SAMD3	1049
ARHGAP22_46617	ARHGAP22	2114
Non-Targeting Control_77079	Non-Targeting Control	2800
PMFBP1_52119	PMFBP1	908
KCNS1_10129	KCNS1	965
COX6B2_58983	COX6B2	1280
TLE4_19255	TLE4	273
AMIGO3_70705	AMIGO3	503
RNF186_40213	RNF186	1701
MAML3_42628	MAML3	2251
HDAC8_43623	HDAC8	946
PAIP2_38234	PAIP2	314
GPR157_50660	GPR157	1940
Non-Targeting Control_76556	Non-Targeting Control	5041
OR13C5_60616	OR13C5	1636
NDP_12261	NDP	2314
HLA-F_8455	HLA-F	882
BTN3A1_30172	BTN3A1	3009
CD72_2748	CD72	59
ETV2_5851	ETV2	1165
TYROBP_19799	TYROBP	1644
LRRC52_72995	LRRC52	306
ZNF510_31051	ZNF510	2633
TMCC3_45502	TMCC3	1163
ENPP3_13627	ENPP3	2490
ARMCX3_39048	ARMCX3	361
VPS13B_63034	VPS13B	1413
WDR62_67834	WDR62	1614
DSG4_61784	DSG4	875
PDSS2_45002	PDSS2	317
IGSF5_62254	IGSF5	244
MAEA_27674	MAEA	1166
TNFAIP3_19374	TNFAIP3	2456
RPL27A_16401	RPL27A	535
MTFR1_25485	MTFR1	700
Non-Targeting Control_77199	Non-Targeting Control	3617
NNMT_12684	NNMT	620
RHOU_46541	RHOU	1297
TESPA1_26145	TESPA1	234
LIMK2_10668	LIMK2	824
FLNB_6458	FLNB	1915
CCDC185_63755	CCDC185	1092
NXT1_36502	NXT1	883
KRTAP2-1_52001	KRTAP2-1	460
GNA13_28882	GNA13	2824
SSPO_31870	SSPO	2552
STAC3_66222	STAC3	971
TNFRSF1B_19388	TNFRSF1B	681
ABHD6_45424	ABHD6	2090
WNT3A_55103	WNT3A	1168
TAS2R8_37384	TAS2R8	1462
LRRC48_52123	LRRC48	1432
LILRA2_29897	LILRA2	1599
XAGE5_64193	XAGE5	2176
RBM12B_71452	RBM12B	423
ACSS2_43696	ACSS2	1156
ADAM21_22875	ADAM21	2858
DFFA_4716	DFFA	264
Non-Targeting Control_77062	Non-Targeting Control	3836
STOX2_44749	STOX2	678
ETHE1_32899	ETHE1	1023
UBE2A_19829	UBE2A	322
OR56B4_64385	OR56B4	1087
SMAD4_10965	SMAD4	476
CYP27C1_69006	CYP27C1	610
DAZAP1_35135	DAZAP1	924
RAB20_42910	RAB20	2651
STBD1_23530	STBD1	664
ADAM7_22896	ADAM7	1126
7-Sep_2795	7-Sep	1141
IL1RL1_24092	IL1RL1	1423
HAS1_8174	HAS1	4434
FAM32A_34353	FAM32A	458
REPIN1_36649	REPIN1	1146
PKD2L2_35459	PKD2L2	1082
ZNF597_61589	ZNF597	1272
Non-Targeting Control_77066	Non-Targeting Control	2215
PTER_24464	PTER	124
PVALB_15551	PVALB	754
SERPINB11_55099	SERPINB11	279
CCDC66_68111	CCDC66	2859
PRRG3_48823	PRRG3	1377
COLEC11_48633	COLEC11	1593
SPINK13_62754	SPINK13	384
ALDH1A1_602	ALDH1A1	955
MECP2_11311	MECP2	1742
OVCH1_69309	OVCH1	1800
TBX22_37472	TBX22	1102
OMA1_57437	OMA1	395
ITPA_9860	ITPA	977
TSPYL6_71228	TSPYL6	777
SPDYA_66103	SPDYA	917
IL7R_9450	IL7R	2032
BAG4_25118	BAG4	230
CPB1_3774	CPB1	1293
TRPC5OS_75763	TRPC5OS	1038
ZNF765_55934	ZNF765	1200
TWIST1_19758	TWIST1	1757
ADO_54380	ADO	488
GSTT2B_74394	GSTT2B	823
FIP1L1_51771	FIP1L1	317
Non-Targeting Control_77285	Non-Targeting Control	2453
IPO9_43095	IPO9	873
FAM129B_48185	FAM129B	468
GNG7_7369	GNG7	783
LMF1_48070	LMF1	497
CCL5_16973	CCL5	592
