sgRNA	Gene	Clip2_6_E6_survival_BC20_IGO_09496_12_S12
JAM3_52396	JAM3	80
LIPN_73804	LIPN	10
CRYBA2_3949	CRYBA2	21
OR9K2_73186	OR9K2	44
NDUFS2_12367	NDUFS2	33
BCAR1_25230	BCAR1	4
EIF1AX_5414	EIF1AX	4
KRI1_48415	KRI1	56
SNX9_38740	SNX9	61
DDX3Y_22575	DDX3Y	22
TAF3_52548	TAF3	52
PNPLA1_68292	PNPLA1	19
NUP37_48735	NUP37	14
CLPSL1_69115	CLPSL1	12
C1QL1_29422	C1QL1	15
CENPV_64828	CENPV	51
MARVELD2_62795	MARVELD2	24
TBL1X_18759	TBL1X	41
FNDC4_48131	FNDC4	53
ADD3_326	ADD3	23
PROKR1_29437	PROKR1	107
MAP4K2_15675	MAP4K2	115
HNRNPDL_26651	HNRNPDL	35
RAD9B_61368	RAD9B	40
PLXNB2_33427	PLXNB2	92
SH3BP5_24921	SH3BP5	24
C11orf91_75374	C11orf91	79
PARP9_52352	PARP9	18
MSLN_27448	MSLN	7
TRIM35_31687	TRIM35	29
SLC25A23_48896	SLC25A23	20
11-Mar_73056	11-Mar	23
FBXO44_56558	FBXO44	34
BARX2_22246	BARX2	33
MTMR9_48616	MTMR9	76
FOXN4_58426	FOXN4	41
AMDHD2_37506	AMDHD2	100
SH2B2_28634	SH2B2	52
PFAS_13709	PFAS	42
LPPR4_26324	LPPR4	3
VCAN_4100	VCAN	33
HMCES_44647	HMCES	6
CDX4_2990	CDX4	133
GNAQ_7327	GNAQ	115
SH2D6_68003	SH2D6	29
LRRTM1_69858	LRRTM1	112
MED15_39083	MED15	50
ERH_5784	ERH	51
ELN_5536	ELN	46
HEXB_8296	HEXB	17
KCNRG_67404	KCNRG	45
CA7_2118	CA7	51
TSPAN16_35133	TSPAN16	41
HBM_8196	HBM	89
USP17L4_74009	USP17L4	23
PPM1H_45509	PPM1H	29
HIBADH_30152	HIBADH	61
SLC27A2_29810	SLC27A2	32
ABCB8_30440	ABCB8	67
PPP1R9A_42774	PPP1R9A	83
YPEL2_71019	YPEL2	38
PAFAH2_13258	PAFAH2	92
ARL2BP_33199	ARL2BP	32
KLK9_67798	KLK9	122
GAS1_6890	GAS1	82
KLHDC8A_41979	KLHDC8A	51
CEP162_30938	CEP162	16
HES5_71098	HES5	56
PRAMEF19_74012	PRAMEF19	42
KIAA1614_46300	KIAA1614	36
KRT24_64336	KRT24	30
GOPC_45040	GOPC	22
RAB11FIP5_34474	RAB11FIP5	121
SOS2_17968	SOS2	113
DHRS4L1_74743	DHRS4L1	60
OR14I1_72536	OR14I1	71
DECR1_4674	DECR1	110
TALDO1_18695	TALDO1	75
C5orf46_71357	C5orf46	62
KRTAP6-2_68639	KRTAP6-2	39
NANOGNB_70212	NANOGNB	158
TFEB_21116	TFEB	22
TMEM47_52271	TMEM47	30
UBTD2_56144	UBTD2	76
EZR_20155	EZR	68
BTLA_62575	BTLA	87
PCDHB9_43973	PCDHB9	18
AJAP1_43790	AJAP1	52
CTSK_4258	CTSK	68
SLC22A1_17700	SLC22A1	21
CHRNA3_3225	CHRNA3	18
LMCD1_37009	LMCD1	13
NEUROG1_12478	NEUROG1	74
LNPEP_10738	LNPEP	90
CGB2_57127	CGB2	10
GANC_6866	GANC	31
KIAA1841_53775	KIAA1841	48
FUOM_67164	FUOM	69
IDH3A_9146	IDH3A	46
ODF2L_45614	ODF2L	38
RP9_16261	RP9	89
ROCK1_16238	ROCK1	57
RBM23_41716	RBM23	8
EPN3_41409	EPN3	52
NIPAL3_45233	NIPAL3	21
NPS_73603	NPS	30
LMNTD1_63347	LMNTD1	15
MGAT5B_61622	MGAT5B	45
BTN2A2_27912	BTN2A2	105
UNC79_45907	UNC79	70
BRINP1_4538	BRINP1	11
PCNXL3_72142	PCNXL3	93
GAST_6635	GAST	64
NEK11_50170	NEK11	54
CYP2W1_40959	CYP2W1	38
ZBTB5_26455	ZBTB5	26
INSIG1_9645	INSIG1	38
OXCT1_13164	OXCT1	55
DLG3_4811	DLG3	94
SMAD3_10964	SMAD3	59
BRSK1_53620	BRSK1	38
APOBEC4_72637	APOBEC4	17
CXCR1_9459	CXCR1	49
SLC22A18AS_13115	SLC22A18AS	30
DAPL1_56147	DAPL1	27
CA7_2117	CA7	54
CAMK2N1_42519	CAMK2N1	70
LOC100506422_75894	LOC100506422	33
POPDC3_47521	POPDC3	27
MMACHC_34232	MMACHC	50
HARBI1_67290	HARBI1	9
PCDHB5_34713	PCDHB5	44
ZNF461_56175	ZNF461	24
MICAL1_48036	MICAL1	19
SGSH_17262	SGSH	23
NUTM2G_73125	NUTM2G	6
SKAP2_23450	SKAP2	112
PVR_15556	PVR	32
KIF20B_25296	KIF20B	18
MYL1_12063	MYL1	26
ADGRF3_63811	ADGRF3	71
MEGF8_5382	MEGF8	25
ZNF69_20585	ZNF69	6
SLC17A6_44929	SLC17A6	48
EFR3A_31935	EFR3A	62
LOC100133267_75482	LOC100133267	15
TMED10_29719	TMED10	132
C15orf26_63440	C15orf26	30
CALML6_63704	CALML6	40
KLRG1_27402	KLRG1	44
TULP1_19741	TULP1	13
ARHGAP35_7782	ARHGAP35	102
GLIPR2_62600	GLIPR2	48
OR10H3_35147	OR10H3	153
OR2A2_73263	OR2A2	60
LIPM_69240	LIPM	63
KIF3A_30196	KIF3A	68
DEFB125_66175	DEFB125	45
GSTZ1_7914	GSTZ1	27
ACO1_143	ACO1	59
HSPA12B_57824	HSPA12B	10
TUT1_48171	TUT1	2
WDR78_50043	WDR78	25
ZNF224_20852	ZNF224	50
TRIM46_50745	TRIM46	12
CYB561D2_30016	CYB561D2	33
CLDN9_23795	CLDN9	17
PI4KB_14002	PI4KB	10
ADGRL4_47431	ADGRL4	79
ZNF37A_20559	ZNF37A	4
SAR1A_44383	SAR1A	33
ZNF480_61800	ZNF480	60
CDHR3_65989	CDHR3	44
RNASE4_16185	RNASE4	42
TCHHL1_59196	TCHHL1	43
PURB_15548	PURB	10
SRF_18187	SRF	31
FFAR2_7631	FFAR2	92
KRTAP12-1_70155	KRTAP12-1	109
GBA2_46275	GBA2	35
MRPL51_38273	MRPL51	2
STARD3_29635	STARD3	69
LIAS_29869	LIAS	8
HID1_67565	HID1	32
SHKBP1_56353	SHKBP1	27
ZNF701_43292	ZNF701	53
RPL4_16308	RPL4	8
RUSC1_33339	RUSC1	44
HSD17B14_38031	HSD17B14	63
SKAP2_23451	SKAP2	11
DRD5_5046	DRD5	47
HOXA6_8651	HOXA6	22
AOC2_863	AOC2	70
RAB3IL1_15653	RAB3IL1	21
HES4_46406	HES4	18
ID3_9126	ID3	65
AIPL1_33517	AIPL1	53
SESN1_35861	SESN1	20
OR6B3_62374	OR6B3	77
TSHB_19643	TSHB	28
PAWR_13318	PAWR	167
B9D1_35522	B9D1	7
EIF4A3_25932	EIF4A3	5
EPM2A_21118	EPM2A	36
CTSH_4253	CTSH	13
YWHAQ_29718	YWHAQ	14
EFNB1_5356	EFNB1	77
NPAS4_67078	NPAS4	9
PCNXL3_72143	PCNXL3	59
MYEOV_35194	MYEOV	32
LCN6_63109	LCN6	24
IL21R_37259	IL21R	26
HRCT1_74158	HRCT1	81
NCK2_21937	NCK2	25
RALGPS1_25482	RALGPS1	20
TRIM54_45165	TRIM54	44
DCAF4_34555	DCAF4	15
HOXA5_8646	HOXA5	46
OR4A5_51545	OR4A5	119
GJA9_51471	GJA9	32
CCDC63_63366	CCDC63	15
APCS_903	APCS	34
GRM1_7788	GRM1	49
NDUFA7_12290	NDUFA7	71
TST_19669	TST	38
SRP68_18214	SRP68	15
CNTNAP4_54943	CNTNAP4	46
ACACB_94	ACACB	49
PLLP_37762	PLLP	27
TNFSF11_22398	TNFSF11	22
HOXB1_8679	HOXB1	34
RNF19A_34021	RNF19A	9
MAG_10995	MAG	48
GP2_7452	GP2	25
DRC7_53165	DRC7	33
ATF7IP_43172	ATF7IP	53
ETS1_5840	ETS1	60
ELMOD3_53051	ELMOD3	74
B3GAT3_34790	B3GAT3	76
MCEE_54054	MCEE	56
TRIM26_20747	TRIM26	47
LIPC_10679	LIPC	56
OR10K2_71927	OR10K2	12
MTMR14_47751	MTMR14	10
OR6V1_69741	OR6V1	96
SCFD2_62692	SCFD2	52
ZNF516_25519	ZNF516	51
PDLIM3_35961	PDLIM3	29
OR5M11_65294	OR5M11	51
PRUNE_46596	PRUNE	73
ABO_78	ABO	44
SHISA4_62152	SHISA4	56
HIST1H2AC_21633	HIST1H2AC	17
ADORA2B_377	ADORA2B	60
DDRGK1_48572	DDRGK1	59
TKT_19233	TKT	45
MKS1_40952	MKS1	47
HSPA12A_66943	HSPA12A	37
SNX30_72474	SNX30	67
AASDHPPT_46929	AASDHPPT	54
CACNG8_46744	CACNG8	44
GTF2E1_7935	GTF2E1	23
SPPL3_58432	SPPL3	42
MUCL1_58017	MUCL1	18
SEBOX_74036	SEBOX	8
FCRL4_52082	FCRL4	38
SYT6_62008	SYT6	27
OR4K14_58519	OR4K14	115
DIRAS2_40539	DIRAS2	50
HNRNPCL2_72963	HNRNPCL2	39
TSSK3_51846	TSSK3	25
FAM43A_59971	FAM43A	27
YLPM1_44147	YLPM1	41
DRD2_5033	DRD2	79
SNRK_40803	SNRK	18
OGT_22039	OGT	4
RNF13_30825	RNF13	14
IWS1_43006	IWS1	76
FBLN1_6083	FBLN1	54
MRPS18A_41788	MRPS18A	11
RBM15_48050	RBM15	130
GNG11_7378	GNG11	37
CD53_2719	CD53	69
TMEM171_60243	TMEM171	68
SERINC3_29666	SERINC3	48
DOC2A_21961	DOC2A	139
SLC12A5_45542	SLC12A5	31
LY6G5C_51289	LY6G5C	9
ANKLE1_59184	ANKLE1	63
DUSP1_5141	DUSP1	52
CMBL_60224	CMBL	10
DPP9-AS1_75349	DPP9-AS1	84
TP53AIP1_47227	TP53AIP1	40
FGF22_35393	FGF22	52
FAM188A_50600	FAM188A	51
PMEL_17370	PMEL	112
CLUL1_35569	CLUL1	34
ZNF154_20726	ZNF154	6
ZNF768_49751	ZNF768	17
S100A14_45407	S100A14	15
SNX31_64054	SNX31	39
FGF22_35392	FGF22	26
AGAP1_57873	AGAP1	24
FGF17_23098	FGF17	71
TMEM239_75697	TMEM239	63
KRTAP12-1_70156	KRTAP12-1	42
PDE5A_22580	PDE5A	8
CFAP70_58051	CFAP70	9
ZNF623_26123	ZNF623	25
GNG12_43804	GNG12	44
ZFP36L2_1882	ZFP36L2	33
UBE2E2_19855	UBE2E2	22
ZKSCAN3_51109	ZKSCAN3	21
C5AR2_35801	C5AR2	49
MB21D1_57399	MB21D1	39
OR2T11_59303	OR2T11	55
C10orf32_58116	C10orf32	42
STC2_22448	STC2	94
APBA2_888	APBA2	22
WDR59_49759	WDR59	30
DEGS2_58586	DEGS2	61
ZNF823_42644	ZNF823	38
TRNAU1AP_41107	TRNAU1AP	2
C8orf74_65043	C8orf74	28
STRN_18434	STRN	25
KLHL22_54292	KLHL22	11
ADCK4_50406	ADCK4	35
GIN1_40686	GIN1	31
ZNF227_20863	ZNF227	12
COL4A3_3569	COL4A3	50
TLR2_19277	TLR2	16
FAM126B_68043	FAM126B	37
LRRC75A_71000	LRRC75A	15
GPR15_7539	GPR15	38
SSX2B_74492	SSX2B	27
PLXNA3_42662	PLXNA3	39
CHRM5_3216	CHRM5	101
OR2AP1_58323	OR2AP1	24
CCZ1B_65934	CCZ1B	35
FAM150A_71438	FAM150A	48
PDE6A_13530	PDE6A	64
EIF5B_25549	EIF5B	16
TRIM35_31689	TRIM35	28
ASB11_60796	ASB11	36
PRM2_14975	PRM2	88
ANO10_41657	ANO10	32
SIMC1_70501	SIMC1	50
POLR1B_53050	POLR1B	7
SAR1B_37902	SAR1B	45
OR1L8_60635	OR1L8	107
PRPF39_41329	PRPF39	43
PROK1_53576	PROK1	23
INHA_9597	INHA	12
IFITM2_28569	IFITM2	23
SLC39A13_55772	SLC39A13	75
SPANXD_47872	SPANXD	39
TFCP2L1_36655	TFCP2L1	49
SERPINB9_13913	SERPINB9	16
BATF2_57625	BATF2	35
ENTPD4_25286	ENTPD4	34
CLDN19_62172	CLDN19	29
TMEM132E_58834	TMEM132E	31
GPR148_69610	GPR148	82
OR2M2_71964	OR2M2	10
SAMD4A_31530	SAMD4A	26
FAM120A_32040	FAM120A	32
ZFP41_68363	ZFP41	12
RPGRIP1L_32452	RPGRIP1L	19
TRIB1_27411	TRIB1	25
NMBR_12653	NMBR	18
CD38_2676	CD38	72
NHLRC2_70256	NHLRC2	18
UQCRC1_20023	UQCRC1	24
UPP1_20006	UPP1	69
NUDC_28996	NUDC	17
ATP8B3_61988	ATP8B3	40
FAM9B_64296	FAM9B	38
PTK6_15387	PTK6	20
FAM131C_69953	FAM131C	113
LRRC49_40724	LRRC49	48
PI16_65813	PI16	57
ADM5_64594	ADM5	19
TRIM35_31688	TRIM35	63
OR52E2_58157	OR52E2	76
TTYH1_45382	TTYH1	65
ATXN7L1_65985	ATXN7L1	48
ARID1B_45620	ARID1B	46
TMX3_40068	TMX3	86
TGIF2-C20orf24_76061	TGIF2-C20orf24	26
SOX7_52261	SOX7	35
NDUFA7_12292	NDUFA7	18
ZNF142_20695	ZNF142	23
KIFAP3_31238	KIFAP3	58
TIGAR_44985	TIGAR	47
NAMPT_27120	NAMPT	7
LRRC29_34797	LRRC29	54
CEACAM1_1715	CEACAM1	52
ACSF2_50947	ACSF2	53
CEMP1_75087	CEMP1	70
CCDC150_68006	CCDC150	41
AQP9_1045	AQP9	39
DDX55_46250	DDX55	6
CHRD_22550	CHRD	34
RTL1_70917	RTL1	51
PLCB2_14109	PLCB2	85
SYCP1_18558	SYCP1	58
TRIP13_24469	TRIP13	78
TREML1_69117	TREML1	23
RCVRN_15962	RCVRN	16
COMT_3670	COMT	27
FAM91A1_63055	FAM91A1	58
TLK2_29836	TLK2	21
FAM83H_68350	FAM83H	139
ATF6B_3870	ATF6B	61
MIR205HG_73691	MIR205HG	70
RTTN_34072	RTTN	53
HIST1H4I_21533	HIST1H4I	38
TRMT2A_35458	TRMT2A	25
GPR83_29440	GPR83	40
TRIM55_54001	TRIM55	20
TAOK2_24550	TAOK2	33
STRA8_69767	STRA8	91
PLCL1_14127	PLCL1	44
GLS_7254	GLS	76
PIEZO2_47085	PIEZO2	52
RGPD4_68055	RGPD4	102
MID2_29936	MID2	52
SWAP70_31653	SWAP70	68
ENAH_43210	ENAH	23
TPT1_19529	TPT1	23
EIF1B_27651	EIF1B	59
MKL1_45951	MKL1	23
NHS_12605	NHS	23
RNF126_42946	RNF126	13
TMEM57_41977	TMEM57	63
CCDC85B_29823	CCDC85B	87
CXCL3_7827	CXCL3	80
GABRA5_6754	GABRA5	56
WDR60_41604	WDR60	21
SMURF1_45147	SMURF1	49
TAF1D_48947	TAF1D	120
ASPM_66972	ASPM	8
SEC14L4_67999	SEC14L4	45
MAPK10_14915	MAPK10	77
RBM43_70456	RBM43	40
LGALS8_10615	LGALS8	49
C7orf57_60425	C7orf57	43
ATG7_28400	ATG7	48
CDK2_2898	CDK2	17
PGLS_33728	PGLS	24
FLNA_6453	FLNA	77
GDPD3_49019	GDPD3	39
C1QTNF5_57342	C1QTNF5	36
ITGB5_9817	ITGB5	51
CD164_22906	CD164	43
UHRF1_36573	UHRF1	39
IGFBPL1_69794	IGFBPL1	80
SSX5_18312	SSX5	25
FABP1_6001	FABP1	62
GGA1_34538	GGA1	46
AQP11_67135	AQP11	2
NRD1_12847	NRD1	52
HIGD1C_73628	HIGD1C	17
BDKRB2_1693	BDKRB2	48
IGFALS_9306	IGFALS	27
ZBTB1_31131	ZBTB1	27
MTSS1L_56130	MTSS1L	31
PPIL1_39210	PPIL1	27
PDS5A_32208	PDS5A	7
COLGALT1_49701	COLGALT1	22
CDK6_2913	CDK6	13
CDH5_2848	CDH5	40
TGDS_32927	TGDS	36
IFNAR2_9259	IFNAR2	42
TRPM2_19617	TRPM2	40
ALDH9A1_632	ALDH9A1	22
DLEU7_65563	DLEU7	29
WDR36_60267	WDR36	18
COQ10A_56422	COQ10A	33
FN1_6518	FN1	110
RDH10_63012	RDH10	52
KCNJ11_10058	KCNJ11	117
WIPF1_20222	WIPF1	31
TWIST1_19757	TWIST1	30
COL16A1_3654	COL16A1	27
CACNA1G_23393	CACNA1G	61
SLC12A4_17627	SLC12A4	123
CDX2_2986	CDX2	17
LUZP6_75091	LUZP6	97
PAMR1_34002	PAMR1	15
SCD5_50485	SCD5	23
FIS1_37574	FIS1	103
MRPL37_38255	MRPL37	9
TRIM26_20745	TRIM26	57
MTRR_11900	MTRR	11
CT45A2_74803	CT45A2	110
SERTAD2_25996	SERTAD2	16
CGB8_56702	CGB8	12
TAF3_52550	TAF3	25
PGA5_13781	PGA5	68
SWT1_40675	SWT1	37
PHOSPHO1_63527	PHOSPHO1	13
VPS11_43493	VPS11	89
SYT5_18590	SYT5	6
CLDN16_28914	CLDN16	15
C3orf36_50707	C3orf36	11
MC5R_11209	MC5R	72
SETD4_39759	SETD4	59
OR10V1_71701	OR10V1	31
SYT5_18591	SYT5	56
TBC1D30_32475	TBC1D30	43
RALB_15780	RALB	30
MGST1_11462	MGST1	27
ENOPH1_46536	ENOPH1	44
ALPK2_57536	ALPK2	94
PLA2G3_37203	PLA2G3	33
PRR20C_74862	PRR20C	50
GPR25_7575	GPR25	110
CCL24_17035	CCL24	134
TMX3_40070	TMX3	21
OPN4_56730	OPN4	31
SH3PXD2A_25461	SH3PXD2A	28
SLC9A9_68064	SLC9A9	62
LPAR3_33192	LPAR3	54
TSHR_19646	TSHR	61
TOMM40L_52968	TOMM40L	31
SGK223_62999	SGK223	14
PPP1R3B_49547	PPP1R3B	22
RAB12_64896	RAB12	8
LIN37_43771	LIN37	40
PRR34_42134	PRR34	71
ONECUT3_71858	ONECUT3	77
UNC5B_65350	UNC5B	27
UBA7_19827	UBA7	12
SETSIP_74134	SETSIP	36
ATG12_23995	ATG12	7
KLRC1_10227	KLRC1	52
ZFAND2A_55569	ZFAND2A	39
PIR_22270	PIR	143
CDR1_2962	CDR1	76
MAP2_11111	MAP2	20
SIGIRR_46762	SIGIRR	109
OR2V1_35264	OR2V1	49
SLCO4A1_36160	SLCO4A1	14
RCN1_15950	RCN1	33
RSAD1_42295	RSAD1	178
SPO11_33354	SPO11	75
TOX_25881	TOX	86
MDH1_11278	MDH1	35
CDC42EP3_28631	CDC42EP3	78
MRPL40_48317	MRPL40	5
CLDND2_58951	CLDND2	24
PSMB6_15192	PSMB6	22
CACNB3_2181	CACNB3	17
CCDC182_76346	CCDC182	117
NEK1_12442	NEK1	57
GS1-259H13.2_75714	GS1-259H13.2	14
PTMA_15398	PTMA	10
FGFBP1_26633	FGFBP1	95
NACC1_56900	NACC1	41
SOCS6_24430	SOCS6	40
ARRDC2_35580	ARRDC2	67
GNPNAT1_48143	GNPNAT1	14
CAMK4_2252	CAMK4	81
CAMTA1_32264	CAMTA1	11
CRYBB1_3958	CRYBB1	30
MFRP_52235	MFRP	82
KRT9_10341	KRT9	55
NPW_67518	NPW	11
ANKRD55_49743	ANKRD55	27
ZCCHC17_38985	ZCCHC17	78
KAT8_53001	KAT8	56
CASR_2378	CASR	21
TMEM38B_41734	TMEM38B	59
CNNM1_35082	CNNM1	32
LHX1_10631	LHX1	67
HIST1H2BM_21666	HIST1H2BM	40
CHADL_62319	CHADL	83
SS18L1_34421	SS18L1	34
WDR44_40145	WDR44	19
SPNS3_64886	SPNS3	30
PNMA6A_54645	PNMA6A	36
KANK3_66825	KANK3	31
RIC8A_46980	RIC8A	37
ZDHHC22_67417	ZDHHC22	71
HSPA1L_8932	HSPA1L	6
FABP7_6021	FABP7	39
CFAP99_72549	CFAP99	57
HIBCH_34916	HIBCH	18
LANCL1_27724	LANCL1	56
S100A2_16718	S100A2	32
NCDN_31894	NCDN	43
LRTM1_45427	LRTM1	24
PLXNA2_14230	PLXNA2	53
LSMEM1_68336	LSMEM1	76
C3orf80_72350	C3orf80	110
LRP5L_55809	LRP5L	32
GOLGA5_26541	GOLGA5	69
ADCY6_296	ADCY6	3
TMEM52B_58312	TMEM52B	20
SRGAP2C_74321	SRGAP2C	6
GSTM5_7905	GSTM5	22
ABI2_27174	ABI2	36
KYNU_23474	KYNU	25
TMEM236_74351	TMEM236	40
PSMD6_26222	PSMD6	23
ZNF561_56453	ZNF561	20
CHIC1_39547	CHIC1	81
TMEM260_40989	TMEM260	127
UNC5CL_66034	UNC5CL	11
TRPV4_46785	TRPV4	69
CA2_2097	CA2	49
MICU2_65712	MICU2	23
MTX2_28802	MTX2	24
PSD3_32581	PSD3	25
BEND6_65759	BEND6	60
VTA1_38972	VTA1	31
POGK_46107	POGK	26
PGAM5_64323	PGAM5	42
GTPBP6_21435	GTPBP6	70
BIRC7_49240	BIRC7	45
H2AFY_25203	H2AFY	46
TSPAN10_52602	TSPAN10	118
NGLY1_43312	NGLY1	10
ZBTB40_26448	ZBTB40	25
KLHL3_34837	KLHL3	19
ARL6IP5_28452	ARL6IP5	29
SERINC1_45702	SERINC1	40
IGFBPL1_69796	IGFBPL1	47
GOT1_7429	GOT1	29
PCNXL4_47793	PCNXL4	46
PRDM9_44755	PRDM9	60
CELA1_5473	CELA1	40
HIPK4_61859	HIPK4	48
CATSPER4_70616	CATSPER4	22
CYP8B1_4418	CYP8B1	24
C14orf93_47028	C14orf93	46
CST2_4128	CST2	11
TRIM67_73001	TRIM67	77
NOS2_12702	NOS2	29
EIF2D_5330	EIF2D	22
BNC2_40583	BNC2	24
C6orf10_28851	C6orf10	41
FBXO5_34906	FBXO5	55
PER1_13668	PER1	6
MAGI1_24233	MAGI1	11
NKX1-1_40443	NKX1-1	59
ZBTB14_20425	ZBTB14	38
C1QA_1957	C1QA	47
CCND1_1631	CCND1	20
GJC3_70005	GJC3	68
ZNF560_61852	ZNF560	58
RBPMS_29900	RBPMS	29
CHST8_47681	CHST8	15
SDC2_17065	SDC2	56
CTBS_4175	CTBS	27
RABEP2_50224	RABEP2	24
CCR7_3463	CCR7	41
ZDHHC20_66359	ZDHHC20	63
PIGO_54104	PIGO	49
KCNK17_55140	KCNK17	121
CGNL1_54594	CGNL1	76
DUS3L_44620	DUS3L	10
PLCXD2_66853	PLCXD2	34
COLGALT1_49700	COLGALT1	18
ADCK2_55683	ADCK2	111
OR10K2_71928	OR10K2	47
GPR52_24415	GPR52	37
RABL2A_30313	RABL2A	8
IL37_35751	IL37	21
TTC7A_45303	TTC7A	23
CFAP53_65574	CFAP53	44
FAM216A_36742	FAM216A	57
LOC100506422_75896	LOC100506422	61
P2RY13_39638	P2RY13	42
MRPL1_48345	MRPL1	28
HINT2_54021	HINT2	42
POC5_60254	POC5	18
4-Sep_14322	4-Sep	171
MSR1_11784	MSR1	64
CDK13_22461	CDK13	24
CCDC78_58700	CCDC78	24
PCDHB7_43980	PCDHB7	83
TAS2R9_37380	TAS2R9	81
CA13_70599	CA13	24
UNC13B_28293	UNC13B	33
ARFRP1_27135	ARFRP1	7
GINM1_57711	GINM1	69
HGS_24017	HGS	33
PLEKHA4_46164	PLEKHA4	67
STAMBP_28686	STAMBP	67
HERPUD2_47566	HERPUD2	63
PCSK6_13238	PCSK6	40
PRKAR1B_14808	PRKAR1B	16
EID2_63641	EID2	12
ZFR2_32117	ZFR2	19
OR8K3_65276	OR8K3	60
RHPN2_54900	RHPN2	20
PTGS2_15366	PTGS2	43
KDM5C_21466	KDM5C	18
MAT2B_36125	MAT2B	26
IGSF1_9357	IGSF1	55
SYT1_18581	SYT1	81
GNL3L_40229	GNL3L	2
MYL7_46601	MYL7	31
PPP3R1_14677	PPP3R1	58
INSL4_9654	INSL4	37
FAM132B_62445	FAM132B	25
MLLT3_11560	MLLT3	7
MPP2_11716	MPP2	35
USP26_52504	USP26	47
MVD_11948	MVD	28
GLT8D1_43511	GLT8D1	19
CELSR3_5369	CELSR3	39
EPHX1_5692	EPHX1	18
SGCZ_60510	SGCZ	44
RTP5_68027	RTP5	15
AQP9_1047	AQP9	26
SHISA3_62687	SHISA3	44
DSG1_5088	DSG1	32
DNASE1L1_4901	DNASE1L1	12
ACBD4_49908	ACBD4	26
MROH6_73683	MROH6	41
TMIGD2_59084	TMIGD2	20
SMG7_26315	SMG7	8
KCTD10_52631	KCTD10	16
NLRP11_65145	NLRP11	49
LNX2_66000	LNX2	54
NEDD1_58382	NEDD1	22
OR10J5_59341	OR10J5	100
TXNDC2_53107	TXNDC2	50
C7orf76_72422	C7orf76	88
USP17L10_75580	USP17L10	97
SCRIB_33004	SCRIB	140
FBXL20_54623	FBXL20	12
CFP_13715	CFP	60
TRIM66_26238	TRIM66	41
KIAA1456_45991	KIAA1456	33
GOLGA7B_72499	GOLGA7B	28
PSMF1_24993	PSMF1	55
NTF3_12880	NTF3	55
CORO7-PAM16_76107	CORO7-PAM16	57
P2RX6_23948	P2RX6	33
AP4B1_28969	AP4B1	103
NGB_46492	NGB	146
NCAM2_12236	NCAM2	70
CLASP1_32484	CLASP1	136
SPAG6_25262	SPAG6	65
LIPT1_39114	LIPT1	38
MLYCD_32761	MLYCD	55
ENG_5588	ENG	39
SBK2_74119	SBK2	54
SLC25A46_55743	SLC25A46	42
ZMIZ1_45208	ZMIZ1	122
TFG_27802	TFG	42
ADAMTS15_64210	ADAMTS15	61
CTNNA2_4207	CTNNA2	15
RBMX2_39185	RBMX2	8
NTN4_46739	NTN4	19
WRNIP1_44502	WRNIP1	30
KIAA0368_32672	KIAA0368	23
UGT2B15_19967	UGT2B15	34
MAU2_32645	MAU2	68
RGL1_31985	RGL1	27
PRCD_75093	PRCD	22
RXFP3_38374	RXFP3	18
RPUSD1_56916	RPUSD1	15
ELP2_42082	ELP2	19
KRTAP21-2_68683	KRTAP21-2	38
ZNF503_54283	ZNF503	27
FBXW7_42232	FBXW7	6
MOAP1_47405	MOAP1	19
DUSP14_30027	DUSP14	57
CDPF1_62337	CDPF1	46
MAGEB6_63229	MAGEB6	14
KAAG1_70122	KAAG1	66
ADAMTS4_25039	ADAMTS4	22
C19orf45_70353	C19orf45	86
CHSY1_31014	CHSY1	120
MXRA8_40296	MXRA8	42
6-Mar_27688	6-Mar	51
SPPL2A_54371	SPPL2A	30
C9orf57_60567	C9orf57	20
GIGYF2_34480	GIGYF2	55
TBXAS1_18787	TBXAS1	44
PSORS1C2_64201	PSORS1C2	22
TDP1_43331	TDP1	43
CRTC1_32616	CRTC1	88
MCOLN2_66582	MCOLN2	50
BZW2_36247	BZW2	45
HILPDA_36791	HILPDA	47
DNALI1_20929	DNALI1	79
ALOX5AP_669	ALOX5AP	104
TBC1D17_49791	TBC1D17	97
CTRB1_4232	CTRB1	26
TSPAN10_52599	TSPAN10	48
GRIK5_7751	GRIK5	9
TRIM52_54282	TRIM52	10
MSRB2_31239	MSRB2	30
ACTN4_201	ACTN4	26
ACE2_46731	ACE2	147
MYH13_22831	MYH13	35
LGR5_22291	LGR5	27
HIST1H4K_21745	HIST1H4K	25
SPATC1_70536	SPATC1	48
PCDHA7_44029	PCDHA7	56
POLH_14359	POLH	17
OTP_32824	OTP	78
NXPE1_58255	NXPE1	51
ABCA7_27822	ABCA7	33
TMEM33_41766	TMEM33	59
ANXA10_30457	ANXA10	35
TTC22_41276	TTC22	60
ADCY1_277	ADCY1	53
NCSTN_32651	NCSTN	33
ANKS1A_32364	ANKS1A	55
TFG_27804	TFG	57
SPEM1_70321	SPEM1	57
C9orf43_66876	C9orf43	34
TTC21B_50004	TTC21B	47
RBM7_27268	RBM7	28
ARHGDIA_1142	ARHGDIA	24
PLCH2_25491	PLCH2	24
TRPC5_19612	TRPC5	30
LRP1B_39570	LRP1B	86
IFT172_34698	IFT172	13
GALT_6860	GALT	25
SLC47A2_61664	SLC47A2	65
