sgRNA	Gene	Clip2_5_DE_GFP_low_BC18_IGO_09496_10_S10
CTSE_4245	CTSE	168
C11orf21_36561	C11orf21	92
CHKB_3176	CHKB	59
Non-Targeting Control_77138	Non-Targeting Control	316
CCDC126_55599	CCDC126	105
ATG4B_32025	ATG4B	4
Non-Targeting Control_76851	Non-Targeting Control	367
BEST2_40703	BEST2	11
FAM161A_52979	FAM161A	240
EP300_5615	EP300	16
MAPKAPK5_22294	MAPKAPK5	80
NFKBID_54208	NFKBID	70
PCDH7_13403	PCDH7	45
Non-Targeting Control_77279	Non-Targeting Control	252
Non-Targeting Control_77410	Non-Targeting Control	288
Non-Targeting Control_77408	Non-Targeting Control	406
UMOD_19978	UMOD	107
FBXO11_50898	FBXO11	83
RPRD1A_41894	RPRD1A	22
IDS_9162	IDS	125
MYH15_31388	MYH15	52
EMID1_59667	EMID1	19
SLITRK4_60647	SLITRK4	149
Non-Targeting Control_76833	Non-Targeting Control	284
ITGAX_9794	ITGAX	62
B9D2_51353	B9D2	186
ZBTB48_8374	ZBTB48	116
Non-Targeting Control_77308	Non-Targeting Control	286
DPRX_73483	DPRX	65
Non-Targeting Control_76545	Non-Targeting Control	422
BLID_72788	BLID	59
MTTP_11890	MTTP	37
CLDN6_23773	CLDN6	55
KIAA1958_63166	KIAA1958	66
FAM47B_64110	FAM47B	27
OCLN_75916	OCLN	68
MAS1L_57786	MAS1L	60
MMP3_11595	MMP3	18
ELMOD2_66630	ELMOD2	104
ANKRD13D_68783	ANKRD13D	54
Non-Targeting Control_77342	Non-Targeting Control	444
CXCL16_46513	CXCL16	112
GP1BB_7445	GP1BB	61
GKN1_44207	GKN1	28
VGLL2_66111	VGLL2	32
STKLD1_64070	STKLD1	62
STAT4_18356	STAT4	197
Non-Targeting Control_77396	Non-Targeting Control	367
FCRL5_52078	FCRL5	101
COX4I2_54079	COX4I2	51
AGBL3_69151	AGBL3	63
PSD_15092	PSD	49
DGKZ_22194	DGKZ	348
PAK1_13279	PAK1	19
OR4P4_51536	OR4P4	173
RHOBTB3_30949	RHOBTB3	58
IL36B_35748	IL36B	129
JMJD8_68849	JMJD8	36
TRAK1_31188	TRAK1	39
MTMR7_23881	MTMR7	90
PNCK_60743	PNCK	131
GPR33_7599	GPR33	86
CHCHD10_72304	CHCHD10	60
ZNF571_38325	ZNF571	58
PYCR2_36785	PYCR2	65
OR13C5_60616	OR13C5	129
SLC22A23_47033	SLC22A23	45
SKOR2_74226	SKOR2	84
SLC10A3_21495	SLC10A3	95
PAGE1_22757	PAGE1	105
NDUFB9_12348	NDUFB9	6
RSG1_49176	RSG1	35
KCNJ11_10059	KCNJ11	50
HUNK_37064	HUNK	13
ESD_5800	ESD	139
GAS2L2_66203	GAS2L2	118
SELL_17127	SELL	90
CLCA4_30872	CLCA4	62
IL15_9522	IL15	177
FAM91A1_63054	FAM91A1	259
CCDC129_66088	CCDC129	58
Non-Targeting Control_76516	Non-Targeting Control	300
PRDM10_44761	PRDM10	130
DACT2_63981	DACT2	12
DNAAF3_70031	DNAAF3	103
RBMY1J_70640	RBMY1J	2
ZNF880_72248	ZNF880	94
PEX2_15588	PEX2	80
CHPF_49329	CHPF	165
HAUS1_57416	HAUS1	46
C18orf42_73697	C18orf42	289
RNASE2_16179	RNASE2	89
ARHGDIB_1145	ARHGDIB	257
UCMA_65666	UCMA	24
C1QTNF7_57352	C1QTNF7	27
ANTXR2_58013	ANTXR2	25
SCX_73713	SCX	136
PCDHA8_44023	PCDHA8	159
PEG10_31694	PEG10	148
TNFRSF1A_19384	TNFRSF1A	36
PLGRKT_43570	PLGRKT	29
ZYG11B_49677	ZYG11B	67
TRIM64_58231	TRIM64	70
PRIMA1_61404	PRIMA1	85
LMX1B_10733	LMX1B	48
TSN_19627	TSN	53
WIBG_53420	WIBG	49
PLEKHB1_46521	PLEKHB1	32
PROK1_53575	PROK1	93
METTL1_11389	METTL1	180
C17orf77_61645	C17orf77	155
MRPL21_65438	MRPL21	52
DPY19L2_67353	DPY19L2	109
MAPKBP1_31436	MAPKBP1	97
HAS1_8175	HAS1	197
CIC_31888	CIC	59
EXT2_5903	EXT2	45
SOX7_52259	SOX7	35
NXPH1_37042	NXPH1	33
Non-Targeting Control_77166	Non-Targeting Control	95
ZNF781_63638	ZNF781	56
C10orf126_67186	C10orf126	10
IER5L_71484	IER5L	84
ICAM4_9106	ICAM4	206
ARHGAP12_56719	ARHGAP12	52
DEK_21062	DEK	77
Non-Targeting Control_77338	Non-Targeting Control	272
GALNT1_6845	GALNT1	201
C7orf33_65016	C7orf33	45
TCP11L2_66615	TCP11L2	181
Non-Targeting Control_76481	Non-Targeting Control	535
ABHD5_37795	ABHD5	25
ZNF26_20529	ZNF26	37
FMR1NB_63193	FMR1NB	119
Non-Targeting Control_77006	Non-Targeting Control	307
HIST1H2BI_21682	HIST1H2BI	61
SPEN_31457	SPEN	152
FGF11_6276	FGF11	107
KMT2C_46628	KMT2C	131
C6orf1_65825	C6orf1	170
IGFBP3_9317	IGFBP3	72
FAM149A_33916	FAM149A	48
STK11_18423	STK11	21
ALKBH4_40559	ALKBH4	98
LOC400736_72260	LOC400736	194
LRRC16A_42763	LRRC16A	99
KCNB1_9973	KCNB1	22
TCEAL6_63254	TCEAL6	96
TRPC5_19611	TRPC5	57
DNAJC4_8991	DNAJC4	89
MYNN_43671	MYNN	85
DACT1_38551	DACT1	33
SLC1A7_17454	SLC1A7	198
EPC1_51102	EPC1	52
INHBA_9604	INHBA	77
AQP4_1032	AQP4	32
SMTNL1_65307	SMTNL1	17
BEND4_71329	BEND4	197
DRP2_5059	DRP2	91
LCE3B_70095	LCE3B	74
OR5K2_72547	OR5K2	249
FGF21_34967	FGF21	34
LOC403312_72629	LOC403312	249
DUSP23_41052	DUSP23	60
UBXN2B_60518	UBXN2B	58
MLH3_35430	MLH3	100
SH3RF2_62834	SH3RF2	56
TGFB1_19078	TGFB1	113
BTN3A1_30174	BTN3A1	171
CPED1_50506	CPED1	32
SUMO2_17810	SUMO2	63
CYBRD1_50313	CYBRD1	96
ZFHX2_54947	ZFHX2	82
CACYBP_35574	CACYBP	77
TRIM17_37895	TRIM17	48
PDDC1_69897	PDDC1	75
OR52M1_58203	OR52M1	182
PDGFRB_13587	PDGFRB	53
OR51T1_72503	OR51T1	67
BIN2_38714	BIN2	16
Non-Targeting Control_77143	Non-Targeting Control	237
USP17L10_75583	USP17L10	139
PNMA3_36858	PNMA3	75
NPY5R_12825	NPY5R	46
Non-Targeting Control_77296	Non-Targeting Control	202
PTH1R_15373	PTH1R	33
SLC35F3_62055	SLC35F3	58
NPR2_12802	NPR2	41
TBC1D4_26296	TBC1D4	84
CCDC152_75238	CCDC152	47
ZBTB43_31734	ZBTB43	44
HSPA5_8942	HSPA5	16
ABI3_38172	ABI3	316
ADARB1_272	ADARB1	50
H3F3B_8135	H3F3B	20
STX10_22659	STX10	19
BHLHA15_64029	BHLHA15	232
OR10W1_51556	OR10W1	43
Non-Targeting Control_76470	Non-Targeting Control	233
KCNAB3_24150	KCNAB3	67
MYLK3_56015	MYLK3	49
Non-Targeting Control_77335	Non-Targeting Control	237
