sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
FOXQ1_56734	FOXQ1	131
ZNF727_73257	ZNF727	294
INPP5J_35623	INPP5J	120
MAZ_11172	MAZ	139
TRPS1_19622	TRPS1	38
CEBPE_3014	CEBPE	175
PLD4_58491	PLD4	45
CABLES1_55998	CABLES1	169
NDUFB11_40185	NDUFB11	35
Non-Targeting Control_76801	Non-Targeting Control	789
PARK7_30734	PARK7	142
OR4C13_67192	OR4C13	171
Non-Targeting Control_77424	Non-Targeting Control	650
ZNF883_64096	ZNF883	112
TMEM14B_51972	TMEM14B	504
Non-Targeting Control_76919	Non-Targeting Control	531
CACNA1B_2143	CACNA1B	122
Non-Targeting Control_76938	Non-Targeting Control	217
OST4_75175	OST4	215
FAM127C_73151	FAM127C	38
DCDC2C_74734	DCDC2C	168
FAM104B_55609	FAM104B	137
GSK3A_7852	GSK3A	34
TYW5_59693	TYW5	116
LRRC59_42486	LRRC59	462
TEX28_4299	TEX28	60
PERM1_54214	PERM1	121
MCOLN1_45262	MCOLN1	80
RSBN1L_65961	RSBN1L	59
CYB5R3_4757	CYB5R3	79
PPP2CB_14611	PPP2CB	368
FABP9_74097	FABP9	53
FAM153A_68210	FAM153A	127
ZCCHC4_36370	ZCCHC4	71
PTP4A2_21242	PTP4A2	124
SETDB1_26252	SETDB1	29
RAD21L1_73707	RAD21L1	59
GPSM2_36732	GPSM2	36
PCDH11X_36027	PCDH11X	84
OR12D2_35141	OR12D2	54
ZNF213_20825	ZNF213	103
DOCK4_25779	DOCK4	124
DNAH5_4883	DNAH5	82
PBK_43637	PBK	66
NAP1L5_67086	NAP1L5	63
TVP23B_37595	TVP23B	368
PIP_14015	PIP	171
CCDC129_66085	CCDC129	43
PRKCSH_14864	PRKCSH	86
MMP16_11635	MMP16	119
SH3PXD2A_25461	SH3PXD2A	59
OR2C1_13084	OR2C1	149
FGD3_55157	FGD3	179
BAG5_25116	BAG5	158
NHEJ1_50111	NHEJ1	113
POC1B-GALNT4_76084	POC1B-GALNT4	118
Non-Targeting Control_76658	Non-Targeting Control	602
DNAJC4_8991	DNAJC4	163
ERI3_48766	ERI3	179
Non-Targeting Control_76701	Non-Targeting Control	467
