sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
CDC42EP5_61966	CDC42EP5	59
KLRC4_21547	KLRC4	71
ADAMTS5_30104	ADAMTS5	145
CCDC25_42063	CCDC25	23
COQ9_44849	COQ9	67
CDX2_2987	CDX2	30
KIF1BP_34620	KIF1BP	28
PCDHA5_44035	PCDHA5	76
CD300LD_75381	CD300LD	32
SLX4IP_59598	SLX4IP	127
UBE3A_19885	UBE3A	54
VNN1_23266	VNN1	62
AIG1_38681	AIG1	124
HOXB13_28235	HOXB13	77
OR52B4_61186	OR52B4	59
PRDM1_1735	PRDM1	25
HOOK3_53561	HOOK3	51
AFF1_11554	AFF1	67
FAM153A_68209	FAM153A	48
12-Sep_58732	12-Sep	48
LCN10_72781	LCN10	73
RLF_16166	RLF	41
EBPL_53937	EBPL	53
RIC3_49380	RIC3	74
QPCTL_40649	QPCTL	42
ZYG11B_49677	ZYG11B	91
GTF2F2_7946	GTF2F2	24
PAH_13267	PAH	12
GNB2L1_27957	GNB2L1	26
G6PC2_46420	G6PC2	66
MYNN_43672	MYNN	55
EXT2_5901	EXT2	116
ANKRD35_62062	ANKRD35	18
SCN2B_16887	SCN2B	140
MPV17L2_54168	MPV17L2	72
ZNF488_58071	ZNF488	53
GOLGA8N_73826	GOLGA8N	6
ZNF696_50420	ZNF696	89
MS4A1_2609	MS4A1	32
NKRF_43747	NKRF	51
LOC643355_73780	LOC643355	83
RAB24_39690	RAB24	60
ZNF483_63158	ZNF483	81
IL25_48118	IL25	125
KANSL2_41048	KANSL2	28
NEIL1_49553	NEIL1	26
MSH4_11763	MSH4	110
CNGA3_3497	CNGA3	12
TMEM143_42119	TMEM143	52
KMO_22335	KMO	149
EFCAB7_53645	EFCAB7	62
ZKSCAN8_20790	ZKSCAN8	45
WNT3_20266	WNT3	49
ZNF557_49131	ZNF557	15
C7orf57_60427	C7orf57	108
ZNF805_71889	ZNF805	88
MIPOL1_61405	MIPOL1	44
CUTC_37714	CUTC	53
PHKA1_13861	PHKA1	94
MTSS1L_56130	MTSS1L	44
MGC57346-CRHR1_76441	MGC57346-CRHR1	138
CPXM1_44189	CPXM1	56
CLIC5_39589	CLIC5	46
NPSR1_70735	NPSR1	76
SEL1L3_32162	SEL1L3	54
PDHA1_13589	PDHA1	24
ZNF709_63619	ZNF709	61
PRR20B_74853	PRR20B	92
GDPD3_49021	GDPD3	31
CACNB3_2182	CACNB3	13
PRRT2_56794	PRRT2	26
PGBD5_49373	PGBD5	68
SRXN1_60992	SRXN1	62
TFCP2_19021	TFCP2	83
SP110_9188	SP110	95
PDC_13481	PDC	40
NKTR_12631	NKTR	89
ARID2_64452	ARID2	16
OTUD7B_44712	OTUD7B	105
EPHA3_5652	EPHA3	48
ZC3H11A_26275	ZC3H11A	23
SCGB3A1_56195	SCGB3A1	68
BAALC_50208	BAALC	51
BFSP2_21886	BFSP2	31
RIPPLY3_39618	RIPPLY3	49
P4HB_13220	P4HB	38
OR5B2_71682	OR5B2	41
BCL2A1_1639	BCL2A1	21
FANCC_6030	FANCC	2
ETNPPL_48168	ETNPPL	30
CYP2A6_4347	CYP2A6	86
LINS_41834	LINS	57
FAM208A_32303	FAM208A	53
FBXO22_34882	FBXO22	33
KATNAL2_52158	KATNAL2	33
SPEF2_50376	SPEF2	67
NFYC_12584	NFYC	9
PAGE2B_71520	PAGE2B	59
PDGFRA_13574	PDGFRA	49
ZFYVE26_32964	ZFYVE26	17
RBMS1_15923	RBMS1	15
ZBTB37_53833	ZBTB37	38
RNF123_47069	RNF123	147
ZNF469_53871	ZNF469	26
CELSR1_25385	CELSR1	107
GABRB2_6766	GABRB2	45
C21orf58_39739	C21orf58	32
PTCD1_34372	PTCD1	34
DDX23_24775	DDX23	27
MYCBPAP_52852	MYCBPAP	26
BOD1_55777	BOD1	113
VEZF1_20738	VEZF1	95
HSPA8_8949	HSPA8	82
ZPBP_29970	ZPBP	38
PRR3_51291	PRR3	58
CAPN11_30214	CAPN11	55
PGM1_13817	PGM1	77
CRYL1_37741	CRYL1	23
RBM33_62991	RBM33	59
FOXP2_56624	FOXP2	73
BRD7_36534	BRD7	16
PLVAP_52184	PLVAP	47
FAM131C_69955	FAM131C	62
SSX7_67113	SSX7	110
KCTD16_45734	KCTD16	108
FAM155B_35598	FAM155B	65
NRL_12858	NRL	53
RNH1_16218	RNH1	26
PRKRIR_14954	PRKRIR	14
CACNG4_35552	CACNG4	31
IFT172_34698	IFT172	61
CCDC168_73824	CCDC168	28
ADD1_317	ADD1	119
APLF_64734	APLF	32
RSPH6A_51605	RSPH6A	37
DRG2_5051	DRG2	18
RBMY1F_63280	RBMY1F	86
BCAS4_42925	BCAS4	98
HMX2_8539	HMX2	65
SZT2_32491	SZT2	24
PRR4_30662	PRR4	46
GAST_6633	GAST	31
GPATCH2_41576	GPATCH2	107
SMKR1_75636	SMKR1	56
NUDT12_52258	NUDT12	66
CCDC122_63379	CCDC122	31
LRRC48_52124	LRRC48	70
EIF2AK1_35576	EIF2AK1	64
SPRR2B_18112	SPRR2B	15
CPLX4_68902	CPLX4	86
CLASP2_31792	CLASP2	35
IL11_9485	IL11	74
MED18_40588	MED18	84
SLX4_53669	SLX4	29
DEFB103A_72773	DEFB103A	36
ITGB6_9823	ITGB6	50
NAALADL2_66510	NAALADL2	75
CXCL9_11493	CXCL9	42
TMEM61_64618	TMEM61	49
TNS3_47969	TNS3	54
COLEC12_51500	COLEC12	43
MFSD1_47935	MFSD1	103
DHRS4L2_68538	DHRS4L2	36
EXOSC7_31467	EXOSC7	24
REP15_70876	REP15	41
STAT2_18345	STAT2	28
KRT222_58910	KRT222	47
FBXL8_42373	FBXL8	55
DCAF4_34558	DCAF4	98
ANKRD40_55816	ANKRD40	53
AEBP1_471	AEBP1	48
BNIPL_62168	BNIPL	51
TUBB4B_27904	TUBB4B	16
COL7A1_3607	COL7A1	22
PSD4_33137	PSD4	44
HAO2_38056	HAO2	36
FAM162A_35018	FAM162A	58
CCDC88B_67273	CCDC88B	38
UCMA_65667	UCMA	74
SLC7A7_23723	SLC7A7	82
SRL_16953	SRL	81
SLC25A14_23593	SLC25A14	68
TYRP1_19801	TYRP1	17
PP2D1_62543	PP2D1	32
TTC28_32482	TTC28	39
IFITM2_28571	IFITM2	75
ZNRF2_66090	ZNRF2	27
EXOSC9_14277	EXOSC9	10
PTPRZ1_15528	PTPRZ1	30
ABCB11_22554	ABCB11	76
TMPRSS12_67389	TMPRSS12	62
ACAD9_36274	ACAD9	23
LMF1_48067	LMF1	71
SCRN2_55506	SCRN2	42
FEZF2_41501	FEZF2	39
GZMB_8072	GZMB	67
GRIN2C_7768	GRIN2C	29
ENTPD1_2677	ENTPD1	29
ELF2_5507	ELF2	24
TTC23L_62819	TTC23L	104
PSMB8_15200	PSMB8	47
PCDHB8_43976	PCDHB8	45
NCOA4_21208	NCOA4	32
TBXAS1_18785	TBXAS1	74
OR51B6_71558	OR51B6	37
HAO1_39877	HAO1	51
ST3GAL3_17364	ST3GAL3	109
SLC10A3_21496	SLC10A3	144
KY_69038	KY	64
ATG7_28397	ATG7	28
MSH6_7919	MSH6	91
KRTAP13-1_60779	KRTAP13-1	9
C1orf228_68986	C1orf228	40
YWHAH_20402	YWHAH	59
SLC9A9_68061	SLC9A9	72
KPTN_30219	KPTN	95
PAQR7_63747	PAQR7	133
MROH2B_60170	MROH2B	102
IRF2BP2_70202	IRF2BP2	53
NACC2_60556	NACC2	89
CIRBP_3284	CIRBP	22
ZNF112_20868	ZNF112	91
IRF1_9700	IRF1	40
ERGIC1_45314	ERGIC1	62
FAM216A_36742	FAM216A	74
PMF1-BGLAP_76066	PMF1-BGLAP	15
PSMD11_15273	PSMD11	2
CEP19_54673	CEP19	59
STRADB_42516	STRADB	48
IL22_37263	IL22	18
PARVG_47365	PARVG	31
LHX6_35020	LHX6	91
CLNK_57774	CLNK	70
CHRNB2_3246	CHRNB2	35
CDH8_2859	CDH8	41
TMEM257_24003	TMEM257	239
CNOT6_45557	CNOT6	79
WDR54_52792	WDR54	60
FAM83C_59642	FAM83C	99
PPP2R3B_36158	PPP2R3B	85
ZNF787_59070	ZNF787	57
FZD7_21604	FZD7	62
HS1BP3_47651	HS1BP3	61
TNFRSF6B_22923	TNFRSF6B	43
CHCHD3_41019	CHCHD3	20
SERPIND1_8230	SERPIND1	97
MOCS1_11672	MOCS1	23
MTNR1B_11888	MTNR1B	45
EIF4EBP2_5456	EIF4EBP2	16
MT4_53809	MT4	78
ZNF366_63959	ZNF366	32
CSNK2B_4096	CSNK2B	12
OTOL1_59917	OTOL1	44
MYCBP_34972	MYCBP	12
GPT_7658	GPT	36
ASAH2B_74287	ASAH2B	53
TRAPPC6A_48915	TRAPPC6A	82
CD180_10891	CD180	29
PTPRO_15515	PTPRO	36
MRPS34_48577	MRPS34	20
LELP1_62110	LELP1	57
SP3_18019	SP3	44
MRPS22_44666	MRPS22	34
SMIM11_39749	SMIM11	47
PDZD7_50453	PDZD7	27
HPS4_55109	HPS4	46
CS_4000	CS	73
ZNF79_20611	ZNF79	46
IMPA2_9567	IMPA2	33
KIAA1045_32532	KIAA1045	39
NLGN2_45829	NLGN2	27
SLC25A24_36905	SLC25A24	35
STAB1_31932	STAB1	34
FAM172A_52747	FAM172A	24
ZNF141_20690	ZNF141	86
TANC1_54995	TANC1	47
C9orf173_73136	C9orf173	46
CITED1_11751	CITED1	38
HNF4G_8558	HNF4G	114
NUDT19_71875	NUDT19	67
MTA3_45656	MTA3	42
MUC15_61211	MUC15	69
SORL1_17957	SORL1	52
FCER2_6141	FCER2	34
RNF182_65857	RNF182	50
RAD54L2_31822	RAD54L2	60
MAL2_57135	MAL2	28
HAS2_8178	HAS2	25
SNAP29_24543	SNAP29	51
SLC5A5_17515	SLC5A5	81
C10orf90_58054	C10orf90	14
OR52E8_71603	OR52E8	146
CDK6_2914	CDK6	84
IRAK2_9692	IRAK2	58
SH3BGRL_17275	SH3BGRL	83
PRDX2_18942	PRDX2	20
PDGFRB_13586	PDGFRB	76
NTN3_12901	NTN3	143
CLU_3380	CLU	29
TTLL6_67622	TTLL6	45
SCP2D1_61025	SCP2D1	99
CBX8_45353	CBX8	108
CDH13_2878	CDH13	16
TTC25_52189	TTC25	27
NADK2_60184	NADK2	31
KHDRBS2_65005	KHDRBS2	37
IDH3G_9153	IDH3G	99
MTHFD1L_34036	MTHFD1L	32
NARFL_47783	NARFL	15
TRERF1_43450	TRERF1	43
CITED4_63709	CITED4	64
USP33_31519	USP33	150
FAM86B2_74295	FAM86B2	80
GNAI1_7306	GNAI1	57
IFNGR2_9275	IFNGR2	33
CT47A12_75948	CT47A12	46
NPW_67517	NPW	73
TTLL11_63124	TTLL11	22
ADAMTS12_51910	ADAMTS12	31
FOXM1_6418	FOXM1	69
FGF1_6236	FGF1	88
KIF1A_1511	KIF1A	46
GAN_21329	GAN	45
HSPA1L_8930	HSPA1L	18
CSDC2_35897	CSDC2	111
OR8J3_51526	OR8J3	62
HRSP12_27506	HRSP12	19
NISCH_30425	NISCH	21
NUP210L_55763	NUP210L	104
GPS1_7650	GPS1	13
LCE3C_70097	LCE3C	19
LEFTY2_19096	LEFTY2	45
DKK1_31303	DKK1	46
ANKRD34B_69094	ANKRD34B	52
PIGU_59637	PIGU	35
ITIH6_69808	ITIH6	53
REC114_67461	REC114	61
VAV3_28124	VAV3	59
QPCT_33731	QPCT	36
C9_2038	C9	64
OR10X1_59523	OR10X1	77
ABCF1_59	ABCF1	19
PIGR_13952	PIGR	65
PTPRC_15465	PTPRC	33
E4F1_5225	E4F1	61
MRPS7_37729	MRPS7	20
COMMD3_32740	COMMD3	25
FAM65B_25847	FAM65B	17
TMEM133_52688	TMEM133	50
DDX27_42956	DDX27	10
REM2_63410	REM2	49
PHTF2_45157	PHTF2	40
HSD17B7_38850	HSD17B7	33
PELO_39691	PELO	43
GPR19_7549	GPR19	28
C3orf36_50710	C3orf36	49
PLAA_24641	PLAA	59
EMC7_44439	EMC7	35
ASTL_72815	ASTL	45
ZNF816-ZNF321P_76120	ZNF816-ZNF321P	69
C10orf95_50429	C10orf95	91
FAM53C_38445	FAM53C	66
TMEM135_48409	TMEM135	37
OSTC_46621	OSTC	31
FYN_6686	FYN	35
MED17_24832	MED17	17
CSN2_4060	CSN2	70
POLR2H_14389	POLR2H	22
ABCA10_27828	ABCA10	18
TMEM52B_58310	TMEM52B	70
LSMEM1_68335	LSMEM1	9
IMPG2_37456	IMPG2	46
NUDT13_34204	NUDT13	63
C19orf67_74092	C19orf67	126
STAT6_18368	STAT6	39
MZB1_38213	MZB1	30
OSBPL9_57315	OSBPL9	15
SPIB_18062	SPIB	31
KRT34_10398	KRT34	68
FBXW12_68073	FBXW12	70
TOR1AIP1_34549	TOR1AIP1	20
SLC6A1_17520	SLC6A1	119
TMEM191C_74020	TMEM191C	33
NCKIPSD_38924	NCKIPSD	65
PPM1G_14553	PPM1G	11
ITFG2_43559	ITFG2	65
DLD_4798	DLD	76
WDR20_56023	WDR20	79
ITGB2_9802	ITGB2	43
SLC30A8_64047	SLC30A8	34
CLPSL2_71373	CLPSL2	108
KCNS1_10131	KCNS1	110
EMILIN2_52780	EMILIN2	30
RAB3IL1_15653	RAB3IL1	43
CDC42BPB_25271	CDC42BPB	24
REV1_38803	REV1	3
CRYGC_3980	CRYGC	30
HHIPL1_53597	HHIPL1	113
FABP1_6004	FABP1	93
KIAA1217_44134	KIAA1217	32
R3HDML_61084	R3HDML	55
INHBE_52429	INHBE	24
PNLIPRP1_14300	PNLIPRP1	38
TREM1_39828	TREM1	52
PABPN1_21298	PABPN1	12
PRKCB_14824	PRKCB	93
PGR_13829	PGR	3
SNN_21549	SNN	28
MAGEH1_36304	MAGEH1	25
NLRP9_68699	NLRP9	111
FAM32A_34353	FAM32A	11
ZPR1_23289	ZPR1	33
MAPK8IP3_31917	MAPK8IP3	60
FAM160B2_47971	FAM160B2	50
KATNAL2_52157	KATNAL2	44
OPLAH_35317	OPLAH	41
NEK4_18397	NEK4	65
CYP17A1_4433	CYP17A1	37
CAD_2199	CAD	16
LILRB4_29820	LILRB4	48
ACBD4_49909	ACBD4	36
RFX6_66016	RFX6	36
AMZ2_38502	AMZ2	49
SEC63_30542	SEC63	30
CTDSPL_27395	CTDSPL	38
DSG1_5085	DSG1	23
ZNF554_57427	ZNF554	78
SLC16A8_33096	SLC16A8	65
MYOC_12139	MYOC	36
PTPRC_15467	PTPRC	39
SLC22A15_42439	SLC22A15	48
GPRIN1_57194	GPRIN1	26
CCDC84_68763	CCDC84	44
RNF10_26440	RNF10	28
RTN1_16676	RTN1	71
ARHGAP1_1127	ARHGAP1	28
SNAP25_17823	SNAP25	69
TSSK2_33325	TSSK2	27
EXOSC1_37531	EXOSC1	34
ARF6_1094	ARF6	58
ATAT1_50493	ATAT1	39
AQP12A_70472	AQP12A	115
FOLH1B_65328	FOLH1B	89
MICALCL_54596	MICALCL	25
DLG1_4804	DLG1	43
SLIT1_17719	SLIT1	3
ZNF385A_34169	ZNF385A	109
DNAH8_4890	DNAH8	36
OR52I2_61196	OR52I2	14
GRINA_7773	GRINA	67
PARP12_47975	PARP12	21
GABRD_6776	GABRD	89
ATP1A1_1331	ATP1A1	37
ANKRD35_62063	ANKRD35	36
WDR19_46352	WDR19	139
CNTN3_13300	CNTN3	52
ANKZF1_41690	ANKZF1	49
LIPK_73799	LIPK	25
IRAK3_30480	IRAK3	79
SLC38A8_61526	SLC38A8	68
KRTAP1-1_51967	KRTAP1-1	125
CDK6_2915	CDK6	90
CDYL2_58720	CDYL2	64
SHCBP1_49985	SHCBP1	74
SLC6A3_17527	SLC6A3	40
NFAT5_28993	NFAT5	62
ACCS_54015	ACCS	119
C11orf42_63317	C11orf42	35
FGA_6224	FGA	29
HSPB8_35008	HSPB8	44
TSPAN15_33157	TSPAN15	40
CD82_9935	CD82	50
ABCB8_30439	ABCB8	62
XCL1_17055	XCL1	38
TRPC4AP_34628	TRPC4AP	73
HRH4_46780	HRH4	39
SERTM1_72178	SERTM1	29
IGFBPL1_69794	IGFBPL1	87
LPCAT3_27213	LPCAT3	50
GGTLC1_56099	GGTLC1	33
ZIC5_54905	ZIC5	123
SSRP1_18276	SSRP1	17
CREBRF_62758	CREBRF	107
FTH1P18_73143	FTH1P18	122
ZSCAN20_20537	ZSCAN20	6
ANP32B_28432	ANP32B	77
LRPAP1_10812	LRPAP1	28
ARMC9_50921	ARMC9	78
EYS_69721	EYS	49
FRMPD1_30974	FRMPD1	35
OTOF_24674	OTOF	38
C5orf24_60292	C5orf24	24
SLC25A31_52112	SLC25A31	32
LOC643802_73836	LOC643802	44
RABEP2_50224	RABEP2	38
NCAM2_12234	NCAM2	48
KRT74_58378	KRT74	39
AKAP5_25002	AKAP5	47
CEACAM4_3103	CEACAM4	29
UBE2I_19871	UBE2I	4
OTX2_13148	OTX2	30
TSLP_55035	TSLP	122
F2_5940	F2	31
BLID_72787	BLID	53
RNF19A_34020	RNF19A	23
NFAM1_62331	NFAM1	38
YIPF5_51678	YIPF5	88
RSRC2_48431	RSRC2	29
RHPN1_57267	RHPN1	73
SLC9A5_17597	SLC9A5	47
TULP3_19752	TULP3	30
CBFB_2417	CBFB	22
HRASLS5_57944	HRASLS5	15
BCL2L13_33582	BCL2L13	79
SLC7A10_44220	SLC7A10	56
TMOD1_19335	TMOD1	23
DERL1_48982	DERL1	58
RGL2_15641	RGL2	53
ZNF646_25754	ZNF646	43
IL17REL_72307	IL17REL	47
ACOT4_58568	ACOT4	99
UBL4B_63758	UBL4B	39
PCDHA8_44025	PCDHA8	25
LIPC_10678	LIPC	59
C11orf86_66479	C11orf86	19
TTC7B_61450	TTC7B	79
INSL5_26768	INSL5	20
GJA9_51472	GJA9	51
LMAN1L_49836	LMAN1L	50
NAT8_23632	NAT8	60
BPTF_6063	BPTF	41
UPB1_39394	UPB1	58
ZNF319_45865	ZNF319	60
ZCCHC3_54836	ZCCHC3	79
PCDH11Y_52063	PCDH11Y	120
KCND3_10004	KCND3	25
AP1B1_460	AP1B1	96
C11orf88_72158	C11orf88	59
MCM7_11254	MCM7	10
DGKE_22199	DGKE	50
RESP18_71263	RESP18	23
TRIM15_55188	TRIM15	58
ALG1_43860	ALG1	9
MDM1_44473	MDM1	32
DLX1_4822	DLX1	59
GATSL2_74919	GATSL2	27
GPRC5C_43664	GPRC5C	97
IRS1_9725	IRS1	92
KIF18B_61708	KIF18B	36
SUCO_38743	SUCO	51
GRAMD1B_45572	GRAMD1B	63
P2RY14_26483	P2RY14	37
METTL20_66385	METTL20	123
ACP6_38135	ACP6	38
GORASP1_47890	GORASP1	15
CBR1_2441	CBR1	44
TVP23A_75106	TVP23A	47
DVL1_5181	DVL1	120
HLA-C_8388	HLA-C	60
TACC3_28156	TACC3	40
FBXO11_50895	FBXO11	72
TRIM7_51894	TRIM7	84
IFNK_44416	IFNK	63
ANKRD28_32205	ANKRD28	20
PRODH_14991	PRODH	35
C9orf72_65065	C9orf72	53
CDSN_2973	CDSN	19
SHBG_17302	SHBG	69
RPF2_53013	RPF2	10
USP47_41374	USP47	33
CFAP221_64706	CFAP221	33
FAM220A_54187	FAM220A	23
DDHD1_51392	DDHD1	43
NAPA_22940	NAPA	17
SLC18A3_17672	SLC18A3	91
MEF2BNB-MEF2B_11317	MEF2BNB-MEF2B	32
ANTXR1_53042	ANTXR1	68
SLC4A4_22635	SLC4A4	52
NMNAT1_48108	NMNAT1	65
AMICA1_58264	AMICA1	71
ALG5_36679	ALG5	75
TMED2_29678	TMED2	76
TCHH_19153	TCHH	63
ZSCAN2_41252	ZSCAN2	72
GRAMD1A_46137	GRAMD1A	42
PSMD5_15254	PSMD5	41
ADCYAP1R1_313	ADCYAP1R1	47
CRACR2A_54160	CRACR2A	40
BRD2_16203	BRD2	31
TRIM22_27818	TRIM22	59
VSNL1_20199	VSNL1	52
COMMD10_38688	COMMD10	79
KCNJ5_10043	KCNJ5	49
ATG2B_41568	ATG2B	49
PLEKHA4_46166	PLEKHA4	30
ZNF770_41243	ZNF770	44
EXD1_63471	EXD1	56
FAM83E_40776	FAM83E	68
TDP1_43332	TDP1	96
ZNF256_27251	ZNF256	31
SCG2_21010	SCG2	60
IL12RB1_9502	IL12RB1	98
ARMT1_49419	ARMT1	80
APOBEC4_72638	APOBEC4	74
VGLL4_25611	VGLL4	16
ZNF346_33195	ZNF346	21
FAM160A1_74985	FAM160A1	22
TAOK2_24551	TAOK2	43
C1orf21_51699	C1orf21	89
GANC_6868	GANC	69
CHAF1A_26785	CHAF1A	6
ARHGAP4_1132	ARHGAP4	161
PSMC2_15218	PSMC2	6
ARL3_1169	ARL3	165
DERL2_37515	DERL2	104
NT5C1B_56416	NT5C1B	43
SRRM2_33049	SRRM2	20
PRX_46315	PRX	31
SALL1_16806	SALL1	54
HSPA2_8933	HSPA2	120
SIX6_13070	SIX6	90
IFNA16_9241	IFNA16	55
SLC5A9_64636	SLC5A9	34
CHRAC1_39789	CHRAC1	27
EBF1_5232	EBF1	74
H2AFJ_43309	H2AFJ	83
CDK5R1_23196	CDK5R1	67
TRIM10_27030	TRIM10	29
GINS3_48055	GINS3	8
TMCO1_40083	TMCO1	52
JSRP1_59106	JSRP1	26
TMEM189_70776	TMEM189	69
ABCC4_27543	ABCC4	25
A2ML1_61349	A2ML1	23
FCRL3_57470	FCRL3	81
PARD6G_53795	PARD6G	66
AP2A2_454	AP2A2	38
LPCAT3_27216	LPCAT3	71
FCN2_6184	FCN2	54
OR2B3_73233	OR2B3	94
TRAT1_37414	TRAT1	49
TBC1D23_43327	TBC1D23	106
Non-Targeting Control_77101	Non-Targeting Control	139
BOLL_48619	BOLL	91
C4orf47_73052	C4orf47	73
C4orf46_64935	C4orf46	19
FAM177A1_67443	FAM177A1	43
MUC17_60791	MUC17	37
TRAIP_27663	TRAIP	15
HAPLN4_72652	HAPLN4	57
SPAG8_34748	SPAG8	85
ETV7_38915	ETV7	119
GSX2_64231	GSX2	105
TTL_62344	TTL	24
RFX2_16066	RFX2	87
GOLGA6L9_72918	GOLGA6L9	7
CMTM1_57022	CMTM1	35
SEC63_30539	SEC63	72
ATP2B3_1387	ATP2B3	107
IL17F_56844	IL17F	33
STRA6_47548	STRA6	44
FYTTD1_53213	FYTTD1	122
EML6_72316	EML6	67
KIF1BP_34621	KIF1BP	24
TBL1X_18757	TBL1X	64
PDE6C_13535	PDE6C	83
UROD_20040	UROD	42
RAB33B_52132	RAB33B	29
KLF9_1912	KLF9	55
ADH7_360	ADH7	47
PAEP_13242	PAEP	68
RESP18_71261	RESP18	98
DNAJC21_60230	DNAJC21	25
BCR_1680	BCR	78
KLK11_29839	KLK11	64
FHOD3_50904	FHOD3	48
RPS16_16575	RPS16	4
ZNF324B_71089	ZNF324B	69
TVP23C-CDRT4_76181	TVP23C-CDRT4	1
PLCH1_31439	PLCH1	25
FAM189A1_32570	FAM189A1	67
SPIN4_60771	SPIN4	86
OVOL2_46588	OVOL2	61
EFEMP2_37031	EFEMP2	69
TNNT3_19414	TNNT3	74
WDR63_59233	WDR63	31
CCNL2_51851	CCNL2	72
APBA1_882	APBA1	52
TMEM63A_25751	TMEM63A	83
MYO18A_72105	MYO18A	105
BCAS1_22244	BCAS1	45
GPR12_7531	GPR12	55
COLEC12_51502	COLEC12	53
KRTAP1-1_51968	KRTAP1-1	39
YWHAG_20399	YWHAG	72
HIST1H2AM_21641	HIST1H2AM	76
OTUB2_48638	OTUB2	125
ZNF300_56075	ZNF300	53
NTM_37445	NTM	49
MLX_18880	MLX	54
ARHGEF4_37303	ARHGEF4	48
OR1A2_34731	OR1A2	10
RSRC2_48432	RSRC2	73
SYCP3_37233	SYCP3	12
HTR1D_9022	HTR1D	50
RPS18_16584	RPS18	5
MCEMP1_64552	MCEMP1	62
HOXA2_8634	HOXA2	24
TMEM248_41471	TMEM248	116
LRRC16B_55588	LRRC16B	12
NAA11_54177	NAA11	19
CHST7_44279	CHST7	44
SAMD14_64846	SAMD14	75
LEKR1_71317	LEKR1	143
CIB4_59776	CIB4	68
MECP2_11309	MECP2	83
ANKRD7_44228	ANKRD7	68
PIP5KL1_60592	PIP5KL1	29
TMA7_38625	TMA7	57
POTEF_74665	POTEF	5
KCNG4_56444	KCNG4	92
SETD1A_25806	SETD1A	18
WDR44_40146	WDR44	115
NDUFS5_12381	NDUFS5	32
ATP5B_1410	ATP5B	16
TLR10_51913	TLR10	18
SREK1IP1_68258	SREK1IP1	16
ZNF596_64064	ZNF596	35
KRTAP10-1_70672	KRTAP10-1	26
RTP4_47389	RTP4	57
CLEC4E_34846	CLEC4E	52
ZNF223_20847	ZNF223	47
PTPRE_15480	PTPRE	54
PDLIM3_35959	PDLIM3	42
LGSN_39026	LGSN	105
FURIN_13234	FURIN	63
DEAF1_28364	DEAF1	68
PRSS48_69659	PRSS48	70
PROM1_23172	PROM1	58
DNAJC17_41871	DNAJC17	14
SCAF11_24078	SCAF11	28
TOP1_19440	TOP1	50
NRIP2_52410	NRIP2	37
HIPK3_27054	HIPK3	67
TMEM106A_56987	TMEM106A	47
TCEA3_18798	TCEA3	21
ACVRL1_238	ACVRL1	62
MYH9_12052	MYH9	40
JMJD4_48411	JMJD4	37
ZNF292_31535	ZNF292	33
SCRT2_55045	SCRT2	85
PCBP1_13377	PCBP1	19
TBX10_69894	TBX10	15
UPP1_20005	UPP1	18
VAC14_43063	VAC14	43
MYOZ1_46685	MYOZ1	51
RAPGEF2_25635	RAPGEF2	47
SUCNR1_44361	SUCNR1	36
LPIN2_25531	LPIN2	67
RNF115_35867	RNF115	39
USP20_29367	USP20	61
IZUMO3_75230	IZUMO3	189
VPS45_30722	VPS45	42
HSPA6_8945	HSPA6	32
SERPINB7_22751	SERPINB7	47
KDM5D_21504	KDM5D	96
ACRBP_53728	ACRBP	87
UBXN1_37610	UBXN1	42
PON2_14421	PON2	81
NRG4_61510	NRG4	81
NAA20_37894	NAA20	6
IDNK_72777	IDNK	24
ILF3_9556	ILF3	8
CA1_2093	CA1	30
SETD6_50351	SETD6	20
ACOT12_60280	ACOT12	26
FAM35A_40175	FAM35A	52
KLHL22_54291	KLHL22	75
DRD1_5030	DRD1	44
EFEMP2_37034	EFEMP2	143
NPHS2_20961	NPHS2	16
PAICS_28642	PAICS	10
NGF_12585	NGF	49
C4orf47_73049	C4orf47	55
HOXA5_8648	HOXA5	44
MRPS11_48296	MRPS11	59
MANF_21036	MANF	16
RTCB_38872	RTCB	43
TOMM34_29657	TOMM34	59
MFNG_11419	MFNG	86
TGFB2_19088	TGFB2	68
UGT8_19976	UGT8	51
NRM_30656	NRM	118
ANKRD34C_71823	ANKRD34C	19
C2CD2_34215	C2CD2	84
TSC1_19630	TSC1	56
NBPF10_75440	NBPF10	8
FBXO4_34909	FBXO4	25
KCNN2_10108	KCNN2	37
SLC44A3_59258	SLC44A3	79
TUBAL3_50171	TUBAL3	49
ENAH_43208	ENAH	43
NR4A1_8530	NR4A1	61
PVRL3_34166	PVRL3	70
OR5AC2_51508	OR5AC2	35
RPL35_30521	RPL35	14
DLX2_4825	DLX2	109
SPDL1_40967	SPDL1	8
PCNX_31392	PCNX	64
TPH1_19487	TPH1	36
1-Sep_4776	1-Sep	42
C7orf73_74174	C7orf73	43
GNL1_7392	GNL1	84
ZNF512_53638	ZNF512	65
RER1_30058	RER1	99
GTF3C4_24501	GTF3C4	47
PHYHIP_26005	PHYHIP	28
OR6K3_71937	OR6K3	76
ZNF391_69725	ZNF391	47
NLRP5_59065	NLRP5	46
C19orf66_42375	C19orf66	43
DNMBP_32287	DNMBP	7
NALCN_66949	NALCN	100
CCL1_16959	CCL1	23
EQTN_40292	EQTN	31
LRRC37A2_73341	LRRC37A2	6
