sgRNA	Gene	Clip2_4_DE_GFP_high_BC15_IGO_09496_7_S7
ZP1_31225	ZP1	35
CCNE2_23974	CCNE2	50
C9orf85_60571	C9orf85	84
GAS2L2_66202	GAS2L2	64
ITM2A_24875	ITM2A	25
NR4A3_21175	NR4A3	24
Non-Targeting Control_77346	Non-Targeting Control	262
PNRC1_29671	PNRC1	65
Non-Targeting Control_76504	Non-Targeting Control	229
IMPA1_9563	IMPA1	126
LMO2_10719	LMO2	44
SFTPD_17233	SFTPD	75
THAP7_51333	THAP7	32
ANKRD63_75366	ANKRD63	70
SLC12A4_17628	SLC12A4	32
SPINK8_74083	SPINK8	109
CAMK2B_2258	CAMK2B	60
PPP1R7_14593	PPP1R7	102
PAAF1_50965	PAAF1	72
C9orf40_41480	C9orf40	124
PMAIP1_14242	PMAIP1	203
Non-Targeting Control_76568	Non-Targeting Control	403
RASSF10_73965	RASSF10	106
MANEA_49658	MANEA	37
OR6Y1_71933	OR6Y1	44
PHLDA3_33314	PHLDA3	69
PLS3_14213	PLS3	64
RBM38_42642	RBM38	29
SESTD1_55825	SESTD1	61
NTAN1_58655	NTAN1	19
GDNF-AS1_76237	GDNF-AS1	121
OR52J3_58162	OR52J3	162
VASN_57390	VASN	153
GIPC2_40634	GIPC2	78
TRIM66_26238	TRIM66	66
NTN1_24793	NTN1	65
OR8K1_71658	OR8K1	77
Non-Targeting Control_76537	Non-Targeting Control	263
SPATA22_54040	SPATA22	32
LAMB4_30861	LAMB4	121
Non-Targeting Control_77136	Non-Targeting Control	234
CCDC124_57412	CCDC124	21
ADM2_50372	ADM2	64
KAZN_32245	KAZN	91
DCUN1D1_39805	DCUN1D1	72
FAM26E_66436	FAM26E	135
TRIM15_55187	TRIM15	47
AMMECR1_26538	AMMECR1	39
ANKRD27_52876	ANKRD27	43
LCAT_10525	LCAT	41
PGA3_73848	PGA3	208
FZR1_38566	FZR1	84
PROSER3_61958	PROSER3	12
Non-Targeting Control_76518	Non-Targeting Control	269
CLEC2L_62913	CLEC2L	34
ZGPAT_53848	ZGPAT	83
SNAPIN_33166	SNAPIN	45
MARVELD1_52455	MARVELD1	152
AKR1B15_73096	AKR1B15	61
DTHD1_72357	DTHD1	90
ANK2_799	ANK2	27
TRPM6_60983	TRPM6	63
Non-Targeting Control_76647	Non-Targeting Control	240
ZP2_20902	ZP2	132
DNMT3A_4948	DNMT3A	99
INSL4_9656	INSL4	49
PDE6C_13533	PDE6C	112
UBE2B_19836	UBE2B	241
STEAP4_49636	STEAP4	22
PFN4_70444	PFN4	43
WWC3_43546	WWC3	118
RNF217_62882	RNF217	51
MZF1_20570	MZF1	51
KRTAP13-1_60777	KRTAP13-1	153
SST_18279	SST	50
FIG4_26341	FIG4	62
ADGRV1_52796	ADGRV1	107
PPIB_14532	PPIB	28
RABEP1_23977	RABEP1	45
ZMAT4_49674	ZMAT4	43
TLE6_50032	TLE6	29
MBNL1_11185	MBNL1	47
GNRH2_7397	GNRH2	94
MEGF9_5385	MEGF9	85
CFD_4710	CFD	61
RARS_15843	RARS	60
FKBP7_39253	FKBP7	275
BPIFA2_60878	BPIFA2	63
ZNF345_33899	ZNF345	78
DEFB116_66154	DEFB116	133
MATN3_11163	MATN3	28
TMEM170A_58749	TMEM170A	144
Non-Targeting Control_77075	Non-Targeting Control	157
OR13G1_73224	OR13G1	77
MS4A15_65518	MS4A15	81
DEFB106B_73491	DEFB106B	163
CAPN5_2004	CAPN5	39
CHCHD2_37945	CHCHD2	88
PTPN18_35025	PTPN18	39
SLC45A1_37311	SLC45A1	52
C16orf52_75043	C16orf52	92
DIABLO_44295	DIABLO	221
C12orf4_44982	C12orf4	27
LEAP2_57833	LEAP2	40
TMEM99_61756	TMEM99	68
HSD11B2_8882	HSD11B2	229
HRG_8847	HRG	43
COL1A2_3552	COL1A2	63
NHLRC4_67545	NHLRC4	183
CDON_37454	CDON	50
ITGA3_9755	ITGA3	62
ANO7_37295	ANO7	36
CNTNAP2_34440	CNTNAP2	95
FBN3_53681	FBN3	12
HCN4_26763	HCN4	92
FGFBP1_26634	FGFBP1	87
Non-Targeting Control_77342	Non-Targeting Control	403
NRIP2_52410	NRIP2	14
KAT6B_33042	KAT6B	24
DCUN1D5_53250	DCUN1D5	90
CNST_63736	CNST	79
CARD10_36602	CARD10	46
ZKSCAN1_20553	ZKSCAN1	107
TBL1X_18758	TBL1X	144
KCTD3_37921	KCTD3	68
Non-Targeting Control_76961	Non-Targeting Control	84
TAS2R39_66977	TAS2R39	119
FAM71F2_69764	FAM71F2	154
OR51A2_72512	OR51A2	96
STK39_36095	STK39	130
KIFAP3_31238	KIFAP3	29
TMX3_40068	TMX3	106
GSTP1_7912	GSTP1	93
IL17D_39541	IL17D	38
PLP1_14198	PLP1	188
CAND2_31628	CAND2	41
Non-Targeting Control_76926	Non-Targeting Control	351
TUBGCP5_57208	TUBGCP5	2
TARM1_73198	TARM1	24
STC2_22448	STC2	89
XPO4_47641	XPO4	49
STEAP3_42049	STEAP3	218
DEFA1B_74648	DEFA1B	93
GNRH2_7400	GNRH2	22
PRICKLE3_10723	PRICKLE3	116
GGH_23147	GGH	108
AHI1_40617	AHI1	148
NCR1_24824	NCR1	153
MAMDC4_63107	MAMDC4	14
PHF8_31825	PHF8	42
NKX1-1_40445	NKX1-1	115
Non-Targeting Control_76955	Non-Targeting Control	359
OR52E6_71600	OR52E6	100
EMILIN3_55337	EMILIN3	71
Non-Targeting Control_76951	Non-Targeting Control	163
PRPSAP1_15020	PRPSAP1	59
SLC38A5_56339	SLC38A5	196
LPL_10766	LPL	33
GRTP1_49900	GRTP1	63
HCFC1R1_41230	HCFC1R1	45
ASPSCR1_48828	ASPSCR1	42
PDE7B_35604	PDE7B	38
FAM210B_57666	FAM210B	122
Non-Targeting Control_77124	Non-Targeting Control	234
CCDC186_41528	CCDC186	45
MICAL1_48037	MICAL1	46
SLC25A40_43811	SLC25A40	31
FOXS1_6427	FOXS1	136
VSNL1_20199	VSNL1	34
USP39_28951	USP39	95
OR5H2_49151	OR5H2	107
RAPGEF5_25920	RAPGEF5	57
KLRG1_27401	KLRG1	26
IER5L_71482	IER5L	120
CDRT4_67604	CDRT4	31
GJD2_45383	GJD2	296
Non-Targeting Control_77138	Non-Targeting Control	178
ACSM3_16799	ACSM3	60
TRIP11_24480	TRIP11	44
PSME4_32050	PSME4	49
CXCL17_67758	CXCL17	41
MYPOP_68918	MYPOP	77
PRADC1_53326	PRADC1	115
MAMDC2_66800	MAMDC2	112
SPRR1A_18100	SPRR1A	123
SP140_30635	SP140	49
SCARA3_38755	SCARA3	54
C8orf4_44480	C8orf4	141
SYNPR_60037	SYNPR	112
C7orf57_60427	C7orf57	35
TMPRSS7_69633	TMPRSS7	143
CD2AP_33301	CD2AP	32
PTPRG_15487	PTPRG	17
Non-Targeting Control_77078	Non-Targeting Control	176
TTC9_32983	TTC9	101
FAM71F1_54043	FAM71F1	60
GS1-259H13.2_75713	GS1-259H13.2	55
Non-Targeting Control_76860	Non-Targeting Control	240
TDO2_18940	TDO2	33
ANKRD35_62061	ANKRD35	93
MAOB_11097	MAOB	96
SLC35F3_62054	SLC35F3	59
HLF_8448	HLF	86
SPANXN2_73422	SPANXN2	78
CLDN18_38149	CLDN18	89
SCN9A_16916	SCN9A	88
TMCC2_26403	TMCC2	63
Non-Targeting Control_76632	Non-Targeting Control	252
MFSD10_27429	MFSD10	19
ANKRD6_31101	ANKRD6	50
TASP1_42812	TASP1	25
PPARA_14492	PPARA	38
IRAK2_9690	IRAK2	128
PCDH1_13396	PCDH1	27
ECM2_5138	ECM2	255
CDH17_2889	CDH17	91
TTPA_19705	TTPA	64
NRG1_8328	NRG1	44
TBC1D25_12974	TBC1D25	98
PLK5_59171	PLK5	37
KRT5_10321	KRT5	77
CYP2A7_4351	CYP2A7	102
IL22_37264	IL22	9
AP1S3_59795	AP1S3	76
SS18L1_34420	SS18L1	200
OR14I1_72535	OR14I1	148
RNH1_16217	RNH1	116
ILKAP_51460	ILKAP	21
ZSWIM6_46222	ZSWIM6	130
CRTC3_48053	CRTC3	31
HSD17B4_8899	HSD17B4	36
IGDCC3_25165	IGDCC3	507
GSDMD_49956	GSDMD	20
METTL22_48920	METTL22	69
MCTS1_36299	MCTS1	65
CYP27A1_4453	CYP27A1	83
SMUG1_33226	SMUG1	49
CXCL6_17043	CXCL6	119
UBE2G1_19857	UBE2G1	60
TMIGD3_45444	TMIGD3	84
IL1RN_9391	IL1RN	81
Non-Targeting Control_77172	Non-Targeting Control	249
GPR183_5234	GPR183	224
USP22_32466	USP22	50
DMTF1_26653	DMTF1	132
LYG2_66494	LYG2	96
RHEBL1_58346	RHEBL1	66
MOB2_51624	MOB2	126
ERAP1_39432	ERAP1	120
CYP4A11_4407	CYP4A11	48
TAPT1_64968	TAPT1	77
HRASLS_45010	HRASLS	42
PLN_14187	PLN	269
NR2F6_5725	NR2F6	51
TMEM192_64955	TMEM192	97
PCDHA7_44029	PCDHA7	59
IFT22_48076	IFT22	52
HPSE_29329	HPSE	23
KRTAP10-8_70685	KRTAP10-8	179
TMEM126A_53181	TMEM126A	113
LGI2_41913	LGI2	22
FAM169A_34447	FAM169A	87
TAS2R7_37389	TAS2R7	103
LIPE_10682	LIPE	120
FNDC3A_31027	FNDC3A	35
CACUL1_61172	CACUL1	85
UBXN8_21162	UBXN8	17
BHLHE41_49185	BHLHE41	41
Non-Targeting Control_77118	Non-Targeting Control	176
C1QC_1967	C1QC	18
RAB2B_54522	RAB2B	45
CHST13_63872	CHST13	92
VWC2_70510	VWC2	70
EML6_72313	EML6	10
DLX4_4833	DLX4	36
OR5D18_65254	OR5D18	376
C4orf32_60085	C4orf32	62
PPP1R16B_34455	PPP1R16B	105
HAS1_8176	HAS1	25
PTCD3_41396	PTCD3	58
TBC1D14_45751	TBC1D14	28
ALOX5AP_672	ALOX5AP	92
TUBA3D_57016	TUBA3D	109
PLEKHA5_40033	PLEKHA5	68
MASP2_29059	MASP2	54
ASGR1_1246	ASGR1	37
WNT6_20275	WNT6	69
FAM60A_46657	FAM60A	17
HDGFRP3_37351	HDGFRP3	110
ASCL1_1238	ASCL1	92
PRPS1_15009	PRPS1	119
SOX21_30339	SOX21	58
Non-Targeting Control_76765	Non-Targeting Control	393
BOD1_55777	BOD1	47
BPHL_1853	BPHL	101
MISP_59125	MISP	17
NAPSA_24955	NAPSA	104
Non-Targeting Control_76795	Non-Targeting Control	274
GLP2R_24536	GLP2R	63
IFT20_55455	IFT20	58
MTRF1L_40127	MTRF1L	290
ZSCAN4_64905	ZSCAN4	50
ADAM21_22873	ADAM21	255
UNC5C_22504	UNC5C	34
ITIH1_9834	ITIH1	35
RAB25_45014	RAB25	73
ZXDB_63204	ZXDB	146
GSTA2_7880	GSTA2	163
PPY_14699	PPY	120
CACNA2D1_2172	CACNA2D1	80
TINAG_35912	TINAG	140
CARNS1_45881	CARNS1	28
R3HDM4_55794	R3HDM4	49
MYO9B_12129	MYO9B	124
FBXO25_34870	FBXO25	91
ACOX2_21555	ACOX2	49
Non-Targeting Control_77105	Non-Targeting Control	178
IL1R2_20994	IL1R2	22
HEPHL1_69293	HEPHL1	41
DLX5_4839	DLX5	109
SERPINE2_13908	SERPINE2	78
AZI2_47658	AZI2	92
ALX3_702	ALX3	44
RAET1L_62857	RAET1L	101
PDGFRB_13588	PDGFRB	16
VPS41_35504	VPS41	10
TNFRSF11B_13045	TNFRSF11B	194
ZNF747_48556	ZNF747	72
LMO4_22265	LMO4	95
PFN2_13775	PFN2	24
FAM92B_68854	FAM92B	72
CELA3B_32813	CELA3B	55
UNC80_68048	UNC80	41
TMEM44_56447	TMEM44	56
C11orf49_48935	C11orf49	41
CILP2_61956	CILP2	44
PANK3_49499	PANK3	196
CARD16_57159	CARD16	15
ZNF486_55576	ZNF486	167
Non-Targeting Control_76544	Non-Targeting Control	450
UNK_54961	UNK	65
PRR32_75303	PRR32	72
NEK4_18400	NEK4	125
NYNRIN_45721	NYNRIN	196
GOLGA2_7413	GOLGA2	33
TDRD7_32780	TDRD7	71
CFD_4709	CFD	15
SERTAD1_36882	SERTAD1	111
PRPF39_41329	PRPF39	104
SMAD2_10959	SMAD2	184
STK3_18401	STK3	59
DUSP9_5176	DUSP9	174
CRIP2_3904	CRIP2	31
JARID2_9912	JARID2	55
FGFR2_6304	FGFR2	37
SPRYD7_45288	SPRYD7	131
HACD1_24159	HACD1	57
ADARB1_270	ADARB1	56
GPC1_7463	GPC1	91
C12orf40_67382	C12orf40	16
SOX3_17980	SOX3	74
BCL11A_39526	BCL11A	69
Non-Targeting Control_76811	Non-Targeting Control	154
SPRR3_18130	SPRR3	318
CYFIP2_35382	CYFIP2	53
